time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2017-04-11,6.268,6.268,6.268,6.268,0,0.0,,,,,
2017-04-12,6.268,6.268,6.268,6.268,0,0.0,,,,,
2017-04-13,6.268,6.268,6.268,6.268,0,0.0,,,,,
2017-04-14,6.268,6.268,6.268,6.268,0,0.0,,,,,
2017-04-17,6.268,6.268,6.268,6.268,0,0.0,,,,,
2017-04-18,6.268,6.268,6.268,6.268,0,0.0,,,,,
2017-04-19,6.268,6.268,6.268,6.268,0,0.0,,,,,
2017-04-20,6.268,6.268,6.268,6.268,0,0.0,,,,,
2017-04-21,6.268,6.268,6.268,6.268,100,626.8,,,,,
2017-04-24,5.347,6.268,5.347,6.268,300,1880.4,,,,,
2017-04-25,4.916,4.916,4.916,4.916,400,1966.4,,,,,
2017-04-26,4.916,4.916,4.916,4.916,0,0.0,,,,,
2017-04-27,4.947,4.947,4.947,4.947,1000,4947.0,,,,,
2017-04-28,4.947,4.947,4.947,4.947,1500,7420.5,,,,,
2017-05-03,4.947,4.947,4.947,4.947,0,0.0,,,,,
2017-05-04,5.685,5.685,5.685,5.685,700,3979.5,,,,,
2017-05-05,5.992,6.146,5.254,5.254,800,4203.2,,,,,
2017-05-08,5.992,5.992,5.992,5.992,1900,11384.8,,,,,
2017-05-09,5.224,5.992,5.224,5.224,1200,6268.8,,,,,
2017-05-10,5.992,5.992,5.07,5.07,1400,7098.0,,,,,
2017-05-11,5.377,5.961,5.377,5.961,600,3576.6000000000004,,,,,
2017-05-12,5.992,5.992,5.992,5.992,3100,18575.2,,,,,
2017-05-15,5.162,5.162,5.162,5.162,300,1548.6,,,,,
2017-05-16,5.838,5.838,5.838,5.838,100,583.8,,,,,
2017-05-17,5.838,5.838,5.838,5.838,0,0.0,,,,,
2017-05-18,6.146,6.146,5.93,6.146,3300,20281.8,,,,,
2017-05-19,6.115,6.115,6.115,6.115,0,0.0,,,,,
2017-05-22,5.316,5.316,5.316,5.316,600,3189.6,,,,,
2017-05-23,5.316,5.316,5.316,5.316,0,0.0,,,,,
2017-05-24,5.377,5.377,5.377,5.377,300,1613.1,,,,,
2017-05-25,5.224,5.224,5.224,5.224,100,522.4,,,,,
2017-05-26,5.377,5.377,5.377,5.377,400,2150.8,,,,,
2017-05-29,5.377,5.377,5.377,5.377,0,0.0,,,,,
2017-05-30,5.377,5.377,5.377,5.377,0,0.0,,,,,
2017-05-31,5.777,5.961,5.777,5.961,2700,16094.7,,,,,
2017-06-01,6.023,6.023,6.023,6.023,1000,6023.0,,,,,
2017-06-02,6.238,6.238,6.146,6.176,4600,28409.6,,,,,
2017-06-05,6.238,6.33,6.238,6.33,2500,15825.0,,,,,
2017-06-06,6.453,6.453,6.453,6.453,2200,14196.6,,,,,
2017-06-07,6.453,6.453,6.453,6.453,0,0.0,,,,,
2017-06-08,5.592,5.592,5.592,5.592,100,559.1999999999999,,,,,
2017-06-09,5.592,5.592,5.592,5.592,0,0.0,,,,,
2017-06-12,6.422,6.422,6.422,6.422,200,1284.4,,,,,
2017-06-13,5.47,6.76,5.47,6.76,600,4056.0,,,,,
2017-06-14,5.685,5.685,5.685,5.685,100,568.5,,,,,
2017-06-15,5.685,5.685,5.685,5.685,0,0.0,,,,,
2017-06-16,5.685,5.685,5.685,5.685,0,0.0,,,,,
2017-06-19,6.453,6.514,6.453,6.514,2200,14330.8,,,,,
2017-06-20,6.514,6.514,6.514,6.514,0,0.0,,,,,
2017-06-21,6.76,6.76,6.76,6.76,200,1352.0,,,,,
2017-06-22,6.76,6.76,6.76,6.76,0,0.0,,,,,
2017-06-23,7.067,7.221,7.067,7.221,1000,7221.0,,,,,
2017-06-26,7.16,7.16,7.16,7.16,0,0.0,,,,,
2017-06-27,7.16,7.16,7.16,7.16,0,0.0,,,,,
2017-06-28,7.098,7.498,7.098,7.498,3607,27045.286,,,,,
2017-06-29,7.221,7.221,7.221,7.221,0,0.0,,,,,
2017-06-30,7.221,7.221,7.221,7.221,0,0.0,,,,,
2017-07-03,7.375,7.375,7.375,7.375,100,737.5,,,,,
2017-07-04,7.682,7.682,7.682,7.682,500,3841.0,,,,,
2017-07-05,7.682,7.682,7.682,7.682,0,0.0,,,,,
2017-07-06,7.989,7.989,7.989,7.989,200,1597.8,,,,,
2017-07-07,7.989,7.989,7.989,7.989,75,599.175,,,,,
