time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2006-02-15,12.07,12.07,12.07,12.07,68200,823174.0,,,,,,,,
2006-02-16,12.07,12.07,12.07,12.07,179660,2168496.2,,,,,,,,
2006-02-17,11.89,11.89,11.89,11.89,120180,1428940.2,,,,,,,,
2006-02-20,10.65,10.83,10.65,10.83,153030,1657314.9,,,,,,,,
2006-02-21,11.36,11.36,11.36,11.36,43890,498590.4,,,,,,,,
2006-02-22,11.93,11.93,11.93,11.93,202850,2420000.5,,,,,,,,
2006-02-23,12.07,12.25,12.07,12.25,90230,1105317.5,,,,,,,,
2006-02-24,12.43,12.43,12.32,12.32,119020,1466326.4,,,,,,,,
2006-02-27,12.25,12.25,12.07,12.07,82570,996619.9,,,,,,,,
2006-02-28,11.93,11.93,11.72,11.72,123900,1452108.0,,,,,,,,
2006-03-01,11.97,11.97,11.86,11.86,94690,1123023.4,,,,,,,,
2006-03-02,12.07,12.43,12.07,12.43,136060,1691225.8,,,,,,,,
2006-03-03,12.25,12.25,11.93,11.93,153030,1825647.9,,,,,,,,
2006-03-06,11.93,11.93,11.93,11.93,49880,595068.4,,,,,,,,
2006-03-07,12.0,12.0,12.0,12.0,68020,816240.0,,,,,,,,
2006-03-08,12.07,12.07,12.0,12.0,41240,494880.0,,,,,,,,
2006-03-09,12.39,12.39,12.25,12.25,100170,1227082.5,,,,,,,,
2006-03-10,12.57,12.57,12.43,12.43,82600,1026718.0,,,,,,,,
2006-03-13,12.43,12.5,12.43,12.5,73310,916375.0,,,,,,,,
2006-03-14,12.57,12.57,12.43,12.43,56070,696950.1,,,,,,,,
2006-03-15,11.93,12.0,11.93,12.0,100140,1201680.0,,,,,,,,
2006-03-16,12.25,12.36,12.25,12.36,72660,898077.6,,,,,,,,
2006-03-17,12.43,12.43,12.43,12.43,71730,891603.9,,,,,,,,
2006-03-20,12.6,12.6,12.57,12.57,89640,1126774.8,,,,,,,,
2006-03-21,12.85,13.1,12.85,13.1,193190,2530789.0,,,,,,,,
2006-03-22,13.31,13.31,13.1,13.1,154120,2018972.0,,,,,,,,
2006-03-23,13.1,13.1,12.78,12.78,79530,1016393.4,,,,,,,,
2006-03-24,12.6,12.6,12.43,12.43,41890,520692.7,,,,,,,,
2006-03-27,12.43,12.5,12.43,12.5,38960,487000.0,,,,,,,,
2006-03-28,12.64,12.64,12.6,12.6,45380,571788.0,,,,,,,,
2006-03-29,12.6,12.6,12.6,12.6,106770,1345302.0,,,,,,,,
2006-03-30,12.78,12.78,12.78,12.78,90230,1153139.4,,,,,,,,
2006-03-31,12.96,12.96,12.82,12.82,119600,1533272.0,,,,,,,,
2006-04-03,12.89,12.89,12.82,12.82,58700,752534.0,,,,,,,,
