time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2009-06-08,6.21,6.21,6.21,6.21,21200,131652.0,,,,,,,,
2009-06-09,6.62,6.62,6.62,6.62,4000,26480.0,,,,,,,,
2009-06-10,7.07,7.07,7.07,7.07,23700,167559.0,,,,,,,,
2009-06-11,7.55,7.55,7.55,7.55,2000,15100.0,,,,,,,,
2009-06-15,8.63,8.63,8.63,8.63,10100,87163.00000000001,,,,,,,,
2009-06-16,9.23,9.23,9.23,9.23,142200,1312506.0,,,,,,,,
2009-06-17,9.86,9.86,8.63,9.67,253300,2449411.0,,,,,,,,
2009-06-18,8.63,9.67,8.59,8.97,39800,357006.0,,,,,,,,
2009-06-19,8.93,9.49,8.56,8.67,29400,254898.0,,,,,,,,
2009-06-22,8.93,8.93,8.26,8.26,27000,223020.0,,,,,,,,
2009-06-23,7.7,7.7,7.7,7.7,1900,14630.0,,,,,,,,
2009-06-24,7.18,7.7,7.18,7.7,103300,795410.0,,,,,,,,
2009-06-25,7.44,7.44,6.88,7.07,47100,332997.0,,,,,,,,
2009-06-26,6.92,7.44,6.92,7.29,16900,123201.0,,,,,,,,
2009-06-29,7.4,7.4,7.29,7.29,3600,26244.0,,,,,,,,
2009-06-30,7.07,7.07,6.88,6.88,20700,142416.0,,,,,,,,
2009-07-01,6.44,6.51,6.44,6.44,12300,79212.0,,,,,,,,
2009-07-02,6.44,6.88,6.44,6.85,4500,30825.0,,,,,,,,
2009-07-03,6.18,6.88,6.18,6.88,12800,88064.0,,,,,,,,
2009-07-06,6.92,7.14,6.88,7.14,27200,194208.0,,,,,,,,
2009-07-07,7.11,7.11,6.99,7.07,31600,223412.0,,,,,,,,
2009-07-08,6.62,7.18,6.62,7.18,3200,22976.0,,,,,,,,
2009-07-09,7.25,7.4,7.07,7.11,4900,34839.0,,,,,,,,
2009-07-10,7.18,7.4,6.92,7.4,6600,48840.0,,,,,,,,
2009-07-13,6.85,6.85,6.7,6.77,2300,15570.999999999998,,,,,,,,
2009-07-14,6.77,6.88,6.4,6.81,10100,68781.0,,,,,,,,
2009-07-15,6.7,7.07,6.66,6.7,11200,75040.0,,,,,,,,
2009-07-16,7.07,7.07,6.73,6.99,7900,55221.0,,,,,,,,
2009-07-17,7.4,7.4,7.4,7.4,22000,162800.0,,,,,,,,
2009-07-20,7.89,7.89,7.4,7.81,139700,1091057.0,,,,,,,,
2009-07-21,7.81,8.26,7.81,7.81,27800,217118.0,,,,,,,,
2009-07-22,8.45,8.45,7.55,7.63,7800,59514.0,,,,,,,,
2009-07-23,7.78,7.81,7.52,7.81,24700,192907.0,,,,,,,,
2009-07-24,8.0,8.22,8.0,8.22,8100,66582.0,,,,,,,,
2009-07-27,8.78,8.78,8.18,8.37,30700,256959.0,,,,,,,,
2009-07-28,8.33,8.37,7.81,8.0,24800,198400.0,,,,,,,,
2009-07-29,7.63,7.66,7.52,7.66,20300,155498.0,,,,,,,,
2009-07-30,7.25,7.59,7.25,7.59,8900,67551.0,,,,,,,,
2009-07-31,7.44,8.04,7.44,7.81,11400,89034.0,,,,,,,,
2009-08-03,7.78,8.11,7.44,7.59,9900,75141.0,,,,,,,,
2009-08-04,7.63,7.66,7.4,7.52,11800,88736.0,,,,,,,,
2009-08-05,7.18,7.48,7.18,7.48,6600,49368.0,,,,,,,,
2009-08-06,7.14,7.63,7.14,7.63,13100,99953.0,,,,,,,,
2009-08-07,7.52,7.59,7.48,7.48,9400,70312.0,,,,,,,,
2009-08-10,7.44,7.81,7.44,7.78,8800,68464.0,,,,,,,,
2009-08-11,7.81,7.81,7.44,7.81,25900,202279.0,,,,,,,,
2009-08-12,7.59,8.11,7.59,8.04,32000,257280.0,,,,,,,,
2009-08-13,8.37,8.45,8.04,8.18,27500,224950.0,,,,,,,,
2009-08-14,8.11,8.26,7.92,8.18,25900,211862.0,,,,,,,,
2009-08-17,8.04,8.07,7.96,7.96,21200,168752.0,,,,,,,,
2009-08-18,7.81,7.92,7.74,7.92,14000,110880.0,,,,,,,,
2009-08-19,8.0,8.18,8.0,8.0,19700,157600.0,,,,,,,,
2009-08-20,8.18,8.52,8.18,8.52,54300,462636.0,,,,,,,,
2009-08-21,8.41,8.89,8.41,8.45,45100,381095.0,,,,,,,,
2009-08-24,8.56,8.74,8.45,8.74,13600,118864.0,,,,,,,,
2009-08-25,8.93,8.93,8.52,8.59,40900,351331.0,,,,,,,,
2009-08-26,8.67,9.26,8.67,9.26,98700,913962.0,,,,,,,,
2009-08-27,9.82,9.82,9.82,9.82,19900,195418.0,,,,,,,,
2009-08-28,10.49,10.49,10.49,10.49,35500,372395.0,,,,,,,,
2009-08-31,11.2,11.2,11.01,11.2,171800,1924160.0,,,,,,,,
2009-09-01,11.87,11.87,10.86,11.5,120900,1390350.0,,,,,,,,
2009-09-03,11.01,11.35,10.79,10.79,39600,427284.0,,,,,,,,
2009-09-04,10.97,10.97,10.31,10.34,78400,810656.0,,,,,,,,
2009-09-07,10.31,10.45,9.86,10.45,50900,531905.0,,,,,,,,
2009-09-08,10.23,10.94,10.23,10.94,36700,401498.0,,,,,,,,
2009-09-09,11.68,11.68,11.68,11.68,3100,36208.0,,,,,,,,
2009-09-10,12.46,12.46,12.43,12.46,1514100,18865686.0,,,,,,,,
2009-09-11,13.32,13.32,13.32,13.32,42600,567432.0,,,,,,,,
2009-09-14,14.25,14.25,14.25,14.25,59900,853575.0,,,,,,,,
2009-09-15,15.22,15.22,15.07,15.22,408200,6212804.0,,,,,,,,
2009-09-16,14.17,15.96,14.17,15.07,719100,10836837.0,,,,,,,,
2009-09-17,15.1,15.96,15.1,15.7,237600,3730320.0,,,,,,,,
2009-09-18,15.55,16.63,15.55,16.63,184300,3064909.0,,,,,,,,
2009-09-21,17.63,17.63,17.63,17.63,106900,1884647.0,,,,,,,,
2009-09-22,18.86,18.86,18.42,18.86,490700,9254602.0,,,,,,,,
2009-09-23,20.09,20.09,17.86,18.23,269100,4905693.0,,,,,,,,
2009-09-24,18.64,18.64,17.89,18.04,306800,5534672.0,,,,,,,,
2009-09-25,18.04,19.31,17.41,18.97,129600,2458512.0,,,,,,,,
2009-09-28,18.97,19.35,18.23,18.23,113100,2061813.0,,,,,,,,
2009-09-29,18.53,18.53,17.49,17.67,134900,2383683.0,,,,,,,,
2009-09-30,17.67,17.71,16.93,17.04,112100,1910184.0,,,,,,,,
2009-10-01,17.11,17.11,16.15,16.33,128800,2103304.0,,,,,,,,
2009-10-02,16.0,16.0,15.25,15.63,177300,2771199.0,,,,,,,,
2009-10-05,15.4,16.3,15.4,15.81,86300,1364403.0,,,,,,,,
2009-10-06,16.56,16.56,16.0,16.44,111300,1829772.0,,,,,,,,
2009-10-07,16.74,17.37,16.56,17.3,159100,2752430.0,,,,,,,,
2009-10-08,17.11,17.78,16.93,17.26,94700,1634522.0000000002,,,,,,,,
2009-10-09,17.49,17.78,17.19,17.3,130300,2254190.0,,,,,,,,
2009-10-12,17.86,18.6,17.49,18.6,235800,4385880.0,,,,,,,,
2009-10-13,19.68,19.68,17.93,18.04,110500,1993420.0,,,,,,,,
2009-10-14,17.56,18.23,17.3,17.86,134900,2409314.0,,,,,,,,
2009-10-15,18.23,18.6,17.67,18.08,156400,2827711.9999999995,,,,,,,,
2009-10-16,18.04,18.04,17.34,17.37,170500,2961585.0,,,,,,,,
