time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2024-12-31,4.7,4.7,4.7,4.7,0,0.0,,,,,,,,
2025-01-02,4.7,4.7,4.7,4.7,0,0.0,,,,,,,,
2025-01-03,4.7,4.7,4.7,4.7,0,0.0,,,,,,,,
2025-01-06,4.7,4.7,4.7,4.7,0,0.0,,,,,,,,
2025-01-07,4.7,4.7,4.7,4.7,0,0.0,,,,,,,,
2025-01-08,4.7,4.7,4.7,4.7,0,0.0,,,,,,,,
2025-01-09,4.7,4.7,4.7,4.7,0,0.0,,,,,,,,
2025-01-10,4.7,4.7,4.7,4.7,0,0.0,,,,,,,,
2025-01-13,4.7,4.7,4.7,4.7,0,0.0,,,,,,,,
2025-01-14,4.7,4.7,4.7,4.7,0,0.0,,,,,,,,
2025-01-15,4.7,4.7,4.7,4.7,0,0.0,,,,,,,,
2025-01-16,4.7,4.7,4.7,4.7,0,0.0,,,,,,,,
2025-01-17,4.7,4.7,4.7,4.7,0,0.0,,,,,,,,
2025-01-20,4.7,4.7,4.7,4.7,0,0.0,,,,,,,,
2025-01-21,4.7,4.7,4.7,4.7,0,0.0,,,,,,,,
2025-01-22,4.7,4.7,4.7,4.7,0,0.0,,,,,,,,
2025-01-23,4.7,4.7,4.7,4.7,0,0.0,,,,,,,,
2025-01-24,6.0,6.0,6.0,6.0,100,600.0,,,,,,,,
2025-02-03,6.0,6.0,6.0,6.0,0,0.0,,,,,,,,
2025-02-04,6.0,6.0,6.0,6.0,0,0.0,,,,,,,,
2025-02-05,6.0,6.0,6.0,6.0,0,0.0,,,,,,,,
2025-02-06,6.0,6.0,6.0,6.0,0,0.0,,,,,,,,
2025-02-07,6.0,6.0,6.0,6.0,0,0.0,,,,,,,,
2025-02-10,6.0,6.0,6.0,6.0,0,0.0,,,,,,,,
2025-02-11,6.0,6.0,6.0,6.0,0,0.0,,,,,,,,
2025-02-12,6.0,6.0,6.0,6.0,0,0.0,,,,,,,,
2025-02-13,6.0,6.0,6.0,6.0,0,0.0,,,,,,,,
2025-02-14,6.5,6.5,6.5,6.5,100,650.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-02-17,6.5,6.5,6.5,6.5,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-02-18,6.5,6.5,6.5,6.5,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-02-19,6.5,6.5,6.5,6.5,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-02-20,6.5,6.5,6.5,6.5,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-02-21,5.6,5.6,5.6,5.6,110,616.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-02-24,5.6,5.6,5.6,5.6,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-02-25,5.6,5.6,5.6,5.6,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-02-26,5.6,5.6,5.6,5.6,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-02-27,5.6,5.6,5.6,5.6,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-02-28,5.6,5.6,5.6,5.6,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-03-03,5.6,5.6,5.6,5.6,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-03-04,5.6,5.6,5.6,5.6,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-03-05,5.6,5.6,5.6,5.6,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-03-06,5.6,5.6,5.6,5.6,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-03-07,5.6,5.6,5.6,5.6,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-03-10,5.6,5.6,5.6,5.6,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-03-11,5.6,5.6,5.6,5.6,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-03-12,5.6,5.6,5.6,5.6,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-03-13,5.6,5.6,5.6,5.6,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-03-14,5.6,5.6,5.6,5.6,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-03-17,5.6,5.6,5.6,5.6,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-03-18,5.6,5.6,5.6,5.6,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-03-19,5.6,5.6,5.6,5.6,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-03-20,5.6,5.6,5.6,5.6,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-03-21,5.6,5.6,5.6,5.6,22,123.2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-03-24,5.6,5.6,5.6,5.6,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-03-25,5.6,5.6,5.6,5.6,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-03-26,5.6,5.6,5.6,5.6,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-03-27,5.6,5.6,5.6,5.6,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-03-28,5.6,5.6,5.6,5.6,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-03-31,5.6,5.6,5.6,5.6,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-04-01,5.6,5.6,5.6,5.6,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-04-02,5.6,5.6,5.6,5.6,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-04-03,5.6,5.6,5.6,5.6,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-04-04,5.6,5.6,5.6,5.6,1,5.6,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-04-08,5.6,5.6,5.6,5.6,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-04-09,5.6,5.6,5.6,5.6,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-04-10,5.6,5.6,5.6,5.6,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-04-11,6.4,6.4,6.4,6.4,100,640.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-04-14,6.4,6.4,6.4,6.4,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-04-15,6.4,6.4,6.4,6.4,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-04-16,6.4,6.4,6.4,6.4,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
