time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2010-01-05,5.37,6.14,4.53,5.68,72500,411800.0,,,,,
2010-01-06,5.7,5.7,5.31,5.31,11100,58940.99999999999,,,,,
2010-01-07,5.04,5.05,5.02,5.02,17100,85841.99999999999,,,,,
2010-01-08,4.7,4.91,4.7,4.7,32700,153690.0,,,,,
2010-01-11,4.45,4.61,4.41,4.61,54800,252628.00000000003,,,,,
2010-01-12,4.45,4.73,4.45,4.47,18900,84483.0,,,,,
2010-01-13,4.58,4.61,4.27,4.59,21200,97308.0,,,,,
2010-01-14,4.71,4.71,4.45,4.68,5800,27144.0,,,,,
2010-01-15,4.61,4.61,4.38,4.38,7800,34164.0,,,,,
2010-01-18,4.45,4.45,4.15,4.15,10900,45235.00000000001,,,,,
2010-01-19,4.42,4.42,3.91,4.25,3600,15300.0,,,,,
2010-01-20,4.28,4.28,4.28,4.28,100,428.0,,,,,
2010-01-21,3.99,4.08,3.99,3.99,9300,37107.0,,,,,
2010-01-22,3.85,3.85,3.73,3.81,16400,62484.0,,,,,
2010-01-25,3.61,3.68,3.55,3.61,6100,22021.0,,,,,
2010-01-26,3.87,3.87,3.87,3.87,6100,23607.0,,,,,
2010-01-27,3.99,3.99,3.61,3.64,8900,32396.0,,,,,
2010-01-28,3.55,3.55,3.53,3.53,4400,15532.0,,,,,
2010-01-29,3.7,3.7,3.7,3.7,100,370.0,,,,,
2010-02-01,3.47,3.47,3.45,3.45,11200,38640.0,,,,,
2010-02-02,3.67,3.67,3.38,3.45,2400,8280.0,,,,,
2010-02-03,3.7,3.7,3.38,3.67,5200,19084.0,,,,,
2010-02-04,3.47,3.47,3.38,3.39,6600,22374.0,,,,,
2010-02-05,3.22,3.58,3.22,3.32,1400,4648.0,,,,,
2010-02-08,3.45,3.45,3.44,3.44,800,2752.0,,,,,
2010-02-09,3.64,3.64,3.22,3.22,4100,13202.0,,,,,
2010-02-10,3.45,3.45,3.45,3.45,100,345.0,,,,,
2010-02-11,3.45,3.45,3.45,3.45,600,2070.0,,,,,
2010-02-12,3.68,3.68,3.3,3.3,1900,6270.0,,,,,
2010-02-22,3.56,3.56,3.52,3.52,4700,16544.0,,,,,
2010-02-23,3.45,3.45,3.32,3.32,3000,9960.0,,,,,
2010-02-24,3.22,3.35,3.22,3.35,2200,7370.0,,,,,
2010-02-25,3.32,3.32,3.24,3.32,3400,11288.0,,,,,
2010-02-26,3.3,3.38,3.3,3.38,2800,9464.0,,,,,
2010-03-01,3.38,3.45,3.38,3.45,4600,15870.0,,,,,
2010-03-02,3.39,3.56,3.39,3.53,3900,13767.0,,,,,
