time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2019-07-30,12.65,12.65,9.036,12.65,714800,9042220.0,,,,,
2019-07-31,12.349,12.469,12.349,12.469,76600,955125.4,,,,,
2019-08-01,12.529,12.65,11.385,12.228,44100,539254.8,,,,,
2019-08-02,11.144,11.867,10.24,10.782,59200,638294.4,,,,,
2019-08-05,10.843,10.903,9.277,9.758,86400,843091.2,,,,,
2019-08-06,10.421,10.421,9.036,9.758,210100,2050155.8,,,,,
2019-08-07,9.638,10.421,9.036,9.096,48510,441246.96,,,,,
2019-08-08,9.758,9.879,9.216,9.517,25600,243635.2,,,,,
2019-08-09,10.12,10.12,9.036,9.638,27200,262153.6,,,,,
2019-08-12,9.216,9.638,8.975,9.036,51500,465354.0,,,,,
2019-08-13,8.975,9.036,8.674,8.855,23400,207207.0,,,,,
2019-08-14,8.493,8.795,8.433,8.433,245750,2072409.75,,,,,
2019-08-15,8.493,8.915,8.493,8.614,28620,246532.68,,,,,
2019-08-16,8.554,8.674,8.554,8.554,72310,618539.74,,,,,
2019-08-19,8.554,8.734,8.554,8.734,23840,208218.56,,,,,
2019-08-20,8.554,9.337,8.554,9.216,38360,353525.75999999995,,,,,
2019-08-21,9.216,9.277,9.036,9.096,55670,506374.32,,,,,
2019-08-22,9.156,9.156,8.975,9.096,30600,278337.6,,,,,
2019-08-23,9.036,9.156,8.915,9.156,30040,275046.24,,,,,
2019-08-26,8.975,9.096,8.915,9.036,147200,1330099.2,,,,,
2019-08-27,9.036,9.578,9.036,9.337,212500,1984112.5,,,,,
2019-08-28,9.216,9.277,9.156,9.216,30320,279429.12,,,,,
2019-08-29,9.277,9.277,9.096,9.216,22400,206438.4,,,,,
2019-08-30,9.939,9.939,8.975,9.036,25000,225900.0,,,,,
2019-09-03,9.036,9.096,8.975,9.036,33000,298188.0,,,,,
2019-09-04,8.915,8.975,8.493,8.975,27400,245915.0,,,,,
2019-09-05,8.975,8.975,8.493,8.734,29210,255120.14,,,,,
2019-09-06,8.674,8.975,8.674,8.915,20900,186323.5,,,,,
2019-09-09,8.855,9.036,8.795,8.915,23700,211285.5,,,,,
2019-09-10,8.975,8.975,8.795,8.975,32200,288995.0,,,,,
2019-09-11,8.975,8.975,8.734,8.795,31300,275283.5,,,,,
2019-09-12,8.855,8.855,8.554,8.795,25210,221721.95,,,,,
2019-09-13,8.554,8.975,8.554,8.915,33700,300435.5,,,,,
2019-09-16,8.795,8.795,8.674,8.795,27400,240983.0,,,,,
2019-09-17,8.614,8.795,8.614,8.674,29120,252586.88,,,,,
2019-09-18,8.614,8.795,8.433,8.734,26600,232324.4,,,,,
2019-09-19,8.734,8.734,8.493,8.674,31800,275833.2,,,,,
2019-09-20,8.614,8.674,8.433,8.674,19000,164806.0,,,,,
