time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2006-12-11,7.8,9.1,7.8,9.1,12900,117390.0,,,,,
2006-12-12,9.12,9.12,9.12,9.12,14000,127680.0,,,,,
2006-12-13,10.03,10.03,10.03,10.03,4200,42126.0,,,,,
2006-12-14,11.03,11.03,11.03,11.03,2000,22060.0,,,,,
2006-12-15,12.11,12.11,12.11,13.31,3600,47916.0,,,,,
2006-12-18,13.31,13.31,13.31,13.31,19400,258214.0,,,,,
2006-12-19,14.63,14.63,14.63,13.31,12500,166375.0,,,,,
2006-12-20,16.08,16.08,16.08,16.08,43100,693047.9999999999,,,,,
2006-12-21,17.68,17.68,16.04,16.43,35300,579979.0,,,,,
2006-12-22,16.92,16.92,15.52,15.52,8800,136576.0,,,,,
2006-12-25,14.04,15.17,14.04,14.06,14500,203870.0,,,,,
2006-12-26,14.15,14.95,12.98,14.76,6800,100368.0,,,,,
2006-12-27,15.39,15.6,15.17,15.6,6700,104520.0,,,,,
2006-12-28,15.8,16.25,14.74,15.6,19900,310440.0,,,,,
2006-12-29,15.82,15.82,15.17,15.39,8000,123120.0,,,,,
2007-01-02,15.13,15.39,15.13,15.39,7600,116964.0,,,,,
2007-01-03,15.28,15.28,14.74,15.06,12700,191262.0,,,,,
2007-01-04,14.97,15.17,14.74,15.13,11200,169456.0,,,,,
2007-01-05,15.17,15.82,15.06,15.49,13000,201370.0,,,,,
2007-01-08,16.25,16.25,15.17,15.3,11400,174420.0,,,,,
2007-01-09,15.82,16.25,15.6,15.6,25800,402480.0,,,,,
2007-01-10,16.14,16.14,15.62,15.62,5400,84348.0,,,,,
2007-01-11,15.82,15.82,15.62,15.69,21600,338904.0,,,,,
2007-01-12,15.6,15.82,15.39,15.82,22100,349622.0,,,,,
2007-01-15,15.78,17.14,15.71,15.82,3700,58534.0,,,,,
2007-01-16,15.93,16.04,15.71,15.84,31000,491040.0,,,,,
2007-01-17,15.82,16.04,15.82,15.93,14000,223020.0,,,,,
2007-01-18,16.04,17.12,15.97,16.47,30600,503982.0,,,,,
2007-01-19,16.9,17.88,16.9,17.55,28300,496665.0,,,,,
2007-01-22,17.99,18.31,17.55,17.55,14800,259740.0,,,,,
2007-01-23,17.99,18.2,17.77,18.2,19900,362180.0,,,,,
2007-01-24,18.2,18.42,17.77,17.99,13000,233870.0,,,,,
2007-01-25,18.42,18.42,17.34,17.55,4100,71955.0,,,,,
2007-01-26,17.34,17.55,17.34,17.55,3100,54405.0,,,,,
2007-01-29,17.12,17.88,17.12,17.77,9300,165261.0,,,,,
2007-01-30,19.07,19.07,17.77,17.77,8600,152822.0,,,,,
2007-01-31,20.07,20.07,20.07,20.07,2700,54189.0,,,,,
2007-02-01,22.06,22.06,22.06,22.06,8400,185304.0,,,,,
2007-02-02,24.25,24.25,24.25,24.25,13200,320100.0,,,,,
2007-02-05,26.65,26.65,26.65,26.65,16400,437060.0,,,,,
2007-02-06,29.32,29.32,29.32,29.32,8100,237492.0,,,,,
2007-02-07,32.25,32.25,32.25,32.25,6900,222525.0,,,,,
2007-02-08,35.45,35.45,34.24,34.67,23900,828613.0,,,,,
2007-02-09,36.62,38.14,31.86,31.86,8400,267624.0,,,,,
2007-02-12,29.99,34.67,29.99,34.02,16000,544320.0,,,,,
2007-02-13,34.67,35.76,32.07,35.11,7000,245770.0,,,,,
2007-02-14,34.78,37.27,34.78,36.41,7800,283998.0,,,,,
2007-02-15,37.12,38.98,37.12,38.98,6400,249472.0,,,,,
2007-02-26,42.69,42.69,42.69,42.69,5400,230526.0,,,,,
2007-02-27,46.96,46.96,46.59,46.59,10600,493854.00000000006,,,,,
2007-02-28,51.6,51.6,42.24,46.37,4100,190117.0,,,,,
2007-03-01,41.48,45.51,41.48,41.98,10900,457582.0,,,,,
2007-03-02,41.17,41.17,39.01,41.98,9100,382018.0,,,,,
2007-03-05,44.21,44.25,44.21,44.21,7200,318312.0,,,,,
2007-03-06,48.65,48.65,44.42,45.51,6800,309468.0,,,,,
2007-03-07,45.51,49.84,44.42,44.42,11100,493062.0,,,,,
2007-03-08,45.51,45.51,44.42,44.42,7800,346476.0,,,,,
2007-03-09,45.07,45.55,44.86,44.86,12000,538320.0,,,,,
2007-03-12,49.52,49.52,49.52,49.52,8400,415968.0,,,,,
2007-03-13,54.46,54.46,49.52,50.97,10700,545379.0,,,,,
2007-03-14,48.54,53.09,48.54,50.97,8900,453633.0,,,,,
2007-03-15,49.84,49.84,45.94,46.59,11300,526467.0,,,,,
2007-03-16,47.67,50.93,47.67,50.28,6400,321792.0,,,,,
2007-03-19,52.07,53.05,45.12,50.82,7500,381150.0,,,,,
2007-03-20,45.51,50.93,45.51,48.11,9200,442612.0,,,,,
2007-03-21,47.67,47.67,45.51,46.59,4600,214314.00000000003,,,,,
2007-03-22,46.59,46.59,44.42,45.51,7900,359529.0,,,,,
2007-03-23,45.94,46.48,43.34,45.51,8700,395937.0,,,,,
2007-03-26,44.64,44.64,40.96,45.51,8600,391386.0,,,,,
2007-03-27,41.67,41.67,37.51,45.51,3500,159285.0,,,,,
2007-03-28,35.54,40.74,35.17,39.44,2900,114376.0,,,,,
2007-03-29,40.31,41.54,38.57,41.17,4000,164680.0,,,,,
2007-03-30,42.26,43.32,40.65,41.17,3100,127627.0,,,,,
2007-04-02,43.34,43.34,40.96,40.96,500,20480.0,,,,,
2007-04-03,38.79,38.79,37.53,38.68,2900,112172.0,,,,,
2007-04-04,39.01,39.01,37.49,39.01,5300,206753.0,,,,,
2007-04-05,37.49,37.49,37.49,37.49,300,11247.0,,,,,
2007-04-06,37.49,37.49,35.76,36.73,2200,80806.0,,,,,
2007-04-09,36.62,36.84,35.76,35.76,6200,221712.0,,,,,
2007-04-10,36.41,36.84,35.76,35.97,1800,64746.0,,,,,
2007-04-11,35.76,35.76,35.76,35.76,1200,42912.0,,,,,
2007-04-12,36.41,36.41,34.67,34.67,3600,124812.0,,,,,
2007-04-13,35.11,35.54,35.11,35.54,2100,74634.0,,,,,
2007-04-16,32.94,32.94,32.29,32.29,2900,93641.0,,,,,
2007-04-17,31.42,31.42,31.21,31.42,5100,160242.0,,,,,
2007-04-18,30.34,32.94,30.34,31.47,10000,314700.0,,,,,
2007-04-19,32.48,32.51,31.81,31.96,4200,134232.0,,,,,
2007-04-20,32.29,32.29,31.42,31.42,900,28278.0,,,,,
2007-04-23,31.42,31.42,29.91,29.91,2200,65802.0,,,,,
2007-04-24,28.17,29.69,28.17,29.69,2400,71256.0,,,,,
2007-04-25,31.4,31.42,29.69,29.69,600,17814.0,,,,,
2007-05-02,30.34,30.56,30.34,30.56,2800,85568.0,,,,,
2007-05-03,29.69,29.69,29.25,29.69,1400,41566.0,,,,,
2007-05-04,28.82,29.04,27.74,27.74,2500,69350.0,,,,,
2007-05-07,28.82,28.82,28.45,28.45,600,17070.0,,,,,
2007-05-08,29.28,30.99,29.28,30.99,1000,30990.0,,,,,
2007-05-09,32.51,32.51,29.69,31.42,4800,150816.0,,,,,
2007-05-10,31.38,31.38,29.25,29.25,800,23400.0,,,,,
2007-05-11,31.21,31.38,31.21,31.38,500,15690.0,,,,,
2007-05-14,33.59,33.81,32.29,32.72,3600,117792.0,,,,,
2007-05-15,33.59,33.81,32.77,32.77,4200,137634.0,,,,,
2007-05-16,32.77,32.77,32.77,32.77,0,0.0,,,,,
2007-05-17,32.07,32.51,31.64,32.51,1000,32510.0,,,,,
2007-05-18,31.64,32.51,31.64,31.64,600,18984.0,,,,,
2007-05-21,32.29,34.69,32.29,34.69,6100,211609.0,,,,,
2007-05-22,36.19,36.19,36.19,36.19,7200,260568.0,,,,,
2007-05-23,39.81,39.81,36.84,36.84,15000,552600.0,,,,,
2007-05-24,36.08,36.08,35.65,35.65,2200,78430.0,,,,,
2007-05-25,32.51,36.62,32.51,36.41,11600,422356.0,,,,,
2007-05-28,36.84,36.84,36.19,36.64,9300,340752.0,,,,,
2007-05-29,38.03,38.03,35.97,36.19,5900,213521.0,,,,,
2007-05-30,35.11,35.76,35.11,35.76,5000,178800.0,,,,,
2007-05-31,36.82,36.84,36.41,36.51,5100,186201.0,,,,,
2007-06-01,36.64,36.64,35.54,35.76,7900,282504.0,,,,,
2007-06-04,35.76,35.76,34.89,34.89,700,24423.0,,,,,
2007-06-05,33.61,34.67,33.59,34.24,5400,184896.0,,,,,
2007-06-06,33.81,35.65,33.81,35.65,1200,42780.0,,,,,
2007-06-07,35.54,35.54,35.11,35.32,8800,310816.0,,,,,
2007-06-08,34.89,34.89,34.46,34.67,1700,58939.0,,,,,
2007-06-11,34.67,34.67,34.02,34.02,4100,139482.0,,,,,
2007-06-12,34.24,34.46,33.85,34.26,6200,212412.0,,,,,
2007-06-13,34.67,34.78,34.5,34.65,2000,69300.0,,,,,
2007-06-14,34.67,35.11,34.67,35.11,3900,136929.0,,,,,
2007-06-15,35.11,35.11,34.72,34.72,2300,79856.0,,,,,
