time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2017-07-07,9.873,9.873,9.873,9.873,114260,1128088.98,,,,,
2017-07-10,10.559,10.559,9.942,10.302,2677240,27580926.48,,,,,
2017-07-11,10.319,10.319,9.942,10.113,838360,8478334.68,,,,,
2017-07-12,10.113,10.268,10.045,10.148,376520,3820924.96,,,,,
2017-07-13,10.131,10.131,9.993,9.993,780690,7801435.17,,,,,
2017-07-14,9.959,10.045,9.822,9.839,605590,5958400.010000001,,,,,
2017-07-17,9.925,10.113,9.805,9.976,469140,4680140.640000001,,,,,
2017-07-18,9.942,9.976,9.873,9.873,319370,3153140.01,,,,,
2017-07-19,9.942,9.993,9.856,9.891,279130,2760874.83,,,,,
2017-07-20,9.908,9.942,9.856,9.908,342050,3389031.4,,,,,
2017-07-21,9.908,9.942,9.873,9.891,140450,1389190.95,,,,,
2017-07-24,9.891,9.908,9.891,9.891,282460,2793811.86,,,,,
2017-07-25,9.856,9.942,9.822,9.856,198020,1951685.12,,,,,
2017-07-26,9.891,10.199,9.873,10.096,307260,3102096.96,,,,,
2017-07-27,10.182,10.525,10.096,10.285,438580,4510795.3,,,,,
2017-07-28,10.456,10.525,10.285,10.456,600310,6276841.359999999,,,,,
2017-07-31,10.371,10.491,10.371,10.456,145430,1520616.0799999998,,,,,
2017-08-01,10.456,10.456,10.285,10.285,198280,2039309.8,,,,,
2017-08-02,10.285,10.456,10.251,10.285,530950,5460820.75,,,,,
2017-08-03,10.302,10.473,10.302,10.456,476970,4987198.319999999,,,,,
2017-08-04,10.456,10.456,10.371,10.388,267610,2779932.68,,,,,
2017-08-07,10.388,10.491,10.388,10.456,447390,4677909.84,,,,,
2017-08-08,10.456,10.456,10.336,10.371,236400,2451704.4,,,,,
2017-08-09,10.302,10.439,10.199,10.285,384710,3956742.35,,,,,
2017-08-10,10.148,10.371,10.131,10.302,172920,1781421.84,,,,,
2017-08-11,10.268,10.336,10.268,10.302,125740,1295373.48,,,,,
2017-08-14,10.371,10.371,10.199,10.285,168300,1730965.5,,,,,
2017-08-15,10.456,10.456,9.942,10.285,151120,1554269.2,,,,,
2017-08-16,10.113,10.319,10.113,10.285,73300,753890.5,,,,,
2017-08-17,10.285,10.302,10.199,10.285,190470,1958983.95,,,,,
2017-08-18,10.268,10.285,10.268,10.285,159680,1642308.8,,,,,
2017-08-21,10.285,10.353,10.251,10.285,176960,1820033.6,,,,,
2017-08-22,10.285,10.285,10.233,10.268,71320,732313.76,,,,,
2017-08-23,10.285,10.285,10.233,10.251,61150,626848.65,,,,,
2017-08-24,10.268,10.268,10.233,10.268,199860,2052162.48,,,,,
2017-08-25,10.233,10.268,10.199,10.233,60460,618687.18,,,,,
2017-08-28,10.199,10.233,10.165,10.165,58920,598921.7999999999,,,,,
2017-08-29,10.148,10.199,10.113,10.165,49710,505302.15,,,,,
2017-08-30,10.165,10.165,10.113,10.165,72360,735539.3999999999,,,,,
2017-08-31,10.165,10.165,10.113,10.148,63060,639932.88,,,,,
2017-09-01,10.199,10.199,10.148,10.148,19610,199002.28,,,,,
2017-09-05,10.113,10.131,10.079,10.113,41150,416149.95,,,,,
2017-09-06,10.079,10.079,9.942,9.942,63080,627141.36,,,,,
2017-09-07,9.942,9.942,9.856,9.873,174740,1725208.0199999998,,,,,
2017-09-08,9.993,9.993,9.839,9.839,81480,801681.7200000001,,,,,
2017-09-11,9.856,9.856,9.462,9.462,95710,905608.02,,,,,
2017-09-12,9.445,9.634,9.445,9.599,110930,1064817.07,,,,,
2017-09-13,9.599,9.925,9.565,9.925,109080,1082619.0,,,,,
2017-09-14,9.771,9.788,9.651,9.651,57710,556959.21,,,,,
2017-09-15,9.651,9.668,9.514,9.514,170940,1626323.16,,,,,
2017-09-18,9.514,9.599,9.428,9.599,97640,937246.36,,,,,
2017-09-19,9.599,9.599,9.514,9.582,131570,1260703.74,,,,,
2017-09-20,9.599,9.788,9.582,9.685,122020,1181763.7,,,,,
2017-09-21,9.685,9.685,9.548,9.599,19560,187756.44,,,,,
2017-09-22,9.599,9.736,9.599,9.685,75900,735091.5,,,,,
2017-09-25,9.668,9.685,9.531,9.668,23790,230001.72,,,,,
2017-09-26,9.685,10.011,9.634,9.976,115860,1155819.36,,,,,
2017-09-27,9.976,10.079,9.908,10.011,162700,1628789.7,,,,,
2017-09-28,10.079,10.199,10.011,10.096,135840,1371440.64,,,,,
2017-09-29,10.113,10.251,10.113,10.233,146220,1496269.26,,,,,
2017-10-02,10.285,10.285,9.976,9.976,32020,319431.52,,,,,
2017-10-03,10.113,10.113,9.942,9.959,40260,400949.34,,,,,
2017-10-04,9.942,10.113,9.942,10.113,15340,155133.41999999998,,,,,
2017-10-05,10.028,10.131,10.028,10.113,34120,345055.56,,,,,
2017-10-06,10.148,10.148,10.028,10.096,23010,232308.96,,,,,
2017-10-09,10.113,10.199,10.113,10.131,105800,1071859.8,,,,,
2017-10-10,10.182,10.182,10.131,10.148,70890,719391.72,,,,,
2017-10-11,10.165,10.182,10.148,10.182,40670,414101.94,,,,,
2017-10-12,10.199,10.456,10.199,10.456,489320,5116329.92,,,,,
2017-10-13,10.542,10.868,10.542,10.799,289190,3122962.81,,,,,
2017-10-16,11.005,11.313,10.816,11.313,255590,2891489.67,,,,,
2017-10-17,11.468,11.485,10.971,11.108,164700,1829487.6,,,,,
2017-10-18,11.142,11.142,10.885,10.885,164000,1785140.0,,,,,
2017-10-19,11.039,11.039,10.799,11.005,82610,909123.05,,,,,
2017-10-20,10.953,10.988,10.799,10.936,85110,930762.96,,,,,
2017-10-23,10.885,10.953,10.799,10.799,97230,1049986.77,,,,,
2017-10-24,10.628,10.833,10.628,10.833,45500,492901.5,,,,,
2017-10-25,11.039,11.039,10.833,10.833,71080,770009.64,,,,,
2017-10-26,10.679,11.125,10.679,10.713,10540,112915.02,,,,,
2017-10-27,10.713,10.799,10.628,10.799,33230,358850.77,,,,,
2017-10-30,10.833,10.971,10.645,10.731,85240,914710.44,,,,,
2017-10-31,10.731,10.885,10.713,10.731,107550,1154119.05,,,,,
2017-11-01,10.731,10.782,10.713,10.731,45500,488260.5,,,,,
2017-11-02,10.868,10.868,10.731,10.731,85810,920827.11,,,,,
2017-11-03,10.731,10.953,10.731,10.731,47140,505859.34,,,,,
2017-11-06,10.799,11.125,10.748,11.125,76070,846278.75,,,,,
2017-11-07,11.228,11.228,11.125,11.125,12070,134278.75,,,,,
2017-11-08,10.816,11.125,10.816,11.108,7040,78200.32,,,,,
2017-11-09,11.108,11.142,11.056,11.125,109910,1222748.75,,,,,
2017-11-10,10.816,11.176,10.816,11.142,48250,537601.5,,,,,
2017-11-13,11.125,11.279,11.125,11.142,72610,809020.62,,,,,
2017-11-14,11.142,11.913,10.988,11.913,385270,4589721.51,,,,,
2017-11-15,12.085,12.342,11.69,12.17,140430,1709033.1,,,,,
2017-11-16,11.759,12.342,11.759,12.342,53800,663999.6,,,,,
2017-11-17,12.033,12.513,12.016,12.256,193880,2376193.2800000003,,,,,
2017-11-20,12.016,12.256,11.999,12.256,74840,917239.04,,,,,
