time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2016-12-16,11.181,11.181,7.986,9.396,6400,60134.40000000001,,,,,,,,
2016-12-19,9.865,10.241,9.865,10.1,10766,108736.6,,,,,,,,
2016-12-20,9.865,9.865,8.55,8.738,11000,96118.0,,,,,,,,
2016-12-21,9.396,9.396,8.691,8.691,9300,80826.3,,,,,,,,
2016-12-22,8.738,8.785,8.738,8.738,5900,51554.2,,,,,,,,
2016-12-23,8.738,8.785,8.691,8.691,12000,104292.0,,,,,,,,
2016-12-26,8.691,8.691,8.456,8.456,12700,107391.2,,,,,,,,
2016-12-27,8.503,8.503,8.456,8.456,12200,103163.2,,,,,,,,
2016-12-28,8.362,8.362,8.221,8.362,11600,96999.2,,,,,,,,
2016-12-29,7.986,7.986,7.657,7.657,8400,64318.8,,,,,,,,
2016-12-30,7.61,7.751,7.61,7.657,28100,215161.7,,,,,,,,
2017-01-03,7.751,8.738,7.751,8.738,31800,277868.4,,,,,,,,
2017-01-04,7.892,8.879,7.892,8.503,700,5952.1,,,,,,,,
2017-01-05,8.127,8.127,8.08,8.127,4900,39822.3,,,,,,,,
2017-01-06,8.127,8.127,8.127,8.127,4000,32508.000000000004,,,,,,,,
2017-01-09,8.127,8.221,8.127,8.221,22700,186616.7,,,,,,,,
2017-01-10,8.221,8.221,8.127,8.127,3100,25193.7,,,,,,,,
2017-01-11,8.174,8.268,8.174,8.268,5900,48781.2,,,,,,,,
2017-01-12,8.503,8.597,8.221,8.221,11700,96185.7,,,,,,,,
2017-01-13,8.691,8.691,8.691,8.691,10000,86910.0,,,,,,,,
2017-01-16,8.268,8.268,8.268,8.268,5700,47127.600000000006,,,,,,,,
2017-01-17,8.362,8.785,8.362,8.644,10500,90762.0,,,,,,,,
2017-01-18,8.409,8.409,7.516,7.516,20210,151898.36,,,,,,,,
2017-01-19,8.174,8.268,8.174,8.174,38500,314699.0,,,,,,,,
2017-01-20,8.221,8.409,8.221,8.221,15300,125781.3,,,,,,,,
2017-01-23,8.362,8.362,8.033,8.033,9100,73100.29999999999,,,,,,,,
2017-01-24,8.315,8.315,8.315,8.315,0,0.0,,,,,,,,
2017-01-25,9.067,9.067,9.02,9.02,200,1804.0,,,,,,,,
2017-02-02,9.067,9.067,9.067,9.067,0,0.0,,,,,,,,
2017-02-03,8.926,9.02,8.926,8.926,32400,289202.4,,,,,,,,
2017-02-06,8.926,8.926,8.221,8.268,35800,295994.4,,,,,,,,
2017-02-07,8.879,8.879,8.033,8.033,10300,82739.9,,,,,,,,
2017-02-08,8.456,8.456,8.362,8.362,3400,28430.8,,,,,,,,
2017-02-09,8.456,8.456,8.456,8.456,10630,89887.28,,,,,,,,
2017-02-10,8.127,8.456,8.127,8.268,2200,18189.6,,,,,,,,
2017-02-13,8.456,8.456,8.456,8.456,2500,21140.0,,,,,,,,
2017-02-14,8.456,8.503,8.456,8.503,34100,289952.3,,,,,,,,
2017-02-15,8.503,8.597,8.503,8.503,28600,243185.8,,,,,,,,
2017-02-16,8.503,8.503,8.503,8.503,100,850.3,,,,,,,,
2017-02-17,8.503,8.503,8.503,8.503,0,0.0,,,,,,,,
2017-02-20,8.174,8.362,8.174,8.315,25500,212032.5,,,,,,,,
2017-02-21,8.08,8.456,8.08,8.315,52840,439364.6,,,,,,,,
2017-02-22,8.221,8.315,8.174,8.315,17500,145512.5,,,,,,,,
2017-02-23,8.456,8.456,8.362,8.362,28200,235808.4,,,,,,,,
2017-02-24,8.362,8.409,8.362,8.362,23600,197343.2,,,,,,,,
2017-02-27,8.409,8.456,8.409,8.456,27000,228312.0,,,,,,,,
2017-02-28,8.55,8.55,8.503,8.503,9300,79077.9,,,,,,,,
2017-03-01,8.503,8.691,8.503,8.597,54100,465097.7,,,,,,,,
2017-03-02,8.691,9.161,8.691,9.114,54100,493067.4,,,,,,,,
2017-03-03,9.067,9.114,8.926,9.02,35600,321112.0,,,,,,,,
2017-03-06,9.067,9.067,9.02,9.02,18300,165066.0,,,,,,,,
2017-03-07,9.255,9.302,9.067,9.114,13800,125773.2,,,,,,,,
2017-03-08,8.832,9.631,8.832,9.631,19700,189730.7,,,,,,,,
2017-03-09,9.161,9.255,9.161,9.161,8500,77868.5,,,,,,,,
2017-03-10,9.255,9.255,9.161,9.161,11000,100771.0,,,,,,,,
2017-03-13,9.161,9.161,8.832,8.832,6780,59880.96000000001,,,,,,,,
2017-03-14,9.067,9.067,9.067,9.067,63100,572127.7,,,,,,,,
2017-03-15,9.067,9.067,9.02,9.02,14000,126280.0,,,,,,,,
2017-03-16,9.067,9.067,9.067,9.067,9600,87043.2,,,,,,,,
2017-03-17,9.067,9.067,9.067,9.067,30300,274730.1,,,,,,,,
2017-03-20,9.067,9.067,9.067,9.067,25040,227037.68,,,,,,,,
2017-03-21,7.892,9.631,7.892,9.02,5130,46272.6,,,,,,,,
2017-03-22,8.268,9.396,8.268,8.926,10400,92830.4,,,,,,,,
2017-03-23,8.973,8.973,8.926,8.926,10000,89260.0,,,,,,,,
2017-03-24,8.973,8.973,8.973,8.973,5600,50248.8,,,,,,,,
2017-03-27,9.067,9.067,9.02,9.067,17500,158672.5,,,,,,,,
2017-03-28,9.114,9.208,9.114,9.208,45000,414360.0,,,,,,,,
2017-03-29,9.114,9.114,9.114,9.114,3030,27615.42,,,,,,,,
2017-03-30,9.161,9.208,9.114,9.208,8000,73664.0,,,,,,,,
2017-03-31,8.644,9.114,8.644,9.114,1100,10025.4,,,,,,,,
2017-04-03,9.161,9.161,9.161,9.161,1900,17405.899999999998,,,,,,,,
2017-04-04,9.067,9.067,9.02,9.02,7000,63140.0,,,,,,,,
2017-04-05,8.926,9.161,8.926,9.161,3100,28399.1,,,,,,,,
2017-04-07,9.161,9.161,9.161,9.161,2400,21986.4,,,,,,,,
2017-04-10,9.067,9.067,9.02,9.02,2415,21783.3,,,,,,,,
2017-04-11,9.067,9.067,9.067,9.067,13100,118777.7,,,,,,,,
2017-04-12,9.067,9.067,9.067,9.067,12140,110073.38,,,,,,,,
2017-04-13,9.067,9.067,9.067,9.067,8300,75256.1,,,,,,,,
2017-04-14,9.114,9.114,9.114,9.114,400,3645.6,,,,,,,,
2017-04-17,9.114,9.114,9.114,9.114,6600,60152.4,,,,,,,,
2017-04-18,9.114,9.114,9.114,9.114,1000,9114.0,,,,,,,,
2017-04-19,9.067,9.067,9.067,9.067,35400,320971.8,,,,,,,,
2017-04-20,9.02,9.02,8.973,8.973,12560,112700.88,,,,,,,,
2017-04-21,9.161,9.161,9.161,9.161,7000,64127.0,,,,,,,,
2017-04-24,9.161,9.161,9.161,9.161,7300,66875.3,,,,,,,,
