time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2017-08-15,17.317,17.317,17.317,17.317,410,7099.97,,,,,,,,
2017-08-16,18.516,18.516,18.516,18.516,10000,185160.0,,,,,,,,
2017-08-17,19.791,19.791,19.791,19.791,20000,395820.0,,,,,,,,
2017-08-18,21.168,21.168,19.791,21.168,573420,12138154.56,,,,,,,,
2017-08-21,22.29,22.647,21.933,22.647,169100,3829607.7,,,,,,,,
2017-08-22,23.514,24.228,23.463,24.228,265440,6431080.32,,,,,,,,
2017-08-23,22.953,24.228,22.545,22.545,131540,2965569.3000000003,,,,,,,,
2017-08-24,20.989,21.372,20.989,20.989,185460,3892619.94,,,,,,,,
2017-08-25,20.148,20.811,19.587,19.893,193110,3841537.23,,,,,,,,
2017-08-28,19.74,21.27,19.74,21.27,77270,1643532.9,,,,,,,,
2017-08-29,21.27,21.27,20.505,20.709,60010,1242747.09,,,,,,,,
2017-08-30,20.505,20.658,19.893,20.403,42610,869371.83,,,,,,,,
2017-08-31,20.403,20.403,19.74,19.995,82220,1643988.9,,,,,,,,
2017-09-01,19.944,20.148,19.74,19.944,33480,667725.12,,,,,,,,
2017-09-05,19.944,19.944,19.434,19.536,49780,972502.08,,,,,,,,
2017-09-06,19.434,19.893,19.434,19.434,31980,621499.3200000001,,,,,,,,
2017-09-07,19.383,19.638,19.332,19.383,33610,651462.63,,,,,,,,
2017-09-08,19.281,19.332,18.771,18.771,48740,914898.54,,,,,,,,
2017-09-11,18.567,18.771,17.47,17.47,83100,1451757.0,,,,,,,,
2017-09-12,18.107,18.669,17.546,18.669,44660,833757.54,,,,,,,,
2017-09-13,18.516,18.618,17.852,18.363,5590,102649.17,,,,,,,,
2017-09-14,18.439,18.439,18.158,18.26,23530,429657.8000000001,,,,,,,,
2017-09-15,17.929,18.363,17.929,18.26,28320,517123.20000000007,,,,,,,,
2017-09-18,18.26,18.26,17.98,18.158,18580,337375.64,,,,,,,,
2017-09-19,18.516,19.128,18.363,18.567,22830,423884.61,,,,,,,,
2017-09-20,18.567,19.842,18.567,19.459,122380,2381392.42,,,,,,,,
2017-09-21,19.816,19.816,19.383,19.561,33790,660966.19,,,,,,,,
2017-09-22,19.561,19.638,18.363,19.485,25060,488294.1,,,,,,,,
2017-09-25,19.383,19.383,19.051,19.051,20260,385973.26,,,,,,,,
2017-09-26,19.026,19.383,18.949,19.179,13760,263903.04,,,,,,,,
2017-09-27,19.179,19.179,18.949,18.949,12120,229661.88000000003,,,,,,,,
2017-09-28,18.949,19.102,18.439,18.439,65130,1200932.07,,,,,,,,
2017-09-29,18.465,18.873,18.363,18.618,25780,479972.04,,,,,,,,
2017-10-02,18.618,18.796,18.618,18.771,13360,250780.56,,,,,,,,
2017-10-03,18.771,18.873,18.363,18.847,12610,237660.67,,,,,,,,
2017-10-04,18.796,18.873,18.465,18.873,10140,191372.22,,,,,,,,
2017-10-05,18.669,18.873,18.618,18.822,9570,180126.53999999998,,,,,,,,
2017-10-06,18.541,18.822,18.465,18.771,8110,152232.81,,,,,,,,
2017-10-09,19.033,19.61,18.981,19.243,11910,229184.13,,,,,,,,
2017-10-10,19.295,19.295,18.876,18.876,17590,332028.84,,,,,,,,
2017-10-11,18.876,19.086,18.771,18.771,19170,359840.07,,,,,,,,
2017-10-12,18.719,19.033,18.509,18.509,14060,260236.54,,,,,,,,
2017-10-13,18.352,18.509,18.168,18.43,25160,463698.8,,,,,,,,
2017-10-16,18.352,18.614,18.247,18.352,23970,439897.44,,,,,,,,
2017-10-17,18.299,18.876,18.299,18.771,17490,328304.79000000004,,,,,,,,
2017-10-18,18.771,19.138,18.771,19.033,27580,524930.14,,,,,,,,
2017-10-19,19.033,19.295,18.981,19.269,34790,670368.5099999999,,,,,,,,
2017-10-20,19.295,20.606,19.295,20.449,178170,3643398.33,,,,,,,,
2017-10-23,20.239,21.76,20.187,21.602,134040,2895532.08,,,,,,,,
2017-10-24,21.602,21.602,20.973,21.235,142630,3028748.05,,,,,,,,
2017-10-25,21.235,22.704,20.868,22.022,240190,5289464.18,,,,,,,,
2017-10-26,22.022,22.704,21.34,21.393,77710,1662450.03,,,,,,,,
2017-10-27,21.393,21.76,21.235,21.602,25970,561003.9400000001,,,,,,,,
2017-10-30,21.602,21.602,20.973,21.131,82790,1749435.49,,,,,,,,
2017-10-31,21.078,21.498,20.711,21.367,50170,1071982.39,,,,,,,,
2017-11-01,21.367,21.367,20.973,21.235,25220,535546.7,,,,,,,,
2017-11-02,20.999,21.445,20.711,20.711,42900,888501.8999999999,,,,,,,,
2017-11-03,20.554,20.606,19.951,20.606,24270,500107.62000000005,,,,,,,,
2017-11-06,20.449,20.921,20.449,20.659,14540,300381.86,,,,,,,,
2017-11-07,20.921,21.078,20.344,20.554,65060,1337243.24,,,,,,,,
2017-11-08,20.554,20.816,20.344,20.711,26140,541385.5399999999,,,,,,,,
2017-11-09,20.711,20.816,20.239,20.554,32810,674376.74,,,,,,,,
2017-11-10,20.449,20.449,19.925,20.396,35380,721610.48,,,,,,,,
2017-11-13,20.029,20.396,19.925,19.925,36980,736826.5,,,,,,,,
2017-11-14,19.82,20.501,19.767,20.056,31030,622337.68,,,,,,,,
2017-11-15,20.003,20.37,19.925,20.344,17690,359885.36000000004,,,,,,,,
2017-11-16,20.396,20.396,19.951,20.187,31630,638514.81,,,,,,,,
2017-11-17,20.187,20.449,20.029,20.449,7750,158479.75,,,,,,,,
2017-11-20,20.449,20.659,20.029,20.449,6210,126988.29,,,,,,,,
