time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2010-05-25,6.64,6.99,6.36,6.85,266200,1823470.0,,,,,,,,
2010-05-26,6.82,6.82,6.36,6.36,100100,636636.0,,,,,,,,
2010-05-27,6.5,6.64,6.26,6.54,66400,434256.0,,,,,,,,
2010-05-28,6.82,6.89,6.71,6.75,138200,932850.0,,,,,,,,
2010-05-31,6.82,6.82,6.33,6.33,39700,251301.0,,,,,,,,
2010-06-01,6.29,6.5,6.29,6.33,58500,370305.0,,,,,,,,
2010-06-02,6.43,6.43,6.26,6.29,86500,544085.0,,,,,,,,
2010-06-03,6.57,6.57,6.26,6.29,86800,545972.0,,,,,,,,
2010-06-04,6.33,6.36,6.19,6.26,21900,137094.0,,,,,,,,
2010-06-07,6.12,6.15,5.87,5.87,83900,492493.0,,,,,,,,
2010-06-08,5.87,5.98,5.77,5.94,25700,152658.0,,,,,,,,
2010-06-09,5.94,5.94,5.7,5.73,44100,252693.00000000003,,,,,,,,
2010-06-10,6.15,6.15,5.91,6.12,60100,367812.0,,,,,,,,
2010-06-11,6.15,6.26,5.77,5.77,81100,467947.0,,,,,,,,
2010-06-14,6.05,6.05,5.91,5.91,9800,57918.0,,,,,,,,
2010-06-15,5.94,6.08,5.91,5.91,46200,273042.0,,,,,,,,
2010-06-16,6.01,6.26,5.87,6.22,78300,487026.0,,,,,,,,
2010-06-17,6.08,6.47,6.05,6.47,290400,1878888.0,,,,,,,,
2010-06-18,6.43,6.54,6.29,6.36,103200,656352.0,,,,,,,,
2010-06-21,6.47,6.47,6.29,6.43,95200,612136.0,,,,,,,,
2010-06-22,6.47,6.47,6.22,6.22,36200,225164.0,,,,,,,,
2010-06-23,6.08,6.33,6.08,6.19,123800,766322.0,,,,,,,,
2010-06-24,6.4,6.4,5.98,6.08,210400,1279232.0,,,,,,,,
2010-06-25,6.19,6.19,5.77,6.01,88900,534289.0,,,,,,,,
2010-06-28,6.12,6.12,5.94,6.01,38100,228981.0,,,,,,,,
2010-06-29,6.05,6.15,5.98,6.12,51100,312732.0,,,,,,,,
