time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2006-12-28,27.72,30.16,27.72,29.43,34900,1027107.0,,,,,
2006-12-29,32.37,32.37,30.98,32.04,49500,1585980.0,,,,,
2007-01-02,35.22,35.22,35.22,35.22,45200,1591944.0,,,,,
2007-01-03,38.72,38.72,38.72,38.72,36700,1421024.0,,,,,
2007-01-04,42.56,42.56,38.32,40.52,57300,2321796.0,,,,,
2007-01-05,40.52,40.52,37.5,39.21,27100,1062591.0,,,,,
2007-01-08,35.3,37.42,35.3,36.61,18700,684607.0,,,,,
2007-01-09,35.06,35.06,33.02,33.43,34100,1139963.0,,,,,
2007-01-10,33.43,33.43,31.47,32.61,38600,1258746.0,,,,,
2007-01-11,32.61,32.61,31.8,32.61,57200,1865292.0,,,,,
2007-01-12,35.55,35.55,32.61,33.43,39500,1320485.0,,,,,
2007-01-15,33.83,35.06,32.61,34.24,47100,1612704.0,,,,,
2007-01-16,34.65,36.69,33.43,35.06,75000,2629500.0,,,,,
2007-01-17,36.69,36.69,32.61,32.61,45600,1487016.0,,,,,
2007-01-18,34.65,34.65,31.8,31.8,40500,1287900.0,,,,,
2007-01-19,35.06,35.63,31.8,31.8,47100,1497780.0,,,,,
2007-01-22,32.61,32.61,29.76,31.8,47800,1520040.0,,,,,
2007-01-23,31.39,31.8,31.39,31.39,32400,1017036.0,,,,,
2007-01-24,31.39,31.8,30.57,30.98,29700,920106.0,,,,,
2007-01-25,30.65,31.31,30.16,30.65,37500,1149375.0,,,,,
2007-01-26,30.33,31.39,30.16,31.39,34500,1082955.0,,,,,
2007-01-29,32.61,32.61,31.39,31.8,46200,1469160.0,,,,,
2007-01-30,32.45,32.61,32.2,32.61,87500,2853375.0,,,,,
2007-01-31,32.61,33.02,32.53,33.02,78600,2595372.0000000005,,,,,
2007-02-01,34.24,34.24,33.1,33.34,28200,940188.0,,,,,
2007-02-02,33.43,35.06,32.61,33.43,75700,2530651.0,,,,,
2007-02-05,33.83,34.24,33.26,33.34,98700,3290658.0000000005,,,,,
2007-02-06,33.43,34.24,33.02,33.43,79100,2644313.0,,,,,
2007-02-07,33.43,33.83,30.16,33.18,48300,1602594.0,,,,,
2007-02-08,32.77,33.43,32.2,32.61,43000,1402230.0,,,,,
2007-02-09,33.43,33.43,32.2,32.69,70400,2301376.0,,,,,
2007-02-12,32.77,33.43,32.61,33.02,41300,1363726.0000000002,,,,,
2007-02-13,33.02,33.75,32.61,33.51,45100,1511301.0,,,,,
2007-02-14,33.43,33.83,32.61,33.43,38900,1300427.0,,,,,
2007-02-15,35.06,35.46,33.43,35.46,53000,1879380.0,,,,,
2007-02-26,37.83,37.83,36.69,37.83,37800,1429974.0,,,,,
2007-02-27,41.5,41.5,40.76,41.5,119800,4971700.0,,,,,
2007-02-28,45.57,45.57,41.5,44.43,246800,10965324.0,,,,,
2007-03-01,44.84,44.84,40.03,43.62,105300,4593186.0,,,,,
2007-03-02,42.8,42.8,40.76,43.62,98700,4305294.0,,,,,
2007-03-05,42.39,44.84,40.76,44.43,119200,5296056.0,,,,,
2007-03-06,47.86,47.86,45.65,47.86,143500,6867910.0,,,,,
2007-03-07,51.77,51.77,51.77,51.77,61900,3204563.0,,,,,
2007-03-08,56.91,56.91,56.91,56.91,125300,7130823.0,,,,,
2007-03-09,62.53,62.53,55.19,55.19,232400,12826156.0,,,,,
2007-03-12,61.96,61.96,55.6,55.6,56400,3135840.0,,,,,
2007-03-13,50.22,55.44,50.22,53.4,161200,8608080.0,,,,,
2007-03-14,52.18,52.99,49.73,53.4,146200,7807080.0,,,,,
2007-03-15,48.92,50.22,46.47,47.94,68200,3269508.0,,,,,
2007-03-16,47.29,53.81,44.84,53.81,99500,5354095.0,,,,,
