time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2016-08-15,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-08-16,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-08-17,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-08-18,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-08-19,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-08-22,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-08-23,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-08-24,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-08-25,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-08-26,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-08-29,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-08-30,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-08-31,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-09-01,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-09-05,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-09-06,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-09-07,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-09-08,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-09-09,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-09-12,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-09-13,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-09-14,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-09-15,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-09-16,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-09-19,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-09-20,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-09-21,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-09-22,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-09-23,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-09-26,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-09-27,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-09-28,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-09-29,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-09-30,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-10-03,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-10-04,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-10-05,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-10-06,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-10-07,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-10-10,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-10-11,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-10-12,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-10-13,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-10-14,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-10-17,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-10-18,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-10-19,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-10-20,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-10-21,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-10-24,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-10-25,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-10-26,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-10-27,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-10-28,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-10-31,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
2016-11-01,4.991,4.991,4.991,4.991,0,0.0,,,,,,,,
