time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2017-01-03,13.95,13.95,11.81,12.622,584600,7378821.2,,,,,,,,
2017-01-04,13.286,13.286,11.81,11.884,97300,1156313.2,,,,,,,,
2017-01-05,11.884,11.884,10.481,10.85,121100,1313935.0,,,,,,,,
2017-01-06,9.3,10.998,9.3,10.481,123200,1291259.2,,,,,,,,
2017-01-09,10.481,10.481,9.743,10.112,39300,397401.6,,,,,,,,
2017-01-10,10.112,10.186,9.891,10.112,19300,195161.6,,,,,,,,
2017-01-11,10.186,10.186,9.964,9.964,41050,409022.2,,,,,,,,
2017-01-12,10.038,10.038,9.669,9.743,31920,310996.56,,,,,,,,
2017-01-13,9.595,9.595,9.226,9.374,53550,501977.7,,,,,,,,
2017-01-16,9.595,9.595,8.857,8.857,78850,698374.45,,,,,,,,
2017-01-17,9.079,9.079,8.636,8.71,37000,322270.00000000006,,,,,,,,
2017-01-18,8.857,8.857,8.71,8.71,10100,87971.00000000001,,,,,,,,
2017-01-19,8.784,8.784,8.562,8.636,16720,144393.91999999998,,,,,,,,
2017-01-20,8.636,9.079,8.636,8.931,12500,111637.5,,,,,,,,
2017-01-23,8.857,8.931,8.784,8.931,9500,84844.49999999999,,,,,,,,
2017-01-24,8.784,8.857,8.71,8.857,5520,48890.64,,,,,,,,
2017-01-25,8.784,9.226,8.71,9.226,6400,59046.40000000001,,,,,,,,
2017-02-02,8.119,9.448,8.119,8.71,2600,22646.000000000004,,,,,,,,
2017-02-03,8.857,8.857,8.71,8.857,9160,81130.12,,,,,,,,
2017-02-06,8.857,9.005,8.784,8.857,30365,268942.805,,,,,,,,
2017-02-07,8.857,9.153,8.857,8.857,9000,79713.0,,,,,,,,
2017-02-08,8.784,8.784,8.71,8.71,12300,107133.0,,,,,,,,
2017-02-09,8.784,9.079,8.784,8.784,12400,108921.6,,,,,,,,
2017-02-10,8.931,8.931,8.857,8.857,20100,178025.69999999998,,,,,,,,
2017-02-13,8.784,8.931,8.71,8.71,30050,261735.50000000003,,,,,,,,
2017-02-14,8.784,8.857,8.71,8.784,12300,108043.2,,,,,,,,
2017-02-15,8.857,8.931,8.71,8.71,112300,978133.0,,,,,,,,
2017-02-16,8.784,8.857,8.71,8.784,160800,1412467.2000000002,,,,,,,,
2017-02-17,8.784,8.784,8.784,8.784,122200,1073404.8,,,,,,,,
2017-02-20,8.784,9.374,8.784,9.226,84100,775906.6000000001,,,,,,,,
2017-02-21,9.226,9.448,9.226,9.374,67600,633682.4,,,,,,,,
2017-02-22,9.3,9.3,9.153,9.153,18800,172076.40000000002,,,,,,,,
2017-02-23,9.079,9.153,8.857,9.005,49310,444036.5500000001,,,,,,,,
2017-02-24,8.857,9.079,8.488,8.488,84500,717236.0,,,,,,,,
2017-02-27,8.71,8.784,8.488,8.562,82700,708077.3999999999,,,,,,,,
2017-02-28,8.636,8.857,8.636,8.71,14600,127166.0,,,,,,,,
2017-03-01,8.71,8.71,8.636,8.71,27410,238741.10000000003,,,,,,,,
2017-03-02,8.784,8.784,8.71,8.71,20380,177509.80000000002,,,,,,,,
2017-03-03,8.71,8.857,8.71,8.857,25700,227624.9,,,,,,,,
2017-03-06,8.857,8.857,8.784,8.857,7810,69173.17,,,,,,,,
2017-03-07,8.857,8.931,8.784,8.857,11770,104246.88999999998,,,,,,,,
2017-03-08,8.857,8.857,8.784,8.784,97300,854683.2000000001,,,,,,,,
2017-03-09,8.784,8.857,8.784,8.784,46700,410212.8000000001,,,,,,,,
2017-03-10,8.784,8.857,8.784,8.857,24210,214427.97,,,,,,,,
2017-03-13,8.784,8.931,8.784,8.784,29800,261763.2,,,,,,,,
2017-03-14,8.784,8.857,8.784,8.784,56700,498052.8000000001,,,,,,,,
2017-03-15,8.784,9.005,8.784,9.005,27210,245026.05,,,,,,,,
2017-03-16,9.079,10.26,9.005,10.26,333480,3421504.8,,,,,,,,
2017-03-17,10.112,10.924,10.038,10.481,360600,3779448.6,,,,,,,,
2017-03-20,10.555,10.703,10.26,10.481,91100,954819.1,,,,,,,,
2017-03-21,10.334,10.334,9.595,9.595,100151,960948.845,,,,,,,,
2017-03-22,9.595,9.817,9.079,9.079,76925,698402.0750000001,,,,,,,,
2017-03-23,9.595,9.595,9.005,9.448,50906,480959.888,,,,,,,,
2017-03-24,9.3,9.3,9.005,9.226,117801,1086832.026,,,,,,,,
2017-03-27,9.226,9.226,8.857,9.153,141900,1298810.7,,,,,,,,
2017-03-28,9.005,9.522,9.005,9.522,22130,210721.86,,,,,,,,
2017-03-29,9.3,9.522,9.153,9.448,57400,542315.2000000001,,,,,,,,
