time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2017-07-17,12.697,12.697,7.936,9.069,21000,190449.00000000003,,,,,,,,
2017-07-18,8.994,8.994,8.994,8.994,1000,8994.0,,,,,,,,
2017-07-19,7.709,7.709,7.709,7.709,1400,10792.6,,,,,,,,
2017-07-20,7.104,7.104,6.575,6.575,6100,40107.5,,,,,,,,
2017-07-21,5.819,6.953,5.819,6.953,2000,13906.0,,,,,,,,
2017-07-24,5.895,6.424,5.668,5.668,10500,59514.0,,,,,,,,
2017-07-25,6.5,6.575,6.5,6.575,4100,26957.5,,,,,,,,
2017-07-26,5.744,7.558,5.744,7.104,8000,56832.0,,,,,,,,
2017-07-27,7.482,7.482,7.482,7.482,100,748.2,,,,,,,,
2017-07-28,7.482,7.482,7.482,7.482,0,0.0,,,,,,,,
2017-07-31,7.482,7.482,7.407,7.407,1300,9629.1,,,,,,,,
2017-08-01,7.482,7.482,7.482,7.482,0,0.0,,,,,,,,
2017-08-02,6.802,6.802,6.726,6.726,2100,14124.6,,,,,,,,
2017-08-03,6.726,6.726,6.726,6.726,0,0.0,,,,,,,,
2017-08-04,6.424,7.407,6.424,6.424,2600,16702.4,,,,,,,,
2017-08-07,6.5,7.331,6.5,7.331,700,5131.700000000001,,,,,,,,
2017-08-08,7.18,7.18,7.18,7.18,100,718.0,,,,,,,,
2017-08-09,7.18,7.18,7.18,7.18,0,0.0,,,,,,,,
2017-08-10,6.348,6.348,6.348,6.348,600,3808.8,,,,,,,,
2017-08-11,5.442,7.18,5.442,7.18,700,5026.0,,,,,,,,
2017-08-14,7.18,7.18,6.651,6.651,2600,17292.6,,,,,,,,
2017-08-15,6.424,6.651,6.424,6.651,600,3990.6,,,,,,,,
2017-08-16,6.802,6.802,6.802,6.802,100,680.1999999999999,,,,,,,,
2017-08-17,6.802,6.802,6.802,6.802,100,680.1999999999999,,,,,,,,
2017-08-18,6.802,6.802,6.726,6.726,1000,6726.0,,,,,,,,
2017-08-21,5.819,6.726,5.819,6.726,300,2017.8,,,,,,,,
2017-08-22,6.726,6.726,6.726,6.726,100,672.6,,,,,,,,
2017-08-23,7.709,7.709,6.726,6.726,900,6053.4,,,,,,,,
2017-08-24,6.726,6.726,6.122,6.122,1100,6734.2,,,,,,,,
2017-08-25,7.092,7.092,6.1,6.1,1610,9821.0,,,,,,,,
2017-08-28,6.787,6.787,5.338,6.1,700,4270.0,,,,,,,,
2017-08-29,6.787,6.787,6.177,6.177,200,1235.4,,,,,,,,
2017-08-30,6.482,6.482,6.482,6.482,0,0.0,,,,,,,,
2017-08-31,6.482,6.482,6.482,6.482,0,0.0,,,,,,,,
2017-09-01,6.482,6.482,6.482,6.482,0,0.0,,,,,,,,
2017-09-05,6.787,6.787,6.1,6.1,2000,12200.0,,,,,,,,
2017-09-06,6.482,6.482,6.482,6.482,1500,9723.0,,,,,,,,
2017-09-07,6.482,6.482,6.482,6.482,0,0.0,,,,,,,,
2017-09-08,6.482,6.482,6.1,6.1,1100,6710.0,,,,,,,,
2017-09-11,6.1,6.1,6.1,6.1,4000,24400.0,,,,,,,,
2017-09-12,6.787,6.787,5.948,6.177,1300,8030.099999999999,,,,,,,,
2017-09-13,6.253,6.253,5.719,5.719,11600,66340.40000000001,,,,,,,,
2017-09-14,5.719,6.1,5.719,5.795,22100,128069.5,,,,,,,,
2017-09-15,5.719,6.024,5.719,5.719,4100,23447.9,,,,,,,,
2017-09-18,6.558,6.558,6.482,6.482,200,1296.4,,,,,,,,
2017-09-19,6.177,6.177,6.177,6.177,200,1235.4,,,,,,,,
2017-09-20,6.177,6.177,6.177,6.177,0,0.0,,,,,,,,
2017-09-21,6.177,6.177,6.177,6.177,0,0.0,,,,,,,,
2017-09-22,7.092,7.092,5.795,5.795,200,1159.0,,,,,,,,
2017-09-25,6.482,6.482,6.482,6.482,0,0.0,,,,,,,,
2017-09-26,5.795,6.482,5.795,6.482,600,3889.2,,,,,,,,
2017-09-27,6.787,6.787,6.024,6.024,700,4216.8,,,,,,,,
2017-09-28,6.1,6.1,6.1,6.1,2000,12200.0,,,,,,,,
2017-09-29,6.1,6.1,6.1,6.1,200,1220.0,,,,,,,,
2017-10-02,6.1,6.1,6.1,6.1,1000,6100.0,,,,,,,,
2017-10-03,6.1,6.1,6.1,6.1,0,0.0,,,,,,,,
2017-10-04,6.1,6.1,6.1,6.1,2000,12200.0,,,,,,,,
2017-10-05,6.1,6.1,6.1,6.1,2500,15250.0,,,,,,,,
2017-10-06,5.719,6.863,5.719,6.863,700,4804.1,,,,,,,,
2017-10-09,6.863,6.863,5.948,5.948,1100,6542.8,,,,,,,,
2017-10-10,6.1,6.177,6.1,6.177,55600,343441.19999999995,,,,,,,,
2017-10-11,6.1,6.1,6.1,6.1,300,1830.0,,,,,,,,
2017-10-12,6.482,6.482,6.482,6.482,100,648.2,,,,,,,,
2017-10-13,5.567,6.482,5.567,6.482,2200,14260.4,,,,,,,,
2017-10-16,6.482,6.482,5.719,5.948,17200,102305.6,,,,,,,,
2017-10-17,6.787,6.787,6.71,6.787,8300,56332.1,,,,,,,,
2017-10-18,7.244,7.244,6.787,6.939,500,3469.5,,,,,,,,
2017-10-19,7.244,7.244,7.015,7.015,1100,7716.5,,,,,,,,
2017-10-20,6.558,6.863,6.558,6.863,2100,14412.3,,,,,,,,
2017-10-23,6.863,6.863,6.1,6.634,2900,19238.6,,,,,,,,
2017-10-24,6.253,6.558,6.253,6.558,3800,24920.4,,,,,,,,
2017-10-25,5.567,6.405,5.567,6.253,2000,12506.0,,,,,,,,
2017-10-26,6.253,6.482,6.253,6.253,18000,112554.0,,,,,,,,
2017-10-27,6.405,6.405,6.024,6.024,1500,9036.0,,,,,,,,
2017-10-30,7.168,7.168,7.168,7.168,100,716.8000000000001,,,,,,,,
2017-10-31,7.626,7.626,7.626,7.626,100,762.6,,,,,,,,
2017-11-01,7.626,7.626,7.626,7.626,0,0.0,,,,,,,,
2017-11-02,6.558,6.558,6.558,6.558,100,655.8,,,,,,,,
2017-11-03,6.863,6.863,6.863,6.863,100,686.3000000000001,,,,,,,,
2017-11-06,7.168,7.168,7.168,7.168,100,716.8000000000001,,,,,,,,
2017-11-07,7.321,7.321,6.1,6.1,1100,6710.0,,,,,,,,
2017-11-08,6.482,6.482,6.177,6.177,1500,9265.5,,,,,,,,
2017-11-09,6.405,6.405,6.405,6.405,0,0.0,,,,,,,,
2017-11-10,6.787,6.787,6.1,6.1,4900,29890.0,,,,,,,,
2017-11-13,7.321,7.321,6.634,6.71,4700,31537.0,,,,,,,,
2017-11-14,6.71,6.71,6.71,6.71,6600,44286.0,,,,,,,,
2017-11-15,6.71,6.71,6.71,6.71,1400,9394.0,,,,,,,,
2017-11-16,6.71,6.71,6.71,6.71,1000,6710.0,,,,,,,,
2017-11-17,6.71,6.71,6.71,6.71,0,0.0,,,,,,,,
2017-11-20,7.244,7.244,6.71,6.71,2400,16104.0,,,,,,,,
2017-11-21,7.015,7.015,7.015,7.015,0,0.0,,,,,,,,
2017-11-22,7.015,7.015,7.015,7.015,2100,14731.5,,,,,,,,
2017-11-23,7.015,7.015,7.015,7.015,0,0.0,,,,,,,,
2017-11-24,7.015,7.015,7.015,7.015,0,0.0,,,,,,,,
2017-11-27,6.939,6.939,6.939,6.939,1000,6939.0,,,,,,,,
2017-11-28,6.939,6.939,6.939,6.939,0,0.0,,,,,,,,
2017-11-29,6.939,6.939,6.863,6.863,2500,17157.5,,,,,,,,
2017-11-30,6.863,6.863,6.863,6.863,1700,11667.1,,,,,,,,
2017-12-01,6.482,6.863,6.482,6.863,200,1372.6,,,,,,,,
2017-12-04,7.626,7.626,7.626,7.626,100,762.6,,,,,,,,
2017-12-05,7.626,7.626,7.549,7.549,13000,98137.0,,,,,,,,
2017-12-06,7.626,7.626,7.626,7.626,2700,20590.2,,,,,,,,
2017-12-07,7.626,8.007,7.626,8.007,1700,13611.9,,,,,,,,
2017-12-08,8.236,8.388,7.626,7.626,14000,106764.0,,,,,,,,
2017-12-11,7.626,7.626,7.626,7.626,500,3813.0,,,,,,,,
2017-12-12,7.778,7.854,7.702,7.702,14000,107828.0,,,,,,,,
2017-12-13,7.931,8.388,7.931,8.388,20100,168598.8,,,,,,,,
2017-12-14,8.617,8.617,8.617,8.617,100,861.7,,,,,,,,
2017-12-15,8.007,8.388,8.007,8.388,2200,18453.6,,,,,,,,
2017-12-18,8.312,8.312,8.312,8.312,6200,51534.4,,,,,,,,
2017-12-19,7.702,8.007,7.702,7.931,5500,43620.5,,,,,,,,
2017-12-20,8.388,8.541,8.388,8.541,8700,74306.7,,,,,,,,
2017-12-21,8.007,8.083,8.007,8.083,700,5658.1,,,,,,,,
2017-12-22,8.007,8.083,8.007,8.083,6600,53347.8,,,,,,,,
2017-12-25,8.007,8.007,8.007,8.007,7500,60052.5,,,,,,,,
2017-12-26,8.083,8.312,8.083,8.312,3900,32416.8,,,,,,,,
2017-12-27,8.236,8.312,8.236,8.312,6100,50703.2,,,,,,,,
2017-12-28,8.312,8.312,8.312,8.312,1700,14130.4,,,,,,,,
2017-12-29,8.312,8.312,8.236,8.236,11400,93890.4,,,,,,,,
2018-01-02,8.236,8.236,8.236,8.236,1000,8236.0,0.0,0.0,0.0,0.0,,6.92,0.0,0.0
2018-01-03,8.236,8.236,8.236,8.236,0,0.0,0.0,0.0,0.0,0.0,,6.92,0.0,0.0
2018-01-04,8.236,8.236,8.236,8.236,0,0.0,0.0,0.0,0.0,0.0,,6.92,0.0,0.0
2018-01-05,8.007,8.007,8.007,8.007,3000,24021.0,0.0,0.0,0.0,0.0,,6.92,0.0,0.0
2018-01-08,7.778,7.854,7.778,7.778,11000,85558.0,0.0,0.0,0.0,0.0,,6.92,0.0,0.0
2018-01-09,8.007,8.007,7.778,7.854,3500,27489.0,0.0,0.0,0.0,0.0,,6.92,0.0,0.0
2018-01-10,7.854,7.854,7.778,7.778,15800,122892.4,0.0,0.0,0.0,0.0,,6.92,0.0,0.0
2018-01-11,7.778,7.778,7.778,7.778,0,0.0,0.0,0.0,0.0,0.0,,6.92,0.0,0.0
2018-01-12,7.778,7.778,7.778,7.778,18100,140781.8,0.0,0.0,0.0,0.0,,6.92,0.0,0.0
2018-01-15,7.778,7.778,7.778,7.778,0,0.0,0.0,0.0,0.0,0.0,,6.92,0.0,0.0
2018-01-16,7.778,7.778,7.778,7.778,0,0.0,0.0,0.0,0.0,0.0,,6.92,0.0,0.0
2018-01-17,8.007,8.007,8.007,8.007,3600,28825.2,0.0,0.0,0.0,0.0,,6.92,0.0,0.0
2018-01-18,8.007,8.007,8.007,8.007,0,0.0,0.0,0.0,0.0,0.0,,6.92,0.0,0.0
2018-01-19,7.854,7.854,7.702,7.702,8300,63926.6,0.0,0.0,0.0,0.0,,6.92,0.0,0.0
2018-01-22,7.702,7.702,7.702,7.702,0,0.0,0.0,0.0,0.0,0.0,,6.92,0.0,0.0
2018-01-23,7.702,7.702,7.702,7.702,0,0.0,0.0,0.0,0.0,0.0,,6.92,0.0,0.0
2018-01-24,7.702,7.778,7.702,7.778,15500,120559.0,0.0,0.0,0.0,0.0,,6.92,0.0,0.0
2018-01-25,7.702,8.083,7.702,8.083,13200,106695.6,0.0,0.0,0.0,0.0,,6.92,0.0,0.0
2018-01-26,8.236,8.312,8.159,8.159,3500,28556.500000000004,0.0,0.0,0.0,0.0,,6.92,0.0,0.0
2018-01-29,8.236,8.236,8.236,8.236,900,7412.400000000001,0.0,0.0,0.0,0.0,,6.92,0.0,0.0
2018-01-30,8.236,8.236,8.236,8.236,0,0.0,0.0,0.0,0.0,0.0,,6.92,0.0,0.0
2018-01-31,8.236,8.236,8.236,8.236,0,0.0,0.0,0.0,0.0,0.0,,6.92,0.0,0.0
2018-02-01,7.626,8.007,7.015,7.626,10200,77785.2,0.0,0.0,0.0,0.0,,6.92,0.0,0.0
2018-02-02,7.626,7.626,7.626,7.626,3500,26691.0,0.0,0.0,0.0,0.0,,6.92,0.0,0.0
2018-02-05,7.168,7.244,6.939,7.015,14400,101016.0,0.0,0.0,0.0,0.0,,6.92,0.0,0.0
2018-02-06,7.778,7.778,7.778,7.778,100,777.8,0.0,0.0,0.0,0.0,,6.92,0.0,0.0
2018-02-07,7.778,7.778,7.778,7.778,0,0.0,0.0,0.0,0.0,0.0,,6.92,0.0,0.0
2018-02-08,6.634,6.634,6.634,6.634,600,3980.4,0.0,0.0,0.0,0.0,,6.92,0.0,0.0
2018-02-09,7.626,7.626,7.626,7.626,4000,30504.0,0.0,0.0,0.0,0.0,,6.92,0.0,0.0
2018-02-12,8.693,8.693,8.693,8.693,100,869.3,0.0,0.0,0.0,0.0,,6.92,0.0,0.0
