time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2006-12-25,28.38,28.38,28.38,28.38,11610,329491.8,,,,,,,,
2006-12-26,28.92,29.64,28.92,29.64,1950,57798.0,,,,,,,,
2006-12-27,30.89,31.07,30.89,31.07,2090,64936.3,,,,,,,,
2006-12-28,32.51,32.51,32.51,32.51,4300,139793.0,,,,,,,,
2006-12-29,33.95,33.95,32.69,32.69,2750,89897.5,,,,,,,,
2007-01-02,32.69,32.69,31.07,31.07,3100,96317.0,,,,,,,,
2007-01-03,31.07,31.07,31.07,31.07,0,0.0,,,,,,,,
2007-01-04,31.07,31.07,29.64,29.64,700,20748.0,,,,,,,,
2007-01-05,28.2,28.2,28.2,28.2,12580,354756.0,,,,,,,,
2007-01-08,26.94,26.94,26.94,26.94,4010,108029.4,,,,,,,,
2007-01-09,26.58,26.58,25.69,25.69,8770,225301.3,,,,,,,,
2007-01-10,24.43,24.43,24.43,24.43,18490,451710.7,,,,,,,,
2007-01-11,23.35,25.15,23.35,25.15,40470,1017820.5,,,,,,,,
2007-01-12,25.15,25.15,23.89,23.89,6640,158629.6,,,,,,,,
2007-01-15,22.81,22.81,22.81,22.81,5820,132754.19999999998,,,,,,,,
2007-01-16,21.91,21.91,21.73,21.73,3760,81704.8,,,,,,,,
2007-01-17,21.73,21.73,20.66,20.66,10620,219409.2,,,,,,,,
2007-01-18,19.76,19.76,19.76,19.76,8520,168355.2,,,,,,,,
2007-01-19,18.86,18.86,18.86,18.86,26190,493943.4,,,,,,,,
2007-01-22,17.93,17.93,17.93,17.93,45410,814201.2999999999,,,,,,,,
2007-01-23,17.06,17.06,17.06,17.06,13600,232016.0,,,,,,,,
2007-01-24,16.24,17.89,16.24,17.89,28440,508791.6,,,,,,,,
2007-01-25,18.68,18.68,18.68,18.68,112150,2094962.0,,,,,,,,
2007-01-26,19.58,19.58,19.58,19.58,35090,687062.2,,,,,,,,
2007-01-29,20.48,20.48,20.48,20.48,57460,1176780.8,,,,,,,,
2007-01-30,21.37,21.37,21.37,21.37,42110,899890.7000000001,,,,,,,,
2007-01-31,21.37,21.37,20.48,20.48,29890,612147.2000000001,,,,,,,,
