time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2013-01-02,2.3,2.3,2.3,2.3,40000,92000.0,,,,,
2013-01-03,2.4,2.4,2.3,2.4,1395800,3349920.0,,,,,
2013-01-04,2.5,2.5,2.4,2.5,920600,2301500.0,,,,,
2013-01-07,2.6,2.6,2.6,2.6,751100,1952860.0,,,,,
2013-01-08,2.7,2.7,2.5,2.6,1965700,5110820.0,,,,,
2013-01-09,2.7,2.7,2.5,2.5,731700,1829250.0,,,,,
2013-01-10,2.5,2.6,2.4,2.6,969700,2521220.0,,,,,
2013-01-11,2.6,2.7,2.6,2.7,2074800,5601960.0,,,,,
2013-01-14,2.6,2.8,2.6,2.8,672600,1883280.0,,,,,
2013-01-15,2.9,3.0,2.8,3.0,510400,1531200.0,,,,,
2013-01-16,3.3,3.3,3.1,3.2,1998700,6395840.0,,,,,
2013-01-17,3.2,3.4,3.0,3.1,1819600,5640760.0,,,,,
2013-01-18,3.0,3.2,2.9,3.2,1030800,3298560.0,,,,,
2013-01-21,3.3,3.4,3.2,3.3,1469700,4850010.0,,,,,
2013-01-22,3.2,3.3,3.0,3.0,930300,2790900.0,,,,,
2013-01-23,2.8,3.0,2.7,2.7,968200,2614140.0,,,,,
2013-01-24,2.8,2.9,2.7,2.9,512700,1486830.0,,,,,
2013-01-25,3.1,3.1,2.9,3.1,1070900,3319790.0,,,,,
2013-01-28,3.3,3.3,2.9,3.1,1725100,5347810.0,,,,,
2013-01-29,3.0,3.1,2.9,3.0,795900,2387700.0,,,,,
2013-01-30,2.9,3.1,2.9,2.9,856100,2482690.0,,,,,
2013-01-31,2.9,3.0,2.8,2.9,681900,1977510.0,,,,,
2013-02-01,2.9,2.9,2.8,2.9,395600,1147240.0,,,,,
2013-02-04,2.9,2.9,2.8,2.8,632800,1771840.0,,,,,
2013-02-05,2.7,3.0,2.7,2.9,537500,1558750.0,,,,,
2013-02-06,3.0,3.0,2.9,3.0,295400,886200.0,,,,,
2013-02-07,3.0,3.0,2.9,2.9,499000,1447100.0,,,,,
2013-02-08,3.0,3.2,2.9,3.1,1219000,3778900.0,,,,,
2013-02-18,3.1,3.3,3.1,3.2,711300,2276160.0,,,,,
