time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2013-11-15,1.2,1.2,1.2,1.2,10500,12600.0,,,,,,,,
2013-11-18,1.3,1.3,1.3,1.3,11150,14495.0,,,,,,,,
2013-11-19,1.4,1.4,1.4,1.4,1010,1414.0,,,,,,,,
2013-11-20,1.5,1.5,1.5,1.5,300,450.0,,,,,,,,
2013-11-21,1.6,1.6,1.5,1.6,61700,98720.0,,,,,,,,
2013-11-22,1.7,1.7,1.6,1.7,71710,121907.0,,,,,,,,
2013-11-25,1.7,1.7,1.6,1.7,31300,53210.0,,,,,,,,
2013-11-26,1.7,1.7,1.6,1.7,38000,64600.0,,,,,,,,
2013-11-27,1.7,1.7,1.6,1.7,9180,15606.0,,,,,,,,
2013-11-28,1.7,1.7,1.6,1.6,150000,240000.0,,,,,,,,
2013-11-29,1.7,1.7,1.5,1.7,81500,138550.0,,,,,,,,
2013-12-02,1.6,1.6,1.5,1.5,102100,153150.0,,,,,,,,
2013-12-03,1.6,1.6,1.5,1.6,80400,128640.0,,,,,,,,
2013-12-04,1.5,1.5,1.5,1.5,3800,5700.0,,,,,,,,
2013-12-05,1.5,1.5,1.4,1.5,22100,33150.0,,,,,,,,
2013-12-06,1.5,1.5,1.5,1.5,8900,13350.0,,,,,,,,
2013-12-09,1.5,1.5,1.5,1.5,2000,3000.0,,,,,,,,
2013-12-10,1.4,1.5,1.4,1.5,10500,15750.0,,,,,,,,
2013-12-11,1.5,1.5,1.5,1.5,100,150.0,,,,,,,,
2013-12-12,1.6,1.6,1.4,1.5,27600,41400.0,,,,,,,,
2013-12-13,1.5,1.5,1.4,1.5,15600,23400.0,,,,,,,,
2013-12-16,1.5,1.6,1.5,1.6,11600,18560.0,,,,,,,,
2013-12-17,1.6,1.6,1.5,1.6,28100,44960.0,,,,,,,,
2013-12-18,1.6,1.6,1.5,1.6,23500,37600.0,,,,,,,,
2013-12-19,1.5,1.6,1.5,1.6,20000,32000.0,,,,,,,,
2013-12-20,1.4,1.5,1.4,1.5,35900,53850.0,,,,,,,,
2013-12-23,1.5,1.5,1.4,1.5,55209,82813.5,,,,,,,,
2013-12-24,1.5,1.5,1.4,1.5,54300,81450.0,,,,,,,,
2013-12-25,1.5,1.5,1.5,1.5,54900,82350.0,,,,,,,,
2013-12-26,1.5,1.6,1.5,1.6,10100,16160.0,,,,,,,,
2013-12-27,1.5,1.6,1.5,1.6,31100,49760.0,,,,,,,,
2013-12-30,1.5,1.5,1.4,1.5,40000,60000.0,,,,,,,,
2013-12-31,1.4,1.6,1.4,1.6,31400,50240.0,,,,,,,,
2014-01-02,1.5,1.6,1.5,1.6,20200,32320.0,,,,,,,,
2014-01-03,1.5,1.5,1.5,1.5,7800,11700.0,,,,,,,,
2014-01-06,1.5,1.6,1.5,1.6,10600,16960.0,,,,,,,,
2014-01-07,1.6,1.6,1.6,1.6,43800,70080.0,,,,,,,,
