time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2013-01-02,3.286,3.286,3.286,3.286,0,0.0,,,,,
2013-01-03,3.286,3.286,3.286,3.286,0,0.0,,,,,
2013-01-04,3.286,3.286,3.286,3.286,0,0.0,,,,,
2013-01-07,3.286,3.286,3.286,3.286,0,0.0,,,,,
2013-01-08,3.286,3.286,3.286,3.286,0,0.0,,,,,
2013-01-09,3.067,3.067,3.067,3.067,500,1533.5,,,,,
2013-01-10,2.866,2.866,2.866,2.866,100,286.6,,,,,
2013-01-11,2.684,2.684,2.684,2.684,2000,5368.0,,,,,
2013-01-14,2.684,2.684,2.684,2.684,0,0.0,,,,,
2013-01-15,2.446,2.446,2.446,2.446,100,244.6,,,,,
2013-01-16,2.446,2.446,2.446,2.446,0,0.0,,,,,
2013-01-17,2.446,2.446,2.446,2.446,0,0.0,,,,,
2013-01-18,2.446,2.446,2.446,2.446,0,0.0,,,,,
2013-01-21,2.373,2.373,2.373,2.373,100,237.3,,,,,
2013-01-22,2.136,2.136,2.136,2.136,100,213.6,,,,,
2013-01-23,1.935,1.935,1.935,1.935,100,193.5,,,,,
2013-01-24,1.935,1.935,1.935,1.935,0,0.0,,,,,
2013-01-25,1.935,1.935,1.935,1.935,0,0.0,,,,,
2013-01-28,2.118,2.118,2.118,2.118,100,211.8,,,,,
2013-01-29,2.118,2.118,2.118,2.118,500,1059.0,,,,,
2013-01-30,2.191,2.318,2.191,2.318,600,1390.8,,,,,
2013-01-31,2.318,2.318,2.318,2.318,0,0.0,,,,,
2013-02-01,2.41,2.41,2.41,2.41,100,241.0,,,,,
2013-02-04,2.245,2.245,2.245,2.245,100,224.5,,,,,
2013-02-05,2.391,2.391,2.391,2.391,200,478.2,,,,,
2013-02-06,2.629,2.629,2.629,2.629,900,2366.1,,,,,
2013-02-07,2.629,2.629,2.629,2.629,0,0.0,,,,,
2013-02-08,2.629,2.629,2.629,2.629,0,0.0,,,,,
2013-02-18,2.391,2.391,2.391,2.391,400,956.4,,,,,
2013-02-19,2.629,2.629,2.3,2.3,3600,8280.0,,,,,
2013-02-20,2.519,2.519,2.519,2.519,200,503.8,,,,,
