time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2017-10-11,3.9,3.9,2.4,3.9,2200,8580.0,,,,,,,,
2017-10-12,2.5,2.5,2.2,2.2,3000,6600.000000000001,,,,,,,,
2017-10-13,2.0,2.3,2.0,2.3,7100,16329.999999999998,,,,,,,,
2017-10-16,2.5,2.5,2.2,2.5,7000,17500.0,,,,,,,,
2017-10-17,2.6,2.6,2.4,2.4,11700,28080.0,,,,,,,,
2017-10-18,2.3,2.4,2.3,2.4,2600,6240.0,,,,,,,,
2017-10-19,2.3,2.3,2.3,2.3,500,1150.0,,,,,,,,
2017-10-20,2.0,2.1,2.0,2.1,2800,5880.0,,,,,,,,
2017-10-23,2.0,2.1,2.0,2.1,4300,9030.0,,,,,,,,
2017-10-24,2.1,2.1,2.0,2.1,4900,10290.0,,,,,,,,
2017-10-25,2.1,2.3,2.1,2.3,7000,16099.999999999998,,,,,,,,
2017-10-26,2.1,2.3,2.1,2.3,3200,7359.999999999999,,,,,,,,
2017-10-27,2.1,2.1,1.8,2.0,10400,20800.0,,,,,,,,
2017-10-30,2.0,2.0,2.0,2.0,4000,8000.0,,,,,,,,
2017-10-31,2.1,2.1,2.1,2.1,2100,4410.0,,,,,,,,
2017-11-01,2.1,2.4,2.1,2.4,7100,17040.0,,,,,,,,
2017-11-02,2.1,2.1,2.0,2.1,3600,7560.0,,,,,,,,
2017-11-03,2.1,2.4,2.1,2.4,1200,2880.0,,,,,,,,
2017-11-06,2.1,2.1,2.1,2.1,10100,21210.0,,,,,,,,
2017-11-07,2.1,2.1,2.1,2.1,6300,13230.0,,,,,,,,
2017-11-08,1.8,2.3,1.8,2.1,9100,19110.0,,,,,,,,
2017-11-09,2.1,2.3,2.1,2.2,7500,16500.0,,,,,,,,
2017-11-10,2.2,2.2,2.2,2.2,2500,5500.0,,,,,,,,
2017-11-13,1.9,2.2,1.9,2.2,6600,14520.000000000002,,,,,,,,
2017-11-14,2.1,2.1,2.1,2.1,1400,2940.0,,,,,,,,
2017-11-15,2.2,2.2,2.2,2.2,1600,3520.0000000000005,,,,,,,,
2017-11-16,2.2,2.2,2.2,2.2,400,880.0000000000001,,,,,,,,
2017-11-17,2.3,2.3,2.2,2.3,19600,45080.0,,,,,,,,
2017-11-20,2.3,2.3,2.3,2.3,2900,6669.999999999999,,,,,,,,
2017-11-21,2.3,2.3,2.3,2.3,4700,10810.0,,,,,,,,
2017-11-22,2.3,2.3,2.1,2.2,18700,41140.0,,,,,,,,
2017-11-23,2.3,2.3,2.3,2.3,5000,11500.0,,,,,,,,
2017-11-24,2.3,2.3,2.3,2.3,3500,8049.999999999999,,,,,,,,
2017-11-27,2.3,2.3,2.2,2.2,18400,40480.0,,,,,,,,
2017-11-28,2.3,2.3,2.2,2.3,10600,24380.0,,,,,,,,
