time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2015-10-20,10.054,10.179,9.367,9.991,11300,112898.3,,,,,
2015-10-21,9.18,9.991,9.18,9.991,200,1998.2,,,,,
2015-10-22,9.055,9.679,9.055,9.055,2500,22637.5,,,,,
2015-10-23,8.493,8.555,8.243,8.243,2300,18958.9,,,,,
2015-10-26,8.243,8.93,8.243,8.742,6300,55074.600000000006,,,,,
2015-10-27,8.742,8.742,8.742,8.742,2700,23603.4,,,,,
2015-10-28,8.742,8.742,8.742,8.742,0,0.0,,,,,
2015-10-29,8.742,8.93,8.742,8.93,2900,25897.0,,,,,
2015-10-30,9.055,9.055,9.055,9.055,100,905.5,,,,,
2015-11-02,9.055,9.055,9.055,9.055,100,905.5,,,,,
2015-11-03,9.055,9.055,9.055,9.055,400,3622.0,,,,,
2015-11-04,9.055,9.679,9.055,9.367,7000,65569.0,,,,,
2015-11-05,9.367,9.367,9.055,9.055,3600,32598.0,,,,,
2015-11-06,8.742,8.805,8.618,8.618,9700,83594.6,,,,,
2015-11-09,8.243,9.429,8.243,8.493,500,4246.5,,,,,
2015-11-10,8.118,8.742,8.118,8.555,1500,12832.5,,,,,
2015-11-11,8.555,8.555,8.555,8.555,0,0.0,,,,,
2015-11-12,7.806,8.867,7.806,8.867,4400,39014.8,,,,,
2015-11-13,8.055,8.742,8.055,8.742,4900,42835.8,,,,,
2015-11-16,8.555,8.742,8.118,8.555,4000,34220.0,,,,,
2015-11-17,8.18,8.43,8.18,8.18,1400,11452.0,,,,,
2015-11-18,8.18,8.18,7.493,7.931,5000,39655.0,,,,,
2015-11-19,7.806,7.806,7.806,7.806,900,7025.4,,,,,
2015-11-20,7.681,7.681,7.681,7.681,100,768.1,,,,,
2015-11-23,8.43,8.43,8.118,8.43,2700,22761.0,,,,,
2015-11-24,8.18,8.18,8.18,8.18,200,1636.0,,,,,
2015-11-25,7.868,8.742,7.868,8.742,1200,10490.4,,,,,
2015-11-26,7.993,8.618,7.993,8.618,2200,18959.6,,,,,
2015-11-27,8.618,8.618,8.618,8.618,2000,17236.0,,,,,
2015-11-30,7.868,8.618,7.868,8.43,4400,37092.0,,,,,
2015-12-01,7.931,7.993,7.931,7.931,6900,54723.9,,,,,
2015-12-02,7.931,7.931,7.931,7.931,0,0.0,,,,,
2015-12-03,8.68,8.68,8.68,8.68,100,868.0,,,,,
2015-12-04,8.305,8.618,8.305,8.618,2300,19821.4,,,,,
2015-12-07,8.243,8.243,8.243,8.243,4000,32972.0,,,,,
2015-12-08,8.243,8.243,8.243,8.243,0,0.0,,,,,
2015-12-09,7.493,8.618,7.493,8.618,2300,19821.4,,,,,
2015-12-10,8.742,8.742,8.742,8.742,10000,87420.00000000001,,,,,
2015-12-11,7.931,7.931,7.931,7.931,200,1586.2,,,,,
2015-12-14,8.243,8.243,8.243,8.243,100,824.3000000000001,,,,,
2015-12-15,8.243,8.243,8.243,8.243,0,0.0,,,,,
2015-12-16,8.18,8.18,8.18,8.18,500,4090.0,,,,,
2015-12-17,8.18,8.18,8.118,8.118,3200,25977.6,,,,,
2015-12-18,8.43,8.43,8.43,8.43,300,2529.0,,,,,
