time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2016-07-15,18.3,18.3,18.3,18.3,200,3660.0,,,,,,,,
2016-07-18,21.0,21.0,21.0,21.0,100,2100.0,,,,,,,,
2016-07-19,24.1,24.1,24.1,24.1,559200,13476720.0,,,,,,,,
2016-07-20,27.7,27.7,26.7,27.2,855754,23276508.8,,,,,,,,
2016-07-21,30.0,30.0,26.5,26.9,303500,8164150.0,,,,,,,,
2016-07-22,27.0,27.1,25.0,26.5,535895,14201217.5,,,,,,,,
2016-07-25,26.5,29.6,26.5,26.8,836400,22415520.0,,,,,,,,
2016-07-26,28.1,28.1,25.0,25.5,446910,11396205.0,,,,,,,,
2016-07-27,25.0,26.0,24.0,25.5,470000,11985000.0,,,,,,,,
2016-07-28,25.1,27.9,24.8,26.0,232045,6033170.0,,,,,,,,
2016-07-29,26.3,26.8,25.8,26.0,193509,5031234.0,,,,,,,,
2016-08-01,26.2,26.3,24.8,25.5,318100,8111550.0,,,,,,,,
2016-08-02,25.0,25.0,22.5,23.0,202100,4648300.0,,,,,,,,
2016-08-03,23.3,23.3,20.2,20.2,528000,10665600.0,,,,,,,,
2016-08-04,19.0,19.9,17.6,18.2,278204,5063312.8,,,,,,,,
2016-08-05,18.4,21.2,18.3,21.0,239500,5029500.0,,,,,,,,
2016-08-08,21.0,21.3,19.0,19.7,167700,3303690.0,,,,,,,,
2016-08-09,19.5,21.2,18.0,20.7,156900,3247830.0,,,,,,,,
2016-08-10,20.0,21.9,20.0,20.8,129700,2697760.0,,,,,,,,
2016-08-11,21.0,21.0,20.2,20.3,99100,2011730.0,,,,,,,,
2016-08-12,20.1,20.2,19.6,19.7,85734,1688959.8,,,,,,,,
2016-08-15,19.1,19.7,19.0,19.1,19900,380090.0,,,,,,,,
2016-08-16,19.3,20.6,19.0,20.3,94400,1916320.0,,,,,,,,
2016-08-17,19.9,21.1,19.6,20.0,52700,1054000.0,,,,,,,,
2016-08-18,19.5,19.9,19.3,19.3,28534,550706.2000000001,,,,,,,,
2016-08-19,19.5,19.8,19.4,19.7,39000,768300.0,,,,,,,,
2016-08-22,19.4,20.5,19.4,20.5,107100,2195550.0,,,,,,,,
2016-08-23,19.8,22.6,19.8,22.6,76000,1717600.0,,,,,,,,
2016-08-24,22.5,23.0,20.7,21.9,130800,2864520.0,,,,,,,,
2016-08-25,21.5,22.9,20.6,22.1,17350,383435.0,,,,,,,,
2016-08-26,21.0,22.0,21.0,21.7,36900,800730.0,,,,,,,,
2016-08-29,21.9,21.9,20.0,20.1,26800,538680.0,,,,,,,,
2016-08-30,19.6,20.7,19.5,19.5,79616,1552512.0,,,,,,,,
2016-08-31,19.5,19.8,19.2,19.8,58500,1158300.0,,,,,,,,
2016-09-01,20.2,20.2,19.0,19.7,41400,815580.0,,,,,,,,
2016-09-05,19.3,20.0,19.3,19.9,12600,250740.0,,,,,,,,
2016-09-06,19.4,19.8,19.2,19.3,43100,831830.0,,,,,,,,
2016-09-07,19.6,20.0,19.1,19.4,8000,155200.0,,,,,,,,
2016-09-08,19.5,19.8,19.4,19.5,23000,448500.0,,,,,,,,
2016-09-09,19.5,19.6,19.4,19.5,5244,102258.0,,,,,,,,
2016-09-12,19.5,19.5,18.9,19.3,13400,258620.0,,,,,,,,
2016-09-13,19.0,19.1,18.6,18.6,43000,799800.0000000001,,,,,,,,
2016-09-14,18.2,19.4,18.0,18.7,69100,1292170.0,,,,,,,,
2016-09-15,18.2,18.8,18.0,18.5,26110,483035.0,,,,,,,,
2016-09-16,18.1,18.1,17.6,17.9,28410,508539.0,,,,,,,,
2016-09-19,17.8,18.0,17.0,17.2,25700,442040.0,,,,,,,,
2016-09-20,17.5,17.8,17.0,17.8,41100,731580.0,,,,,,,,
2016-09-21,17.3,17.5,17.1,17.5,13700,239750.0,,,,,,,,
2016-09-22,17.5,19.0,17.3,18.2,38300,697060.0,,,,,,,,
2016-09-23,19.3,20.7,19.0,19.8,108419,2146696.2,,,,,,,,
2016-09-26,20.5,20.9,19.8,19.8,73610,1457478.0,,,,,,,,
2016-09-27,20.5,22.9,19.5,20.6,179820,3704292.000000001,,,,,,,,
2016-09-28,20.1,22.4,20.0,21.0,132333,2778993.0,,,,,,,,
2016-09-29,21.0,21.4,19.2,19.2,66400,1274880.0,,,,,,,,
2016-09-30,19.0,20.0,18.8,20.0,15310,306200.0,,,,,,,,
2016-10-03,20.0,20.1,19.2,19.5,1910,37245.0,,,,,,,,
2016-10-04,19.9,19.9,19.1,19.2,5300,101760.0,,,,,,,,
2016-10-05,18.6,19.7,18.6,19.1,6600,126060.0,,,,,,,,
2016-10-06,18.8,19.2,18.7,19.1,9000,171900.0,,,,,,,,
2016-10-07,18.5,18.9,18.4,18.5,10100,186850.0,,,,,,,,
2016-10-10,18.3,19.8,18.1,19.8,107300,2124540.0,,,,,,,,
2016-10-11,19.8,20.4,19.3,19.5,8800,171600.0,,,,,,,,
2016-10-12,20.0,21.5,19.5,19.7,136900,2696930.0,,,,,,,,
2016-10-13,19.3,19.5,19.1,19.5,3400,66300.0,,,,,,,,
2016-10-14,20.0,20.3,19.3,19.3,104800,2022640.0,,,,,,,,
2016-10-17,19.0,19.5,18.9,18.9,7400,139860.0,,,,,,,,
2016-10-18,19.7,19.7,19.0,19.0,100600,1911400.0,,,,,,,,
2016-10-19,18.8,19.1,18.6,19.0,47700,906300.0,,,,,,,,
2016-10-20,19.3,19.3,18.6,18.6,17500,325500.0,,,,,,,,
2016-10-21,19.7,19.9,18.4,18.6,120200,2235720.0,,,,,,,,
2016-10-24,18.5,19.6,18.0,19.2,18800,360960.0,,,,,,,,
2016-10-25,19.2,19.3,18.0,18.0,20310,365580.0,,,,,,,,
2016-10-26,18.0,18.9,15.8,17.6,238223,4192724.8,,,,,,,,
2016-10-27,17.5,20.0,17.3,17.9,142900,2557910.0,,,,,,,,
2016-10-28,17.5,18.4,16.2,16.6,183400,3044440.0000000005,,,,,,,,
2016-10-31,17.0,17.5,17.0,17.0,20100,341700.0,,,,,,,,
2016-11-01,17.3,17.4,17.0,17.0,189800,3226600.0,,,,,,,,
2016-11-02,16.7,17.0,16.5,16.5,54100,892650.0,,,,,,,,
2016-11-03,16.2,16.3,15.0,16.2,29725,481545.0,,,,,,,,
2016-11-04,15.1,15.7,15.1,15.7,2900,45530.0,,,,,,,,
2016-11-07,15.6,16.1,15.6,16.0,5100,81600.0,,,,,,,,
2016-11-08,15.2,16.2,15.2,16.2,107844,1747072.7999999998,,,,,,,,
2016-11-09,15.5,15.5,13.6,15.0,34000,510000.0,,,,,,,,
2016-11-10,15.0,15.7,15.0,15.6,61500,959400.0,,,,,,,,
2016-11-11,15.4,15.8,15.4,15.7,1700,26690.0,,,,,,,,
2016-11-14,15.5,15.5,15.2,15.2,3700,56240.0,,,,,,,,
2016-11-15,15.2,15.6,15.1,15.5,5700,88350.0,,,,,,,,
2016-11-16,15.2,15.7,14.5,15.5,103200,1599600.0,,,,,,,,
2016-11-17,15.5,17.7,15.5,17.5,389143,6810002.5,,,,,,,,
2016-11-18,18.0,18.3,17.4,17.5,80800,1414000.0,,,,,,,,
2016-11-21,17.7,20.4,17.7,20.0,567500,11350000.0,,,,,,,,
2016-11-22,19.8,21.5,19.3,19.5,708124,13808418.0,,,,,,,,
2016-11-23,20.0,20.0,19.3,19.7,123530,2433541.0,,,,,,,,
2016-11-24,19.0,20.5,18.9,20.0,248700,4974000.0,,,,,,,,
2016-11-25,20.0,20.0,18.8,19.0,140100,2661900.0,,,,,,,,
2016-11-28,19.0,19.4,18.0,18.1,135900,2459790.0,,,,,,,,
2016-11-29,18.0,18.7,17.2,17.5,82037,1435647.5,,,,,,,,
2016-11-30,18.0,18.0,16.5,17.4,91060,1584443.9999999998,,,,,,,,
2016-12-01,17.5,19.5,17.5,19.4,133368,2587339.2,,,,,,,,
2016-12-02,18.8,19.4,18.0,18.5,42800,791800.0,,,,,,,,
2016-12-05,18.0,18.4,17.5,18.0,77900,1402200.0,,,,,,,,
2016-12-06,18.0,18.0,17.4,17.5,101200,1771000.0,,,,,,,,
2016-12-07,17.5,17.8,17.5,17.6,41500,730400.0000000001,,,,,,,,
2016-12-08,17.6,18.9,17.2,17.6,111900,1969440.0,,,,,,,,
2016-12-09,17.5,17.6,16.1,17.6,140000,2464000.0,,,,,,,,
2016-12-12,17.1,17.2,16.1,16.5,108700,1793550.0,,,,,,,,
2016-12-13,16.3,17.0,16.3,16.9,63500,1073150.0,,,,,,,,
2016-12-14,16.3,16.5,15.0,16.2,123100,1994220.0,,,,,,,,
2016-12-15,16.5,17.6,16.2,16.2,26710,432702.0,,,,,,,,
2016-12-16,16.2,16.6,16.0,16.2,74900,1213380.0,,,,,,,,
2016-12-19,16.3,17.9,16.3,17.9,244900,4383710.0,,,,,,,,
2016-12-20,17.8,19.0,17.8,18.0,205400,3697200.0,,,,,,,,
2016-12-21,18.6,18.6,16.5,18.0,282710,5088780.0,,,,,,,,
2016-12-22,17.1,18.0,17.1,17.1,519100,8876610.0,,,,,,,,
2016-12-23,17.2,18.6,17.2,18.1,142800,2584680.0,,,,,,,,
2016-12-26,18.0,18.5,17.7,17.9,61200,1095480.0,,,,,,,,
2016-12-27,17.8,19.0,17.5,18.5,215200,3981200.0,,,,,,,,
2016-12-28,18.4,18.8,18.2,18.4,116300,2139920.0,,,,,,,,
2016-12-29,17.9,18.6,17.9,18.5,150820,2790170.0,,,,,,,,
2016-12-30,18.5,18.8,18.2,18.5,137200,2538200.0,,,,,,,,
2017-01-03,19.2,19.4,18.2,18.7,43750,818125.0,,,,,,,,
2017-01-04,18.4,19.1,18.0,19.1,310000,5921000.0,,,,,,,,
2017-01-05,18.6,19.1,18.5,18.9,41400,782459.9999999999,,,,,,,,
2017-01-06,19.0,19.6,19.0,19.0,96800,1839200.0,,,,,,,,
2017-01-09,18.7,19.2,18.6,18.6,152900,2843940.0,,,,,,,,
2017-01-10,18.6,19.1,18.4,18.5,89500,1655750.0,,,,,,,,
2017-01-11,18.5,19.4,18.2,19.4,118500,2298900.0,,,,,,,,
2017-01-12,18.7,19.4,18.7,19.0,77500,1472500.0,,,,,,,,
2017-01-13,18.8,19.3,18.7,18.8,77700,1460760.0,,,,,,,,
2017-01-16,18.7,18.9,18.3,18.9,34200,646380.0,,,,,,,,
2017-01-17,18.3,18.7,18.1,18.6,31200,580320.0,,,,,,,,
2017-01-18,18.1,18.4,17.9,18.3,19600,358680.0,,,,,,,,
2017-01-19,18.5,18.7,18.3,18.6,14500,269700.0,,,,,,,,
2017-01-20,18.7,18.7,17.5,18.4,92000,1692799.9999999998,,,,,,,,
2017-01-23,17.9,18.4,17.9,18.4,5200,95680.0,,,,,,,,
2017-01-24,18.0,18.2,18.0,18.2,1200,21840.0,,,,,,,,
2017-01-25,17.6,18.2,17.6,18.2,4000,72800.0,,,,,,,,
2017-02-02,18.1,18.2,18.1,18.2,400,7280.0,,,,,,,,
2017-02-03,18.0,18.1,17.6,18.0,20800,374400.0,,,,,,,,
2017-02-06,17.6,18.0,17.5,18.0,19200,345600.0,,,,,,,,
2017-02-07,17.4,18.9,17.0,18.0,216100,3889800.0,,,,,,,,
2017-02-08,18.2,18.7,18.1,18.1,104300,1887830.0,,,,,,,,
2017-02-09,18.0,18.2,17.8,18.0,34500,621000.0,,,,,,,,
2017-02-10,18.1,18.1,17.8,17.9,37900,678410.0,,,,,,,,
2017-02-13,17.9,18.0,17.8,18.0,15800,284400.0,,,,,,,,
2017-02-14,17.8,17.9,17.7,17.9,9600,171840.0,,,,,,,,
2017-02-15,17.8,17.8,17.7,17.7,18300,323910.0,,,,,,,,
2017-02-16,17.8,18.2,17.8,17.8,34100,606980.0,,,,,,,,
2017-02-17,17.8,17.9,17.5,17.9,40800,730320.0,,,,,,,,
2017-02-20,17.4,18.3,17.4,18.1,39300,711330.0,,,,,,,,
2017-02-21,18.1,19.3,18.1,18.7,352710,6595677.0,,,,,,,,
2017-02-22,18.9,18.9,18.4,18.4,136930,2519512.0,,,,,,,,
2017-02-23,18.5,18.7,18.4,18.5,77300,1430050.0,,,,,,,,
2017-02-24,18.4,18.5,18.1,18.1,64700,1171070.0,,,,,,,,
2017-02-27,18.0,18.0,17.5,17.6,148930,2621168.0,,,,,,,,
2017-02-28,17.6,17.7,17.6,17.6,22933,403620.8000000001,,,,,,,,
2017-03-01,17.6,17.9,17.5,17.9,29400,526260.0,,,,,,,,
2017-03-02,17.5,17.7,17.4,17.7,20110,355947.0,,,,,,,,
2017-03-03,17.5,18.0,17.5,18.0,17700,318600.0,,,,,,,,
2017-03-06,17.4,17.8,17.3,17.8,55980,996444.0,,,,,,,,
2017-03-07,17.6,17.6,17.2,17.6,53700,945120.0,,,,,,,,
2017-03-08,17.4,17.5,17.4,17.5,57110,999425.0,,,,,,,,
