time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2015-08-18,2.485,2.485,2.485,2.485,2300,5715.5,,,,,,,,
2015-08-19,2.84,2.84,2.84,2.84,5100,14484.0,,,,,,,,
2015-08-20,3.195,3.195,3.195,3.195,12100,38659.5,,,,,,,,
2015-08-21,3.639,3.639,3.639,3.639,20800,75691.2,,,,,,,,
2015-08-24,4.083,4.083,3.817,3.817,400,1526.8000000000002,,,,,,,,
2015-08-25,3.817,3.817,3.817,3.817,100,381.7000000000001,,,,,,,,
2015-08-26,3.284,3.284,3.284,3.284,6000,19704.0,,,,,,,,
2015-08-27,2.84,2.84,2.84,2.84,100,284.0,,,,,,,,
2015-08-28,2.485,2.485,2.485,2.485,4500,11182.5,,,,,,,,
2015-08-31,2.13,2.13,2.13,2.13,12300,26199.0,,,,,,,,
2015-09-01,1.864,2.13,1.864,1.864,84300,157135.2,,,,,,,,
2015-09-03,2.13,2.13,1.775,2.13,9300,19809.0,,,,,,,,
2015-09-04,2.13,2.13,2.041,2.13,7800,16614.0,,,,,,,,
2015-09-07,2.219,2.308,2.219,2.308,52000,120016.0,,,,,,,,
2015-09-08,2.574,2.574,2.219,2.574,20900,53796.6,,,,,,,,
2015-09-09,2.219,2.929,2.219,2.929,38000,111302.0,,,,,,,,
2015-09-10,2.752,3.107,2.752,3.107,5700,17709.9,,,,,,,,
2015-09-11,2.574,2.574,2.574,2.574,32100,82625.4,,,,,,,,
2015-09-14,2.663,2.84,2.219,2.219,18400,40829.6,,,,,,,,
2015-09-15,2.574,2.574,2.219,2.219,700,1553.3,,,,,,,,
2015-09-16,2.13,2.13,2.041,2.13,15700,33441.0,,,,,,,,
2015-09-17,2.308,2.308,2.308,2.308,100,230.8,,,,,,,,
2015-09-18,2.485,2.485,2.13,2.397,11800,28284.6,,,,,,,,
2015-09-21,2.13,2.397,2.13,2.397,2800,6711.599999999999,,,,,,,,
2015-09-22,2.397,2.397,2.041,2.041,2400,4898.4,,,,,,,,
2015-09-23,2.308,2.308,1.953,1.953,8100,15819.3,,,,,,,,
2015-09-24,2.219,2.219,2.13,2.219,4200,9319.8,,,,,,,,
2015-09-25,2.397,2.397,2.397,2.397,100,239.7,,,,,,,,
2015-09-28,2.485,2.485,2.397,2.397,800,1917.6,,,,,,,,
2015-09-29,2.308,2.308,2.308,2.308,16000,36928.0,,,,,,,,
2015-09-30,2.13,2.13,2.13,2.13,7500,15975.0,,,,,,,,
2015-10-01,2.308,2.308,2.308,2.308,100,230.8,,,,,,,,
2015-10-02,2.219,2.574,2.041,2.041,6600,13470.6,,,,,,,,
2015-10-05,2.397,2.397,2.397,2.397,100,239.7,,,,,,,,
2015-10-06,2.485,2.485,2.041,2.041,7200,14695.2,,,,,,,,
2015-10-07,2.13,2.13,2.13,2.13,7000,14910.0,,,,,,,,
2015-10-08,2.041,2.308,2.041,2.041,1300,2653.3,,,,,,,,
2015-10-09,2.041,2.041,1.953,1.953,5000,9765.0,,,,,,,,
2015-10-12,2.219,2.219,2.219,2.219,300,665.6999999999999,,,,,,,,
2015-10-13,2.041,2.219,1.953,2.219,35200,78108.79999999999,,,,,,,,
2015-10-14,1.953,1.953,1.953,1.953,5000,9765.0,,,,,,,,
2015-10-15,2.041,2.13,2.041,2.13,400,852.0,,,,,,,,
2015-10-16,2.219,2.219,2.219,2.219,700,1553.3,,,,,,,,
2015-10-19,2.219,2.219,2.219,2.219,0,0.0,,,,,,,,
2015-10-20,2.219,2.219,2.219,2.219,0,0.0,,,,,,,,
2015-10-21,2.308,2.308,2.041,2.041,300,612.3,,,,,,,,
2015-10-22,2.041,2.041,2.041,2.041,2000,4082.0,,,,,,,,
2015-10-23,2.041,2.041,2.041,2.041,0,0.0,,,,,,,,
2015-10-26,2.219,2.308,2.219,2.308,3500,8077.999999999999,,,,,,,,
2015-10-27,2.308,2.308,2.308,2.308,100,230.8,,,,,,,,
2015-10-28,2.485,2.485,2.13,2.13,1400,2982.0,,,,,,,,
2015-10-29,2.13,2.397,2.13,2.13,4400,9372.0,,,,,,,,
2015-10-30,2.041,2.041,2.041,2.041,500,1020.5,,,,,,,,
2015-11-02,2.219,2.219,2.219,2.219,9600,21302.4,,,,,,,,
2015-11-03,2.308,2.308,2.13,2.13,21100,44943.0,,,,,,,,
2015-11-04,2.041,2.397,2.041,2.308,1600,3692.8,,,,,,,,
2015-11-05,2.308,2.308,2.13,2.13,1300,2769.0,,,,,,,,
2015-11-06,2.308,2.308,2.308,2.308,16400,37851.2,,,,,,,,
2015-11-09,2.219,2.308,2.219,2.219,3300,7322.7,,,,,,,,
2015-11-10,2.041,2.041,2.041,2.041,1000,2041.0,,,,,,,,
2015-11-11,2.219,2.219,2.219,2.219,300,665.6999999999999,,,,,,,,
2015-11-12,2.13,2.219,1.953,2.219,14400,31953.6,,,,,,,,
2015-11-13,2.041,2.041,2.041,2.041,0,0.0,,,,,,,,
2015-11-16,2.219,2.308,2.219,2.308,4700,10847.6,,,,,,,,
2015-11-17,2.397,2.485,2.397,2.485,26700,66349.5,,,,,,,,
2015-11-18,2.752,2.84,2.752,2.84,63200,179488.0,,,,,,,,
2015-11-19,3.195,3.195,3.195,3.195,33700,107671.5,,,,,,,,
2015-11-20,3.55,3.639,3.55,3.639,7200,26200.8,,,,,,,,
2015-11-23,4.172,4.172,3.284,3.994,98100,391811.4,,,,,,,,
2015-11-24,3.462,4.26,3.462,4.172,70300,293291.6,,,,,,,,
2015-11-25,3.817,4.438,3.817,4.26,50100,213426.0,,,,,,,,
2015-11-26,4.083,4.704,4.083,4.438,70800,314210.4,,,,,,,,
2015-11-27,4.616,5.059,4.616,4.793,40900,196033.7,,,,,,,,
2015-11-30,5.059,5.592,5.059,5.148,86500,445302.0,,,,,,,,
2015-12-01,5.681,5.769,5.326,5.414,13700,74171.8,,,,,,,,
2015-12-02,5.326,6.124,5.326,5.681,29000,164749.0,,,,,,,,
2015-12-03,5.592,5.592,4.971,5.059,20200,102191.8,,,,,,,,
2015-12-04,5.237,5.237,4.527,4.527,4700,21276.9,,,,,,,,
2015-12-07,3.994,4.083,3.994,3.994,38700,154567.80000000002,,,,,,,,
2015-12-08,3.55,3.994,3.462,3.994,22500,89865.0,,,,,,,,
2015-12-09,3.905,3.905,3.905,3.905,400,1562.0,,,,,,,,
2015-12-10,3.55,3.55,3.462,3.462,10100,34966.200000000004,,,,,,,,
2015-12-11,3.462,3.905,3.462,3.905,3500,13667.5,,,,,,,,
2015-12-14,3.55,3.55,3.55,3.55,32200,114310.0,,,,,,,,
2015-12-15,3.55,3.994,3.55,3.994,200,798.8000000000001,,,,,,,,
2015-12-16,3.462,3.994,3.373,3.817,10900,41605.3,,,,,,,,
2015-12-17,3.817,4.172,3.817,4.172,34900,145602.8,,,,,,,,
2015-12-18,4.438,4.527,4.083,4.527,15700,71073.90000000001,,,,,,,,
2015-12-21,4.704,4.882,4.438,4.527,39800,180174.6,,,,,,,,
2015-12-22,4.616,4.616,4.349,4.438,29800,132252.4,,,,,,,,
2015-12-23,4.438,4.438,4.438,4.438,0,0.0,,,,,,,,
2015-12-24,3.817,3.905,3.817,3.817,16600,63362.2,,,,,,,,
2015-12-25,3.462,3.994,3.462,3.994,1800,7189.200000000001,,,,,,,,
2015-12-28,3.905,3.905,3.639,3.817,5300,20230.1,,,,,,,,
2015-12-29,3.905,4.172,3.905,3.905,24900,97234.5,,,,,,,,
2015-12-30,4.172,4.527,4.172,4.26,55200,235152.0,,,,,,,,
2015-12-31,4.882,4.882,4.882,4.882,100,488.2,,,,,,,,
2016-01-04,4.349,4.438,4.349,4.438,10600,47042.8,,,,,,,,
2016-01-05,4.527,4.527,4.527,4.527,500,2263.5,,,,,,,,
2016-01-06,3.905,4.349,3.905,4.26,600,2556.0,,,,,,,,
2016-01-07,3.728,3.728,3.55,3.639,23800,86608.2,,,,,,,,
2016-01-08,3.994,4.172,3.994,4.172,3000,12516.0,,,,,,,,
2016-01-11,3.55,3.905,3.55,3.817,9800,37406.6,,,,,,,,
2016-01-12,4.26,4.26,4.083,4.172,14500,60493.99999999999,,,,,,,,
2016-01-13,4.438,4.438,4.349,4.349,6000,26094.0,,,,,,,,
2016-01-14,4.349,4.349,3.905,3.994,5000,19970.0,,,,,,,,
2016-01-15,3.994,3.994,3.994,3.994,25300,101048.2,,,,,,,,
2016-01-18,3.728,3.817,3.55,3.639,14000,50946.0,,,,,,,,
2016-01-19,3.728,3.728,3.728,3.728,0,0.0,,,,,,,,
2016-01-20,3.728,3.905,3.639,3.905,5800,22649.0,,,,,,,,
2016-01-21,3.905,3.994,3.905,3.994,300,1198.2,,,,,,,,
2016-01-22,3.994,3.994,3.994,3.994,0,0.0,,,,,,,,
2016-01-25,3.639,3.639,3.639,3.639,1000,3639.0,,,,,,,,
2016-01-26,3.55,3.55,3.373,3.373,15600,52618.8,,,,,,,,
2016-01-27,3.55,3.55,3.195,3.195,48000,153360.0,,,,,,,,
2016-01-28,3.55,3.55,3.55,3.55,100,355.0,,,,,,,,
2016-01-29,3.195,3.195,3.195,3.195,1900,6070.5,,,,,,,,
2016-02-01,3.373,3.462,3.284,3.284,75400,247613.6,,,,,,,,
2016-02-02,3.373,3.462,3.373,3.373,15900,53630.7,,,,,,,,
2016-02-03,3.462,3.462,3.373,3.373,14600,49245.8,,,,,,,,
2016-02-04,3.462,3.462,3.018,3.373,17400,58690.2,,,,,,,,
2016-02-05,3.284,3.284,3.284,3.284,1100,3612.4,,,,,,,,
2016-02-15,3.373,3.728,3.373,3.728,35000,130480.0,,,,,,,,
2016-02-16,4.172,4.172,3.994,4.172,37200,155198.4,,,,,,,,
2016-02-17,4.793,4.793,4.26,4.26,48800,207888.0,,,,,,,,
2016-02-18,4.26,4.26,4.172,4.26,35600,151656.0,,,,,,,,
2016-02-19,4.26,4.793,4.172,4.349,95800,416634.2,,,,,,,,
2016-02-22,4.704,4.704,4.172,4.172,4600,19191.2,,,,,,,,
2016-02-23,4.349,4.349,3.639,3.994,22800,91063.2,,,,,,,,
2016-02-24,3.639,4.172,3.55,3.994,7800,31153.2,,,,,,,,
2016-02-25,3.728,4.083,3.728,3.994,8700,34747.8,,,,,,,,
2016-02-26,3.994,3.994,3.905,3.905,4800,18744.0,,,,,,,,
2016-02-29,3.817,3.817,3.728,3.817,10500,40078.5,,,,,,,,
2016-03-01,3.994,3.994,3.728,3.994,18000,71892.0,,,,,,,,
2016-03-02,3.905,4.172,3.817,3.994,9100,36345.4,,,,,,,,
2016-03-03,3.905,3.905,3.905,3.905,0,0.0,,,,,,,,
2016-03-04,3.817,3.817,3.728,3.817,5400,20611.8,,,,,,,,
2016-03-07,3.817,3.905,3.728,3.905,23000,89815.0,,,,,,,,
2016-03-08,3.817,4.083,3.817,4.083,22600,92275.8,,,,,,,,
2016-03-09,4.083,4.083,3.817,3.817,20800,79393.6,,,,,,,,
2016-03-10,3.817,3.817,3.639,3.817,35500,135503.5,,,,,,,,
2016-03-11,3.905,4.26,3.905,4.26,51100,217686.0,,,,,,,,
2016-03-14,4.793,4.793,4.438,4.793,90000,431370.0,,,,,,,,
2016-03-15,5.414,5.503,5.059,5.503,316465,1741506.895,,,,,,,,
2016-03-16,5.414,5.414,4.793,4.882,48900,238729.8,,,,,,,,
2016-03-17,4.882,5.592,4.793,5.059,147600,746708.4,,,,,,,,
2016-03-18,4.793,5.148,4.704,4.793,51300,245880.9,,,,,,,,
2016-03-21,4.704,4.704,4.438,4.704,73900,347625.6,,,,,,,,
2016-03-22,4.438,5.148,4.438,5.059,256500,1297633.5,,,,,,,,
2016-03-23,5.148,5.503,5.059,5.503,162930,896603.79,,,,,,,,
