time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2008-07-29,4.22,4.22,4.22,4.22,6080,25657.6,,,,,,,,
2008-07-30,4.09,4.09,4.09,4.09,1340,5480.599999999999,,,,,,,,
2008-07-31,3.98,3.98,3.98,3.98,1060,4218.8,,,,,,,,
2008-08-01,3.87,3.87,3.87,3.87,60,232.2,,,,,,,,
2008-08-04,3.75,3.75,3.75,3.75,50,187.5,,,,,,,,
2008-08-05,3.65,3.65,3.65,3.65,10,36.5,,,,,,,,
2008-08-06,3.54,3.54,3.54,3.54,20,70.8,,,,,,,,
2008-08-07,3.43,3.43,3.43,3.43,10,34.300000000000004,,,,,,,,
2008-08-08,3.34,3.34,3.34,3.34,10,33.4,,,,,,,,
2008-08-11,3.25,3.43,3.24,3.24,71510,231692.4,,,,,,,,
2008-08-12,3.14,3.15,3.14,3.14,36830,115646.2,,,,,,,,
2008-08-13,3.06,3.06,3.06,3.06,2880,8812.8,,,,,,,,
2008-08-14,2.97,3.14,2.97,3.14,384410,1207047.4,,,,,,,,
2008-08-15,3.21,3.23,3.14,3.23,164690,531948.7,,,,,,,,
2008-08-18,3.09,3.11,3.07,3.07,31260,95968.2,,,,,,,,
2008-08-19,2.93,2.93,2.93,2.93,29310,85878.3,,,,,,,,
2008-08-20,2.78,2.78,2.78,2.78,32610,90655.8,,,,,,,,
2008-08-21,2.65,2.65,2.65,2.65,35130,93094.5,,,,,,,,
2008-08-22,2.52,2.78,2.52,2.78,280120,778733.6,,,,,,,,
2008-08-25,2.91,2.91,2.76,2.91,150850,438973.5,,,,,,,,
2008-08-26,3.05,3.05,3.05,3.05,64420,196481.0,,,,,,,,
2008-08-27,3.2,3.2,3.03,3.16,144270,455893.2,,,,,,,,
2008-08-28,3.0,3.0,3.0,3.0,22770,68310.0,,,,,,,,
2008-08-29,2.85,2.85,2.85,2.85,2080,5928.0,,,,,,,,
2008-09-03,2.82,2.98,2.71,2.71,152920,414413.2,,,,,,,,
2008-09-04,2.59,2.69,2.59,2.64,129190,341061.60000000003,,,,,,,,
2008-09-05,2.55,2.64,2.53,2.55,129570,330403.5,,,,,,,,
2008-09-08,2.63,2.67,2.55,2.67,95240,254290.8,,,,,,,,
2008-09-09,2.8,2.8,2.68,2.8,121270,339556.0,,,,,,,,
2008-09-10,2.93,2.93,2.72,2.79,85850,239521.5,,,,,,,,
2008-09-11,2.77,2.77,2.66,2.66,51350,136591.0,,,,,,,,
2008-09-12,2.53,2.53,2.53,2.53,21190,53610.7,,,,,,,,
2008-09-15,2.41,2.65,2.41,2.45,101410,248454.50000000003,,,,,,,,
2008-09-16,2.39,2.45,2.34,2.35,253500,595725.0,,,,,,,,
2008-09-17,2.34,2.35,2.26,2.33,97410,226965.3,,,,,,,,
2008-09-18,2.28,2.28,2.21,2.21,96820,213972.2,,,,,,,,
2008-09-19,2.32,2.32,2.32,2.32,47390,109944.8,,,,,,,,
2008-09-22,2.43,2.43,2.43,2.43,33740,81988.20000000001,,,,,,,,
2008-09-23,2.32,2.43,2.32,2.32,91100,211352.0,,,,,,,,
2008-09-24,2.32,2.32,2.21,2.21,36300,80223.0,,,,,,,,
