time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2016-09-19,9.904,9.904,9.904,9.904,100,990.4,,,,,,,,
2016-09-20,11.372,11.372,11.372,11.372,100,1137.2,,,,,,,,
2016-09-21,13.049,13.049,13.049,13.049,100,1304.9,,,,,,,,
2016-09-22,14.988,14.988,11.11,11.11,398200,4424002.0,,,,,,,,
2016-09-23,11.162,14.621,10.848,11.162,398100,4443592.2,,,,,,,,
2016-09-26,12.577,12.577,9.695,11.529,169000,1948401.0,,,,,,,,
2016-09-27,10.428,11.529,10.114,10.481,101200,1060677.2,,,,,,,,
2016-09-28,10.533,11.424,10.533,11.267,102600,1155994.2,,,,,,,,
2016-09-29,11.057,12.577,10.743,12.577,336100,4227129.7,,,,,,,,
2016-09-30,13.101,13.573,13.101,13.573,35400,480484.2,,,,,,,,
2016-10-03,14.411,15.459,14.411,15.459,216550,3347646.45,,,,,,,,
2016-10-04,15.459,15.721,12.944,14.464,129300,1870195.2,,,,,,,,
2016-10-05,14.726,14.83,14.254,14.306,38500,550781.0,,,,,,,,
2016-10-06,14.464,14.464,13.835,14.149,92700,1311612.2999999998,,,,,,,,
2016-10-07,13.782,14.359,13.625,13.887,20510,284822.37,,,,,,,,
2016-10-10,13.835,14.883,13.835,14.149,36600,517853.4,,,,,,,,
2016-10-11,14.411,14.411,13.887,13.992,22800,319017.60000000003,,,,,,,,
2016-10-12,14.149,14.149,13.73,13.782,35900,494773.8,,,,,,,,
2016-10-13,13.835,13.835,13.153,13.782,44000,606408.0,,,,,,,,
2016-10-14,13.415,13.625,13.363,13.573,22700,308107.10000000003,,,,,,,,
2016-10-17,13.363,14.149,13.258,13.887,62270,864743.49,,,,,,,,
2016-10-18,13.887,15.092,13.887,15.092,128530,1939774.76,,,,,,,,
2016-10-19,15.092,16.245,15.092,16.036,194800,3123812.8000000003,,,,,,,,
2016-10-20,15.878,17.346,15.774,17.346,72200,1252381.2,,,,,,,,
2016-10-21,16.769,19.075,16.769,17.817,224300,3996353.1,,,,,,,,
2016-10-24,18.761,18.761,16.245,17.031,122000,2077782.0,,,,,,,,
2016-10-25,17.189,17.398,15.983,17.293,47000,812771.0,,,,,,,,
2016-10-26,17.293,18.341,16.769,17.817,67000,1193739.0,,,,,,,,
2016-10-27,17.817,19.18,17.817,18.341,147400,2703463.4000000004,,,,,,,,
2016-10-28,18.604,19.128,18.289,18.866,76400,1441362.4,,,,,,,,
2016-10-31,18.761,20.962,18.761,20.962,127340,2669301.08,,,,,,,,
2016-11-01,21.433,22.01,20.752,21.119,150530,3179043.07,,,,,,,,
2016-11-02,21.119,21.381,19.809,19.914,136870,2725629.18,,,,,,,,
2016-11-03,19.914,19.966,18.866,19.966,53810,1074370.46,,,,,,,,
2016-11-04,19.914,20.962,19.494,19.914,53750,1070377.5,,,,,,,,
2016-11-07,19.914,20.333,19.547,20.333,49700,1010550.1,,,,,,,,
2016-11-08,20.333,20.438,19.914,20.071,54520,1094270.9200000002,,,,,,,,
2016-11-09,20.438,20.438,17.817,19.39,118320,2294224.8000000003,,,,,,,,
2016-11-10,19.599,20.333,19.39,19.861,50850,1009931.85,,,,,,,,
2016-11-11,19.861,20.542,19.39,20.542,113700,2335625.4000000004,,,,,,,,
2016-11-14,20.333,20.752,20.123,20.438,65000,1328470.0,,,,,,,,
2016-11-15,20.7,21.014,20.176,20.176,27760,560085.76,,,,,,,,
2016-11-16,20.438,20.438,19.442,19.809,35770,708567.93,,,,,,,,
2016-11-17,19.914,20.385,19.18,19.39,57510,1115118.9,,,,,,,,
2016-11-18,19.652,20.176,19.39,19.442,30200,587148.4,,,,,,,,
2016-11-21,19.39,19.599,18.866,18.866,68527,1292830.382,,,,,,,,
2016-11-22,19.075,19.547,19.075,19.285,41133,793249.905,,,,,,,,
2016-11-23,18.604,19.18,18.394,18.499,23090,427141.91,,,,,,,,
2016-11-24,18.184,18.499,17.817,18.079,55925,1011068.075,,,,,,,,
2016-11-25,18.184,18.184,15.721,16.403,129220,2119595.66,,,,,,,,
2016-11-28,16.822,16.822,14.306,14.726,328500,4837491.0,,,,,,,,
2016-11-29,14.726,16.403,13.52,15.197,263770,4008512.69,,,,,,,,
2016-11-30,14.464,14.988,13.101,14.044,258900,3635991.6,,,,,,,,
2016-12-01,14.673,15.721,13.206,13.782,747400,10300666.8,,,,,,,,
2016-12-02,14.149,14.673,13.625,14.411,412610,5946122.71,,,,,,,,
2016-12-05,14.673,15.197,14.254,14.935,346570,5176022.95,,,,,,,,
2016-12-06,15.092,15.092,14.464,14.464,120000,1735680.0,,,,,,,,
2016-12-07,14.621,14.673,14.202,14.359,103930,1492330.87,,,,,,,,
2016-12-08,14.306,14.621,14.202,14.202,86100,1222792.2,,,,,,,,
2016-12-09,14.359,14.359,13.887,13.94,97600,1360544.0,,,,,,,,
2016-12-12,13.625,13.992,13.415,13.887,79925,1109918.475,,,,,,,,
2016-12-13,13.625,13.625,13.311,13.311,128000,1703808.0,,,,,,,,
2016-12-14,13.468,13.468,12.891,13.101,388550,5090393.550000001,,,,,,,,
2016-12-15,13.101,13.573,12.996,13.468,1238600,16681464.8,,,,,,,,
2016-12-16,13.52,14.411,13.258,14.149,211560,2993362.44,,,,,,,,
2016-12-19,14.411,15.354,14.149,15.25,231523,3530725.75,,,,,,,,
2016-12-20,15.197,15.983,14.83,15.25,232420,3544405.0,,,,,,,,
2016-12-21,15.197,15.25,14.464,14.988,162110,2429704.68,,,,,,,,
2016-12-22,14.935,15.197,14.83,14.935,90100,1345643.5,,,,,,,,
2016-12-23,14.83,14.83,14.254,14.464,96000,1388544.0,,,,,,,,
2016-12-26,14.359,14.83,14.359,14.726,92361,1360108.086,,,,,,,,
2016-12-27,14.464,15.197,14.464,15.092,145400,2194376.8000000003,,,,,,,,
2016-12-28,15.145,15.564,14.988,15.512,135700,2104978.4,,,,,,,,
2016-12-29,15.25,15.459,15.04,15.354,80626,1237931.604,,,,,,,,
2016-12-30,15.407,15.616,15.145,15.197,82513,1253950.061,,,,,,,,
2017-01-03,15.302,15.459,15.145,15.459,53571,828154.089,,,,,,,,
2017-01-04,15.25,15.564,14.935,14.988,155650,2332882.2,,,,,,,,
2017-01-05,15.197,15.669,15.197,15.616,98680,1540986.88,,,,,,,,
2017-01-06,15.878,15.878,15.25,15.459,78825,1218555.675,,,,,,,,
2017-01-09,15.302,15.512,15.302,15.354,88000,1351152.0,,,,,,,,
2017-01-10,15.407,15.407,15.197,15.197,67120,1020022.64,,,,,,,,
2017-01-11,15.302,15.407,14.411,15.092,262214,3957333.688,,,,,,,,
2017-01-12,14.673,14.673,13.887,14.621,322810,4719805.01,,,,,,,,
2017-01-13,14.935,14.935,14.044,14.359,395900,5684728.1,,,,,,,,
2017-01-16,14.568,14.988,14.516,14.988,85709,1284606.492,,,,,,,,
2017-01-17,14.778,14.935,14.673,14.778,42500,628065.0,,,,,,,,
2017-01-18,14.568,14.778,14.464,14.464,112500,1627200.0,,,,,,,,
2017-01-19,14.516,14.568,13.415,14.254,3986200,56819294.8,,,,,,,,
2017-01-20,14.516,14.516,14.411,14.411,33400,481327.4,,,,,,,,
2017-01-23,14.464,14.673,14.464,14.568,33172,483249.696,,,,,,,,
2017-01-24,14.411,14.411,14.149,14.306,145800,2085814.8,,,,,,,,
2017-01-25,14.306,14.464,14.254,14.359,94200,1352617.8,,,,,,,,
2017-02-02,14.359,14.988,14.306,14.83,177400,2630842.0,,,,,,,,
2017-02-03,14.988,14.988,14.673,14.673,56240,825209.52,,,,,,,,
2017-02-06,14.673,14.726,14.464,14.516,81450,1182328.2,,,,,,,,
2017-02-07,14.568,14.621,14.306,14.411,80400,1158644.4,,,,,,,,
2017-02-08,14.149,14.202,13.887,14.044,255300,3585433.2,,,,,,,,
2017-02-09,13.887,14.044,13.782,13.887,132500,1840027.5,,,,,,,,
2017-02-10,13.887,14.254,13.887,14.044,196500,2759646.0,,,,,,,,
2017-02-13,14.149,14.149,13.992,14.097,33100,466610.7,,,,,,,,
2017-02-14,14.044,14.149,13.94,14.044,40200,564568.8,,,,,,,,
2017-02-15,13.887,14.044,13.887,13.992,31502,440775.98400000005,,,,,,,,
2017-02-16,13.887,14.568,13.887,14.149,107200,1516772.7999999998,,,,,,,,
2017-02-17,14.149,14.149,13.887,13.94,35300,492082.0,,,,,,,,
2017-02-20,13.887,14.149,13.835,14.044,37900,532267.6,,,,,,,,
2017-02-21,13.94,14.044,13.835,13.835,63700,881289.5,,,,,,,,
2017-02-22,13.835,14.044,13.835,13.887,35300,490211.1,,,,,,,,
2017-02-23,13.887,14.254,13.835,14.149,216600,3064673.4,,,,,,,,
2017-02-24,14.044,14.149,13.887,14.044,60000,842640.0,,,,,,,,
2017-02-27,14.044,14.306,13.887,14.044,94800,1331371.2,,,,,,,,
2017-02-28,14.044,14.044,13.782,13.782,39800,548523.6,,,,,,,,
2017-03-01,13.782,13.835,13.363,13.678,68000,930104.0,,,,,,,,
2017-03-02,13.678,13.782,13.625,13.678,13500,184653.0,,,,,,,,
2017-03-03,13.625,13.835,13.468,13.468,46500,626262.0,,,,,,,,
2017-03-06,13.625,13.835,13.625,13.835,41700,576919.5,,,,,,,,
2017-03-07,13.625,13.625,13.468,13.468,24500,329966.0,,,,,,,,
2017-03-08,13.73,13.73,13.52,13.625,71020,967647.5,,,,,,,,
2017-03-09,13.468,13.625,13.415,13.52,24700,333944.0,,,,,,,,
2017-03-10,13.468,13.52,13.101,13.363,57220,764630.86,,,,,,,,
2017-03-13,13.415,13.73,13.258,13.625,31300,426462.5,,,,,,,,
2017-03-14,13.363,13.678,13.363,13.468,24300,327272.4,,,,,,,,
2017-03-15,13.625,13.625,13.363,13.468,14015,188754.02,,,,,,,,
2017-03-16,13.625,14.411,13.625,14.149,162100,2293552.9,,,,,,,,
2017-03-17,14.044,14.202,13.887,14.202,100300,1424460.6,,,,,,,,
