time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2013-01-02,2.5,2.6,2.5,2.6,35800,93080.0,,,,,
2013-01-03,2.6,2.7,2.5,2.5,66500,166250.0,,,,,
2013-01-04,2.5,2.6,2.5,2.6,39900,103740.0,,,,,
2013-01-07,2.6,2.7,2.6,2.7,17200,46440.0,,,,,
2013-01-08,2.6,2.7,2.6,2.6,8400,21840.0,,,,,
2013-01-09,2.6,2.7,2.5,2.5,35500,88750.0,,,,,
2013-01-10,2.5,2.6,2.5,2.6,18200,47320.0,,,,,
2013-01-11,2.6,2.7,2.5,2.5,1600,4000.0,,,,,
2013-01-14,2.5,2.6,2.4,2.4,22400,53760.0,,,,,
2013-01-15,2.4,2.6,2.3,2.3,55100,126730.0,,,,,
2013-01-16,2.5,2.6,2.5,2.6,69300,180180.0,,,,,
2013-01-17,2.8,2.8,2.6,2.8,51300,143640.0,,,,,
2013-01-18,2.8,2.9,2.8,2.9,40400,117160.0,,,,,
2013-01-21,2.8,2.8,2.7,2.7,28200,76140.0,,,,,
2013-01-22,2.7,2.8,2.6,2.8,17200,48160.0,,,,,
2013-01-23,2.9,2.9,2.6,2.8,16400,45920.0,,,,,
2013-01-24,2.6,2.6,2.6,2.6,33100,86060.0,,,,,
2013-01-25,2.4,2.6,2.4,2.5,147600,369000.0,,,,,
2013-01-28,2.4,2.6,2.4,2.6,36000,93600.0,,,,,
2013-01-29,2.6,2.6,2.4,2.4,22300,53520.0,,,,,
2013-01-30,2.3,2.3,2.2,2.3,42700,98210.0,,,,,
2013-01-31,2.4,2.4,2.3,2.4,29200,70080.0,,,,,
2013-02-01,2.2,2.3,2.2,2.3,26900,61869.99999999999,,,,,
2013-02-04,2.2,2.4,2.1,2.4,11100,26640.0,,,,,
2013-02-05,2.3,2.3,2.3,2.3,100,230.0,,,,,
2013-02-06,2.4,2.4,2.3,2.4,1000,2400.0,,,,,
2013-02-07,2.4,2.4,2.3,2.4,3100,7440.0,,,,,
2013-02-08,2.4,2.4,2.3,2.4,12400,29760.0,,,,,
2013-02-18,2.5,2.5,2.3,2.5,18600,46500.0,,,,,
2013-02-19,2.4,2.5,2.3,2.5,12500,31250.0,,,,,
2013-02-20,2.4,2.5,2.4,2.4,7900,18960.0,,,,,
2013-02-21,2.4,2.4,2.3,2.4,5700,13680.0,,,,,
2013-02-22,2.5,2.5,2.4,2.4,200,480.0,,,,,
2013-02-25,2.4,2.4,2.2,2.4,12900,30960.0,,,,,
2013-02-26,2.3,2.3,2.2,2.3,9700,22310.0,,,,,
2013-02-27,2.2,2.3,2.1,2.3,17100,39330.0,,,,,
2013-02-28,2.3,2.3,2.1,2.1,200,420.0,,,,,
2013-03-01,2.2,2.2,2.2,2.2,100,220.00000000000003,,,,,
2013-03-04,2.1,2.2,2.0,2.2,5400,11880.000000000002,,,,,
2013-03-05,2.0,2.0,2.0,2.0,100,200.0,,,,,
2013-03-06,2.0,2.1,2.0,2.1,5200,10920.0,,,,,
2013-03-07,2.1,2.1,1.9,2.1,8800,18480.0,,,,,
2013-03-08,2.0,2.1,2.0,2.1,4600,9660.0,,,,,
2013-03-11,2.1,2.1,2.1,2.1,5100,10710.0,,,,,
2013-03-12,2.2,2.2,2.2,2.2,100,220.00000000000003,,,,,
2013-03-13,2.0,2.1,2.0,2.0,1300,2600.0,,,,,
2013-03-14,2.0,2.1,2.0,2.1,4400,9240.0,,,,,
2013-03-15,2.0,2.1,2.0,2.1,600,1260.0,,,,,
2013-03-18,2.1,2.1,2.1,2.1,0,0.0,,,,,
2013-03-19,1.9,1.9,1.9,1.9,100,190.0,,,,,
2013-03-20,2.0,2.0,2.0,2.0,900,1800.0,,,,,
2013-03-21,1.9,2.0,1.9,2.0,8100,16200.0,,,,,
2013-03-22,1.9,2.0,1.9,2.0,1000,2000.0,,,,,
2013-03-25,1.8,2.0,1.8,2.0,600,1200.0,,,,,
2013-03-26,1.9,1.9,1.8,1.8,4500,8100.0,,,,,
2013-03-27,1.7,1.8,1.7,1.8,7000,12600.0,,,,,
2013-03-28,1.9,1.9,1.8,1.8,400,720.0,,,,,
2013-03-29,1.8,1.8,1.8,1.8,0,0.0,,,,,
2013-04-01,1.9,1.9,1.9,1.9,100,190.0,,,,,
2013-04-02,1.9,1.9,1.8,1.9,20600,39140.0,,,,,
2013-04-03,1.7,1.8,1.7,1.8,12100,21780.0,,,,,
2013-04-04,1.7,1.7,1.7,1.7,10800,18360.0,,,,,
2013-04-05,1.7,1.7,1.6,1.6,6800,10880.0,,,,,
2013-04-08,1.5,1.7,1.5,1.7,75600,128520.0,,,,,
2013-04-09,1.7,1.7,1.6,1.6,2800,4480.0,,,,,
2013-04-10,1.6,1.6,1.6,1.6,400,640.0,,,,,
2013-04-11,1.5,1.6,1.5,1.5,7700,11550.0,,,,,
2013-04-12,1.5,1.5,1.5,1.5,3900,5850.0,,,,,
2013-04-15,1.5,1.6,1.5,1.5,10100,15150.0,,,,,
2013-04-16,1.5,1.6,1.5,1.6,2700,4320.0,,,,,
2013-04-17,1.6,1.7,1.5,1.5,4500,6750.0,,,,,
2013-04-18,1.6,1.6,1.5,1.5,4700,7050.0,,,,,
2013-04-22,1.5,1.6,1.5,1.6,1100,1760.0,,,,,
2013-04-23,1.6,1.6,1.6,1.6,3000,4800.0,,,,,
2013-04-24,1.5,1.5,1.5,1.5,25100,37650.0,,,,,
2013-04-25,1.5,1.6,1.5,1.6,900,1440.0,,,,,
2013-04-26,1.5,1.6,1.5,1.6,16000,25600.0,,,,,
2013-05-02,1.5,1.5,1.5,1.5,7000,10500.0,,,,,
2013-05-03,1.5,1.5,1.5,1.5,0,0.0,,,,,
2013-05-06,1.6,1.6,1.4,1.6,5700,9120.0,,,,,
2013-05-07,1.6,1.6,1.6,1.6,0,0.0,,,,,
2013-05-08,1.5,1.5,1.5,1.5,1300,1950.0,,,,,
2013-05-09,1.4,1.6,1.4,1.6,200,320.0,,,,,
2013-05-10,1.6,1.6,1.5,1.5,3100,4650.0,,,,,
2013-05-13,1.5,1.5,1.5,1.5,500,750.0,,,,,
2013-05-14,1.5,1.5,1.5,1.5,1100,1650.0,,,,,
2013-05-15,1.5,1.5,1.5,1.5,0,0.0,,,,,
2013-05-16,1.5,1.5,1.5,1.5,1400,2100.0,,,,,
2013-05-17,1.5,1.6,1.5,1.6,2600,4160.0,,,,,
2013-05-20,1.6,1.7,1.6,1.6,15100,24160.0,,,,,
2013-05-21,1.7,1.7,1.7,1.7,100,170.0,,,,,
2013-05-22,1.6,1.8,1.6,1.8,24800,44640.0,,,,,
2013-05-23,1.7,1.8,1.7,1.7,15700,26690.0,,,,,
2013-05-24,1.8,1.8,1.6,1.8,700,1260.0,,,,,
2013-05-27,1.8,1.8,1.7,1.8,10200,18360.0,,,,,
2013-05-28,1.8,1.8,1.7,1.8,400,720.0,,,,,
2013-05-29,1.7,1.7,1.7,1.7,200,340.0,,,,,
2013-05-30,1.6,1.6,1.6,1.6,7700,12320.0,,,,,
2013-05-31,1.7,1.7,1.6,1.7,10600,18020.0,,,,,
2013-06-03,1.7,1.7,1.7,1.7,100,170.0,,,,,
2013-06-04,1.6,1.7,1.6,1.7,3900,6630.0,,,,,
2013-06-05,1.6,1.6,1.6,1.6,500,800.0,,,,,
2013-06-06,1.6,1.7,1.6,1.7,9800,16660.0,,,,,
2013-06-07,1.6,1.6,1.6,1.6,10500,16800.0,,,,,
2013-06-10,1.6,1.6,1.5,1.5,5500,8250.0,,,,,
2013-06-11,1.5,1.5,1.5,1.5,0,0.0,,,,,
2013-06-12,1.6,1.6,1.6,1.6,100,160.0,,,,,
2013-06-13,1.6,1.7,1.6,1.7,600,1020.0,,,,,
2013-06-14,1.7,1.7,1.6,1.6,1400,2240.0,,,,,
2013-06-17,1.5,1.5,1.5,1.5,300,450.0,,,,,
2013-06-18,1.6,1.6,1.6,1.6,100,160.0,,,,,
2013-06-19,1.7,1.7,1.6,1.7,69400,117980.0,,,,,
2013-06-20,1.7,1.8,1.7,1.8,14200,25560.0,,,,,
2013-06-21,1.8,1.8,1.7,1.8,24400,43920.0,,,,,
2013-06-24,1.8,1.8,1.7,1.7,300,510.0,,,,,
2013-06-25,1.6,1.6,1.6,1.6,4100,6560.0,,,,,
2013-06-26,1.5,1.7,1.5,1.6,91100,145760.0,,,,,
2013-06-27,1.5,1.5,1.5,1.5,9900,14850.0,,,,,
2013-06-28,1.4,1.6,1.4,1.6,200,320.0,,,,,
2013-07-01,1.5,1.5,1.5,1.5,3300,4950.0,,,,,
2013-07-02,1.5,1.5,1.4,1.5,2300,3450.0,,,,,
2013-07-03,1.5,1.6,1.5,1.6,6200,9920.0,,,,,
2013-07-04,1.6,1.6,1.5,1.5,600,900.0,,,,,
2013-07-05,1.5,1.6,1.5,1.5,4300,6450.0,,,,,
2013-07-08,1.4,1.6,1.4,1.5,5200,7800.0,,,,,
2013-07-09,1.6,1.6,1.5,1.5,2200,3300.0,,,,,
2013-07-10,1.6,1.6,1.5,1.5,600,900.0,,,,,
2013-07-11,1.5,1.5,1.4,1.4,13000,18200.0,,,,,
2013-07-12,1.5,1.5,1.5,1.5,6500,9750.0,,,,,
2013-07-15,1.6,1.6,1.6,1.6,100,160.0,,,,,
2013-07-16,1.6,1.6,1.5,1.5,1400,2100.0,,,,,
2013-07-17,1.4,1.6,1.4,1.5,800,1200.0,,,,,
2013-07-18,1.5,1.6,1.4,1.4,3600,5040.0,,,,,
2013-07-19,1.4,1.5,1.4,1.5,5600,8400.0,,,,,
2013-07-22,1.4,1.4,1.4,1.4,400,560.0,,,,,
2013-07-23,1.4,1.4,1.4,1.4,0,0.0,,,,,
2013-07-24,1.4,1.5,1.4,1.5,400,600.0,,,,,
2013-07-25,1.4,1.5,1.4,1.5,600,900.0,,,,,
2013-07-26,1.4,1.4,1.4,1.4,11500,16099.999999999998,,,,,
2013-07-29,1.4,1.4,1.4,1.4,900,1260.0,,,,,
2013-07-30,1.4,1.4,1.4,1.4,11700,16379.999999999998,,,,,
2013-07-31,1.4,1.4,1.4,1.4,0,0.0,,,,,
2013-08-01,1.4,1.4,1.4,1.4,0,0.0,,,,,
2013-08-02,1.4,1.4,1.4,1.4,1700,2380.0,,,,,
2013-08-05,1.3,1.3,1.3,1.3,300,390.0,,,,,
2013-08-06,1.3,1.3,1.3,1.3,0,0.0,,,,,
2013-08-07,1.3,1.4,1.2,1.4,19300,27020.0,,,,,
2013-08-08,1.3,1.3,1.3,1.3,1000,1300.0,,,,,
2013-08-09,1.3,1.3,1.2,1.3,7700,10010.0,,,,,
2013-08-12,1.2,1.2,1.2,1.2,2000,2400.0,,,,,
2013-08-13,1.2,1.3,1.2,1.3,1100,1430.0,,,,,
2013-08-14,1.3,1.3,1.3,1.3,2000,2600.0,,,,,
2013-08-15,1.2,1.4,1.2,1.4,9800,13720.0,,,,,
2013-08-16,1.3,1.3,1.3,1.3,100,130.0,,,,,
2013-08-19,1.4,1.4,1.4,1.4,100,140.0,,,,,
2013-08-20,1.3,1.3,1.3,1.3,1400,1820.0,,,,,
2013-08-21,1.2,1.4,1.2,1.4,300,420.0,,,,,
2013-08-22,1.3,1.3,1.3,1.3,100,130.0,,,,,
2013-08-23,1.3,1.3,1.2,1.2,200,240.0,,,,,
2013-08-26,1.3,1.3,1.3,1.3,1000,1300.0,,,,,
2013-08-27,1.3,1.4,1.3,1.4,8200,11480.0,,,,,
2013-08-28,1.3,1.3,1.3,1.3,32500,42250.0,,,,,
2013-08-29,1.4,1.4,1.4,1.4,300,420.0,,,,,
2013-08-30,1.3,1.5,1.3,1.4,27700,38780.0,,,,,
2013-09-03,1.3,1.4,1.3,1.4,20600,28840.0,,,,,
2013-09-04,1.4,1.4,1.4,1.4,100,140.0,,,,,
2013-09-05,1.4,1.4,1.4,1.4,5300,7419.999999999999,,,,,
2013-09-06,1.4,1.4,1.4,1.4,5000,7000.0,,,,,
2013-09-09,1.4,1.4,1.4,1.4,0,0.0,,,,,
2013-09-10,1.3,1.4,1.3,1.4,2500,3500.0,,,,,
2013-09-11,1.3,1.4,1.3,1.4,4600,6440.0,,,,,
2013-09-12,1.4,1.4,1.4,1.4,0,0.0,,,,,
2013-09-13,1.4,1.4,1.4,1.4,0,0.0,,,,,
2013-09-16,1.4,1.4,1.4,1.4,0,0.0,,,,,
2013-09-17,1.3,1.3,1.3,1.3,100,130.0,,,,,
2013-09-18,1.3,1.3,1.3,1.3,3000,3900.0,,,,,
2013-09-19,1.4,1.4,1.4,1.4,100,140.0,,,,,
2013-09-20,1.4,1.4,1.4,1.4,0,0.0,,,,,
2013-09-23,1.3,1.3,1.3,1.3,17400,22620.0,,,,,
2013-09-24,1.3,1.3,1.3,1.3,0,0.0,,,,,
2013-09-25,1.4,1.4,1.4,1.4,100,140.0,,,,,
2013-09-26,1.4,1.4,1.4,1.4,0,0.0,,,,,
2013-09-27,1.3,1.4,1.3,1.4,200,280.0,,,,,
2013-09-30,1.4,1.4,1.4,1.4,100,140.0,,,,,
2013-10-01,1.4,1.4,1.4,1.4,200,280.0,,,,,
2013-10-02,1.4,1.4,1.3,1.3,3200,4160.0,,,,,
2013-10-03,1.3,1.4,1.2,1.3,16000,20800.0,,,,,
2013-10-04,1.4,1.4,1.4,1.4,100,140.0,,,,,
2013-10-07,1.4,1.4,1.3,1.4,6500,9100.0,,,,,
2013-10-08,1.4,1.4,1.4,1.4,100,140.0,,,,,
2013-10-09,1.3,1.4,1.3,1.4,67600,94640.0,,,,,
2013-10-10,1.4,1.5,1.3,1.3,8800,11440.0,,,,,
2013-10-11,1.4,1.4,1.4,1.4,100,140.0,,,,,
2013-10-14,1.3,1.3,1.3,1.3,100,130.0,,,,,
2013-10-15,1.4,1.4,1.3,1.3,5000,6500.0,,,,,
2013-10-16,1.4,1.4,1.4,1.4,100,140.0,,,,,
2013-10-17,1.4,1.4,1.3,1.3,200,260.0,,,,,
2013-10-18,1.4,1.4,1.4,1.4,15100,21140.0,,,,,
2013-10-21,1.5,1.5,1.5,1.5,100,150.0,,,,,
2013-10-22,1.4,1.5,1.4,1.5,1500,2250.0,,,,,
2013-10-23,1.4,1.5,1.4,1.4,24500,34300.0,,,,,
2013-10-24,1.4,1.4,1.3,1.3,2000,2600.0,,,,,
2013-10-25,1.4,1.4,1.3,1.4,1400,1960.0,,,,,
2013-10-28,1.4,1.5,1.4,1.5,20700,31050.0,,,,,
2013-10-29,1.5,1.5,1.4,1.5,17600,26400.0,,,,,
2013-10-30,1.4,1.4,1.4,1.4,400,560.0,,,,,
2013-10-31,1.4,1.4,1.4,1.4,0,0.0,,,,,
2013-11-01,1.4,1.5,1.4,1.5,30000,45000.0,,,,,
2013-11-04,1.5,1.6,1.5,1.5,25500,38250.0,,,,,
2013-11-05,1.5,1.6,1.5,1.6,66400,106240.0,,,,,
2013-11-06,1.7,1.7,1.5,1.7,54800,93160.0,,,,,
2013-11-07,1.6,1.6,1.6,1.6,33400,53440.0,,,,,
2013-11-08,1.6,1.7,1.6,1.7,40110,68187.0,,,,,
2013-11-11,1.8,1.8,1.8,1.8,19500,35100.0,,,,,
2013-11-12,1.9,1.9,1.9,1.9,92600,175940.0,,,,,
2013-11-13,2.0,2.0,2.0,2.0,3300,6600.0,,,,,
2013-11-14,2.2,2.2,2.2,2.2,13600,29920.000000000004,,,,,
2013-11-15,2.4,2.4,2.4,2.4,111300,267120.0,,,,,
2013-11-18,2.6,2.6,2.6,2.6,73510,191126.0,,,,,
2013-11-19,2.8,2.8,2.8,2.8,13100,36680.0,,,,,
2013-11-20,3.0,3.0,3.0,3.0,347100,1041300.0,,,,,
2013-11-21,3.3,3.3,3.3,3.3,305835,1009255.5,,,,,
2013-11-22,3.6,3.6,3.6,3.6,164200,591120.0,,,,,
2013-11-25,3.9,3.9,3.9,3.9,26800,104520.0,,,,,
2013-11-26,4.2,4.2,4.0,4.2,517488,2173449.6,,,,,
2013-11-27,4.6,4.6,4.6,4.6,9000,41400.0,,,,,
2013-11-28,5.0,5.0,4.7,5.0,350900,1754500.0,,,,,
2013-11-29,5.4,5.5,4.5,4.5,89082,400869.0,,,,,
2013-12-02,4.1,4.1,4.1,4.1,818,3353.8,,,,,
2013-12-03,3.7,4.3,3.7,3.7,374800,1386760.0,,,,,
2013-12-04,3.7,3.7,3.4,3.4,248510,844934.0,,,,,
2013-12-05,3.1,3.2,3.1,3.1,138100,428110.0,,,,,
2013-12-06,2.8,3.4,2.8,3.1,238000,737800.0,,,,,
2013-12-09,3.1,3.1,2.8,2.8,153100,428680.0,,,,,
2013-12-10,2.8,3.0,2.6,3.0,148700,446100.0,,,,,
2013-12-11,3.0,3.0,2.7,2.7,228500,616950.0,,,,,
2013-12-12,2.6,2.7,2.5,2.6,34600,89960.0,,,,,
2013-12-13,2.5,2.8,2.5,2.8,89500,250600.0,,,,,
2013-12-16,2.9,3.0,2.9,3.0,124800,374400.0,,,,,
2013-12-17,3.2,3.3,3.2,3.3,59500,196350.0,,,,,
2013-12-18,3.5,3.6,3.0,3.0,93000,279000.0,,,,,
2013-12-19,3.0,3.0,2.8,2.8,85300,238840.0,,,,,
2013-12-20,2.8,3.0,2.7,3.0,131900,395700.0,,,,,
2013-12-23,3.2,3.2,2.9,3.0,57600,172800.0,,,,,
2013-12-24,2.9,2.9,2.7,2.8,32800,91840.0,,,,,
2013-12-25,2.8,2.9,2.8,2.8,41900,117320.0,,,,,
2013-12-26,2.9,2.9,2.8,2.8,52900,148120.0,,,,,
2013-12-27,2.9,3.0,2.8,3.0,147250,441750.0,,,,,
2013-12-30,3.0,3.0,2.7,2.8,49900,139720.0,,,,,
2013-12-31,2.9,2.9,2.7,2.8,64100,179480.0,,,,,
2014-01-02,2.8,2.9,2.7,2.8,51600,144480.0,,,,,
2014-01-03,2.7,2.8,2.7,2.7,70200,189540.0,,,,,
2014-01-06,2.7,2.9,2.7,2.9,70700,205030.0,,,,,
2014-01-07,2.9,2.9,2.7,2.8,45300,126840.0,,,,,
2014-01-08,2.8,2.9,2.7,2.9,43200,125280.0,,,,,
2014-01-09,2.8,3.0,2.8,2.9,115700,335530.0,,,,,
2014-01-10,2.8,3.0,2.8,2.9,70800,205320.0,,,,,
2014-01-13,2.8,2.9,2.8,2.8,33400,93520.0,,,,,
2014-01-14,2.8,2.9,2.7,2.8,34400,96320.0,,,,,
2014-01-15,2.7,2.9,2.7,2.9,128700,373230.0,,,,,
2014-01-16,2.8,2.9,2.8,2.8,51200,143360.0,,,,,
2014-01-17,2.8,2.8,2.7,2.7,74200,200340.0,,,,,
2014-01-20,2.7,2.7,2.5,2.5,47700,119250.0,,,,,
2014-01-21,2.4,2.5,2.3,2.5,10900,27250.0,,,,,
2014-01-22,2.4,2.5,2.3,2.5,93800,234500.0,,,,,
2014-01-23,2.4,2.7,2.4,2.6,16000,41600.0,,,,,
2014-01-24,2.5,2.6,2.5,2.6,5500,14300.0,,,,,
2014-01-27,2.4,2.6,2.4,2.6,25900,67340.0,,,,,
2014-02-06,2.5,2.7,2.5,2.7,5900,15930.000000000002,,,,,
2014-02-07,2.7,2.7,2.6,2.7,19800,53460.0,,,,,
2014-02-10,2.5,2.7,2.5,2.7,25300,68310.0,,,,,
2014-02-11,2.7,2.7,2.6,2.7,36300,98010.0,,,,,
2014-02-12,2.6,2.7,2.6,2.7,7200,19440.0,,,,,
2014-02-13,2.6,2.6,2.6,2.6,51900,134940.0,,,,,
2014-02-14,2.6,2.8,2.6,2.7,47900,129330.0,,,,,
2014-02-17,2.7,2.7,2.6,2.7,17700,47790.0,,,,,
2014-02-18,2.6,2.7,2.5,2.5,33700,84250.0,,,,,
2014-02-19,2.6,2.7,2.6,2.6,29900,77740.0,,,,,
2014-02-20,2.6,2.7,2.5,2.6,34500,89700.0,,,,,
2014-02-21,2.5,2.6,2.5,2.6,40700,105820.0,,,,,
2014-02-24,2.6,2.6,2.5,2.6,44900,116740.0,,,,,
2014-02-25,2.5,2.7,2.5,2.5,49900,124750.0,,,,,
2014-02-26,2.6,2.7,2.6,2.7,175900,474930.00000000006,,,,,
2014-02-27,2.8,2.9,2.8,2.9,29100,84390.0,,,,,
2014-02-28,3.1,3.1,3.1,3.1,173910,539121.0,,,,,
2014-03-03,3.4,3.4,2.8,2.8,220200,616560.0,,,,,
2014-03-04,2.8,3.0,2.7,3.0,51400,154200.0,,,,,
2014-03-05,3.1,3.1,2.7,2.9,66600,193140.0,,,,,
2014-03-06,2.7,2.9,2.7,2.8,76000,212800.0,,,,,
2014-03-07,2.8,3.0,2.8,2.9,176770,512633.0,,,,,
2014-03-10,2.9,3.1,2.9,3.1,174320,540392.0,,,,,
2014-03-11,3.1,3.2,3.0,3.1,97300,301630.0,,,,,
2014-03-12,3.0,3.1,2.9,3.1,170330,528023.0,,,,,
2014-03-13,3.1,3.1,3.0,3.1,49220,152582.0,,,,,
2014-03-14,3.1,3.2,3.0,3.0,113800,341400.0,,,,,
2014-03-17,3.2,3.3,3.2,3.3,168920,557436.0,,,,,
2014-03-18,3.5,3.6,3.5,3.6,26100,93960.0,,,,,
2014-03-19,3.9,3.9,3.9,3.9,136200,531180.0,,,,,
