time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2009-09-09,6.8,6.8,6.8,6.8,500,3400.0,,,,,,,,
2009-09-10,7.14,7.14,7.14,7.14,200,1428.0,,,,,,,,
2009-09-11,7.48,7.48,7.48,7.48,500,3740.0,,,,,,,,
2009-09-14,7.84,7.84,7.84,7.84,700,5488.0,,,,,,,,
2009-09-15,8.22,8.22,8.22,8.22,500,4110.0,,,,,,,,
2009-09-16,8.62,8.62,8.62,8.62,800,6895.999999999999,,,,,,,,
2009-09-17,9.03,9.03,9.03,9.03,6700,60500.99999999999,,,,,,,,
2009-09-18,9.45,9.45,9.45,9.45,2000,18900.0,,,,,,,,
2009-09-21,9.92,9.92,9.92,9.92,500,4960.0,,,,,,,,
2009-09-22,10.39,10.39,10.39,10.39,1000,10390.0,,,,,,,,
2009-09-23,10.87,10.87,10.87,10.87,1000,10870.0,,,,,,,,
2009-09-24,11.34,11.34,11.34,11.34,930,10546.2,,,,,,,,
2009-09-25,11.91,11.91,11.91,11.91,5960,70983.6,,,,,,,,
2009-09-28,12.47,12.47,12.47,12.47,500,6235.0,,,,,,,,
2009-09-29,13.04,13.04,13.04,13.04,2700,35208.0,,,,,,,,
2009-09-30,13.61,13.61,13.61,13.61,6320,86015.2,,,,,,,,
2009-10-01,14.27,14.27,14.27,14.27,8200,117014.0,,,,,,,,
2009-10-02,14.93,14.93,14.93,14.93,93380,1394163.4,,,,,,,,
2009-10-05,15.59,15.59,15.59,15.59,9620,149975.8,,,,,,,,
2009-10-06,16.35,16.35,16.35,16.35,1010,16513.5,,,,,,,,
2009-10-07,17.1,17.1,17.1,17.1,6510,111321.0,,,,,,,,
2009-10-08,17.95,17.95,17.95,17.95,74700,1340865.0,,,,,,,,
2009-10-09,18.8,18.8,18.8,18.8,42680,802384.0,,,,,,,,
2009-10-12,19.65,19.65,19.65,19.65,21030,413239.5,,,,,,,,
2009-10-13,20.6,20.6,20.6,20.6,23460,483276.00000000006,,,,,,,,
2009-10-14,21.54,21.54,21.54,21.54,24290,523206.6,,,,,,,,
2009-10-15,22.49,22.49,22.49,22.49,18310,411791.9,,,,,,,,
2009-10-16,23.43,23.43,23.43,23.43,39210,918690.3,,,,,,,,
2009-10-19,24.57,24.57,22.3,22.49,148490,3339540.1,,,,,,,,
2009-10-20,21.73,22.49,21.54,21.54,100340,2161323.6,,,,,,,,
2009-10-21,20.6,22.49,20.6,22.49,72320,1626476.7999999998,,,,,,,,
2009-10-22,22.87,22.87,21.54,22.49,26480,595535.2,,,,,,,,
2009-10-23,21.54,21.54,21.54,21.54,26840,578133.6,,,,,,,,
2009-10-26,20.6,20.6,20.6,20.6,3740,77044.0,,,,,,,,
2009-10-27,19.65,19.65,19.65,19.65,530,10414.5,,,,,,,,
2009-10-28,18.71,18.71,18.71,18.71,2110,39478.1,,,,,,,,
2009-10-29,17.86,17.86,17.86,17.86,2880,51436.8,,,,,,,,
2009-10-30,17.01,17.2,17.01,17.01,70590,1200735.9,,,,,,,,
2009-11-02,16.16,16.16,16.16,16.16,29490,476558.4,,,,,,,,
2009-11-03,15.4,15.4,15.4,15.4,6300,97020.0,,,,,,,,
2009-11-04,14.65,15.31,14.65,14.65,42350,620427.5,,,,,,,,
2009-11-05,13.98,15.31,13.98,15.31,30800,471548.0,,,,,,,,
2009-11-06,16.06,16.06,15.87,16.06,61680,990580.8,,,,,,,,
2009-11-09,15.31,15.31,15.31,15.31,6130,93850.3,,,,,,,,
2009-11-10,14.55,14.55,14.55,14.55,7420,107961.0,,,,,,,,
2009-11-11,13.89,13.89,13.89,13.89,12100,168069.0,,,,,,,,
2009-11-12,13.89,14.55,13.89,14.46,53980,780550.8,,,,,,,,
2009-11-13,13.8,14.74,13.8,14.74,18320,270036.8,,,,,,,,
2009-11-16,14.36,14.93,14.17,14.27,15810,225608.7,,,,,,,,
2009-11-17,14.27,14.27,13.8,13.89,12640,175569.6,,,,,,,,
2009-11-18,13.7,14.36,13.61,14.36,32210,462535.6,,,,,,,,
2009-11-19,14.65,15.02,14.65,15.02,78970,1186129.4,,,,,,,,
2009-11-20,15.69,15.69,15.69,15.69,20680,324469.2,,,,,,,,
2009-11-23,15.69,15.69,14.93,14.93,59930,894754.9,,,,,,,,
2009-11-24,14.55,14.93,14.27,14.27,20850,297529.5,,,,,,,,
2009-11-25,13.8,14.08,13.61,13.61,27770,377949.7,,,,,,,,
2009-11-26,12.95,12.95,12.95,12.95,1870,24216.5,,,,,,,,
2009-11-27,12.36,13.53,12.36,12.36,86160,1064937.6,,,,,,,,
2009-11-30,12.06,12.95,12.06,12.65,17190,217453.5,,,,,,,,
2009-12-01,12.95,13.14,12.55,12.75,23940,305235.0,,,,,,,,
2009-12-02,12.95,12.95,12.16,12.16,28500,346560.0,,,,,,,,
2009-12-03,12.16,12.36,11.57,12.16,41180,500748.8,,,,,,,,
2009-12-04,12.55,12.55,11.57,12.16,18330,222892.8,,,,,,,,
2009-12-07,12.16,12.16,12.06,12.16,19660,239065.6,,,,,,,,
2009-12-08,12.55,12.55,12.16,12.55,25200,316260.0,,,,,,,,
2009-12-09,12.06,12.65,11.96,12.55,36770,461463.5,,,,,,,,
2009-12-10,12.75,12.75,11.96,11.96,18440,220542.4,,,,,,,,
2009-12-11,11.38,11.57,11.38,11.38,4090,46544.2,,,,,,,,
2009-12-14,10.89,11.47,10.89,10.89,17480,190357.2,,,,,,,,
2009-12-15,10.49,10.49,10.4,10.4,12570,130728.0,,,,,,,,
2009-12-16,9.91,9.91,9.91,9.91,2810,27847.1,,,,,,,,
2009-12-17,9.41,9.41,9.41,9.41,600,5646.0,,,,,,,,
2009-12-18,8.96,9.81,8.94,9.81,26460,259572.6,,,,,,,,
2009-12-21,10.3,10.3,9.51,10.3,5250,54075.00000000001,,,,,,,,
2009-12-22,10.49,10.59,10.2,10.2,15210,155142.0,,,,,,,,
2009-12-23,9.81,10.3,9.81,9.81,7150,70141.5,,,,,,,,
2009-12-24,9.61,10.2,9.41,10.2,27680,282336.0,,,,,,,,
2009-12-25,10.59,10.69,10.59,10.69,20400,218076.0,,,,,,,,
2009-12-28,11.18,11.18,10.69,11.18,30290,338642.2,,,,,,,,
2009-12-29,11.18,11.47,10.79,11.28,8550,96444.0,,,,,,,,
2009-12-30,10.89,11.77,10.79,11.38,13430,152833.40000000002,,,,,,,,
2009-12-31,10.89,11.57,10.89,10.89,19920,216928.8,,,,,,,,
2010-01-04,11.38,11.38,11.18,11.38,40070,455996.6,,,,,,,,
2010-01-05,11.77,11.87,11.77,11.87,16450,195261.5,,,,,,,,
2010-01-06,12.45,12.45,12.45,12.45,18300,227835.0,,,,,,,,
2010-01-07,13.04,13.04,13.04,13.04,12520,163260.8,,,,,,,,
2010-01-08,13.63,13.63,13.63,13.63,137940,1880122.2,,,,,,,,
2010-01-11,13.34,13.34,13.04,13.14,59670,784063.8,,,,,,,,
2010-01-12,12.75,13.14,12.55,12.55,21860,274343.0,,,,,,,,
2010-01-13,11.96,11.96,11.96,11.96,22650,270894.0,,,,,,,,
2010-01-14,12.16,12.55,11.96,12.55,19600,245980.0,,,,,,,,
2010-01-15,12.45,12.75,11.96,12.45,12120,150894.0,,,,,,,,
2010-01-18,11.87,11.87,11.87,11.87,4630,54958.1,,,,,,,,
2010-01-19,11.28,12.16,11.28,11.87,44200,524654.0,,,,,,,,
2010-01-20,11.77,11.77,11.28,11.77,42820,503991.4,,,,,,,,
2010-01-21,11.18,11.77,11.18,11.77,44510,523882.7,,,,,,,,
2010-01-22,11.18,11.77,11.18,11.77,30420,358043.4,,,,,,,,
2010-01-25,11.77,12.16,11.77,11.77,5590,65794.3,,,,,,,,
2010-01-26,11.77,12.36,11.77,12.36,19910,246087.6,,,,,,,,
2010-01-27,12.55,12.55,11.96,12.36,8640,106790.4,,,,,,,,
2010-01-28,12.36,12.36,12.16,12.26,14800,181448.0,,,,,,,,
2010-01-29,12.16,12.26,11.77,12.26,8850,108501.0,,,,,,,,
2010-02-01,12.26,12.26,11.96,12.26,1820,22313.2,,,,,,,,
2010-02-02,12.16,12.36,12.16,12.16,11160,135705.6,,,,,,,,
2010-02-03,12.16,12.26,11.96,12.16,3100,37696.0,,,,,,,,
2010-02-04,12.45,12.55,12.16,12.45,28000,348600.0,,,,,,,,
2010-02-05,12.45,12.45,11.96,12.06,21150,255069.0,,,,,,,,
2010-02-08,11.67,12.06,11.57,11.67,27000,315090.0,,,,,,,,
2010-02-09,11.67,11.67,11.28,11.67,15110,176333.7,,,,,,,,
2010-02-10,12.06,12.06,11.77,11.87,10200,121074.0,,,,,,,,
2010-02-11,11.96,11.96,11.87,11.96,12500,149500.0,,,,,,,,
2010-02-12,11.96,12.16,11.96,12.16,10590,128774.4,,,,,,,,
