time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2018-10-10,8.31,8.31,8.31,8.31,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-10-11,8.31,8.31,8.31,8.31,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-10-12,8.31,8.31,8.31,8.31,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-10-15,8.31,8.31,8.31,8.31,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-10-16,8.31,8.31,8.31,8.31,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-10-17,8.31,8.31,8.31,8.31,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-10-18,8.31,8.31,8.31,8.31,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-10-19,8.31,8.31,8.31,8.31,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-10-22,11.543,11.543,11.543,11.543,5000,57714.99999999999,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-10-23,12.314,12.314,12.314,12.314,5000,61570.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-10-24,13.467,13.467,13.467,13.467,2000,26934.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-10-25,15.391,15.391,13.467,13.467,300,4040.1,100.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-10-26,14.083,14.083,14.083,14.083,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-10-29,14.083,14.083,14.083,14.083,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-10-30,14.083,14.083,14.083,14.083,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-10-31,14.083,14.083,14.083,14.083,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-11-01,15.006,16.16,12.005,12.005,400,4802.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-11-02,14.544,14.544,14.544,14.544,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-11-05,15.391,16.699,12.389,12.389,1000,12389.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-11-06,15.775,15.775,15.775,15.775,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-11-07,15.775,15.775,15.775,15.775,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-11-08,15.775,15.775,15.775,15.775,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-11-09,13.467,18.084,13.467,13.467,600,8080.200000000001,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-11-12,16.16,16.16,16.16,16.16,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-11-13,16.16,16.16,16.16,16.16,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-11-14,16.16,16.16,16.16,16.16,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-11-15,16.16,16.16,16.16,16.16,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-11-16,16.16,16.16,16.16,16.16,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-11-19,16.16,16.16,16.16,16.16,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-11-20,16.16,16.16,16.16,16.16,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-11-21,16.16,16.16,16.16,16.16,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-11-22,16.16,16.16,16.16,16.16,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-11-23,16.16,16.16,16.16,16.16,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-11-26,16.16,16.16,16.16,16.16,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-11-27,16.16,16.16,16.16,16.16,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-11-28,16.16,16.16,16.16,16.16,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-11-29,16.16,16.16,16.16,16.16,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-11-30,16.16,16.16,16.16,16.16,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-12-03,16.16,16.16,16.16,16.16,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-12-04,16.16,16.16,16.16,16.16,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-12-05,16.16,16.16,16.16,16.16,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-12-06,13.775,13.775,13.775,13.775,1000,13775.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-12-07,13.775,13.775,13.775,13.775,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-12-10,13.775,13.775,13.775,13.775,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-12-11,13.775,13.775,13.775,13.775,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-12-12,13.775,13.775,13.775,13.775,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-12-13,13.775,13.775,13.775,13.775,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-12-14,13.775,13.775,13.775,13.775,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-12-17,13.775,13.775,13.775,13.775,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-12-18,13.775,13.775,13.775,13.775,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-12-19,13.775,13.775,13.775,13.775,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-12-20,13.775,13.775,13.775,13.775,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-12-21,13.775,13.775,13.775,13.775,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-12-24,13.775,13.775,13.775,13.775,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-12-25,13.775,13.775,13.775,13.775,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-12-26,13.775,13.775,13.775,13.775,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-12-27,11.773,11.773,11.773,11.773,3400,40028.2,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2018-12-28,11.773,11.773,11.773,11.773,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2019-01-02,11.773,11.773,11.773,11.773,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2019-01-03,11.773,11.773,11.773,11.773,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2019-01-04,11.773,11.773,11.773,11.773,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2019-01-07,11.773,11.773,11.773,11.773,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2019-01-08,11.773,11.773,11.773,11.773,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2019-01-09,11.773,11.773,11.773,11.773,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2019-01-10,10.081,10.081,10.081,10.081,20000,201620.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2019-01-11,10.081,10.081,10.081,10.081,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2019-01-14,10.081,10.081,10.081,10.081,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2019-01-15,10.081,10.081,10.081,10.081,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2019-01-16,10.081,10.081,10.081,10.081,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2019-01-17,10.081,10.081,10.081,10.081,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2019-01-18,10.081,10.081,10.081,10.081,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2019-01-21,10.081,10.081,10.081,10.081,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2019-01-22,10.081,10.081,10.081,10.081,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2019-01-23,10.081,10.081,10.081,10.081,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2019-01-24,10.081,10.081,10.081,10.081,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2019-01-25,10.081,10.081,10.081,10.081,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2019-01-28,10.081,10.081,10.081,10.081,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2019-01-29,10.081,10.081,10.081,10.081,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2019-01-30,10.081,10.081,10.081,10.081,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2019-01-31,10.081,10.081,10.081,10.081,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
2019-02-01,10.081,10.081,10.081,10.081,0,0.0,0.0,0.0,0.0,0.0,,0.89,0.0,0.0
