time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2013-01-02,1.5,1.5,1.5,1.5,2000,3000.0,,,,,
2013-01-03,1.4,1.4,1.4,1.4,200,280.0,,,,,
2013-01-04,1.5,1.5,1.5,1.5,2000,3000.0,,,,,
2013-01-07,1.5,1.5,1.5,1.5,0,0.0,,,,,
2013-01-08,1.5,1.5,1.5,1.5,2800,4200.0,,,,,
2013-01-09,1.5,1.5,1.5,1.5,5000,7500.0,,,,,
2013-01-10,1.5,1.5,1.5,1.5,5000,7500.0,,,,,
2013-01-11,1.5,1.5,1.5,1.5,0,0.0,,,,,
2013-01-14,1.4,1.5,1.4,1.5,12600,18900.0,,,,,
2013-01-15,1.5,1.5,1.5,1.5,2500,3750.0,,,,,
2013-01-16,1.4,1.4,1.4,1.4,3000,4200.0,,,,,
2013-01-17,1.4,1.5,1.4,1.5,6000,9000.0,,,,,
2013-01-18,1.5,1.5,1.5,1.5,5000,7500.0,,,,,
2013-01-21,1.5,1.5,1.5,1.5,0,0.0,,,,,
2013-01-22,1.6,1.6,1.6,1.6,100,160.0,,,,,
2013-01-23,1.6,1.6,1.6,1.6,0,0.0,,,,,
2013-01-24,1.6,1.6,1.6,1.6,0,0.0,,,,,
2013-01-25,1.6,1.6,1.6,1.6,0,0.0,,,,,
2013-01-28,1.5,1.5,1.5,1.5,13400,20100.0,,,,,
2013-01-29,1.4,1.6,1.4,1.6,2100,3360.0,,,,,
2013-01-30,1.5,1.5,1.5,1.5,19000,28500.0,,,,,
2013-01-31,1.4,1.4,1.4,1.4,5100,7140.0,,,,,
2013-02-01,1.3,1.4,1.3,1.4,1100,1540.0,,,,,
2013-02-04,1.4,1.4,1.4,1.4,1100,1540.0,,,,,
2013-02-05,1.4,1.4,1.4,1.4,1000,1400.0,,,,,
2013-02-06,1.4,1.5,1.4,1.5,2100,3150.0,,,,,
2013-02-07,1.6,1.6,1.6,1.6,13100,20960.0,,,,,
2013-02-08,1.7,1.7,1.7,1.7,10000,17000.0,,,,,
2013-02-18,1.7,1.7,1.7,1.7,0,0.0,,,,,
2013-02-19,1.7,1.7,1.6,1.7,21800,37060.0,,,,,
2013-02-20,1.7,1.7,1.7,1.7,10700,18190.0,,,,,
