time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2006-12-27,9.21,9.21,9.21,9.21,2000,18420.0,,,,,
2006-12-28,9.66,9.66,9.66,9.66,35000,338100.0,,,,,
2006-12-29,9.99,10.09,9.99,10.09,10080,101707.2,,,,,
2007-01-02,10.58,10.58,10.58,10.58,3000,31740.0,,,,,
2007-01-03,11.07,11.07,11.07,11.07,3000,33210.0,,,,,
2007-01-04,11.56,11.56,11.56,11.56,6500,75140.0,,,,,
2007-01-05,12.05,12.05,12.05,12.05,36200,436210.0,,,,,
2007-01-08,12.63,12.63,12.63,12.63,49820,629226.6000000001,,,,,
2007-01-09,13.22,13.22,13.22,13.22,45920,607062.4,,,,,
2007-01-10,13.52,13.52,13.52,13.52,43570,589066.4,,,,,
2007-01-11,13.52,13.52,13.52,13.52,36200,489424.0,,,,,
2007-01-12,13.52,13.52,13.52,13.52,26180,353953.6,,,,,
2007-01-15,13.52,13.52,12.93,13.42,24380,327179.6,,,,,
2007-01-16,13.32,13.52,13.32,13.52,32470,438994.4,,,,,
2007-01-17,13.91,13.91,13.32,13.91,27790,386558.9,,,,,
2007-01-18,13.91,13.91,13.91,13.91,30300,421473.0,,,,,
2007-01-19,13.91,13.91,13.91,13.91,22890,318399.9,,,,,
2007-01-22,13.91,13.91,13.22,13.22,35430,468384.6,,,,,
2007-01-23,12.63,12.73,12.63,12.73,22400,285152.0,,,,,
2007-01-24,12.14,12.93,12.14,12.93,14390,186062.7,,,,,
2007-01-25,12.93,12.93,12.93,12.93,7570,97880.1,,,,,
2007-01-26,12.93,13.12,12.93,13.12,1550,20336.0,,,,,
2007-01-29,13.12,13.12,13.12,13.12,10,131.2,,,,,
2007-01-30,13.12,13.12,12.54,13.12,14250,186960.0,,,,,
2007-01-31,13.12,13.71,12.54,13.71,30050,411985.5,,,,,
2007-02-01,13.71,13.71,13.32,13.52,9900,133848.0,,,,,
2007-02-02,13.32,13.32,13.32,13.32,2150,28638.0,,,,,
2007-02-05,13.32,13.32,13.32,13.32,7500,99900.0,,,,,
2007-02-06,13.32,13.32,12.73,12.73,7310,93056.3,,,,,
2007-02-07,13.12,13.12,13.12,13.12,6500,85280.0,,,,,
2007-02-08,12.54,13.12,12.54,13.12,5660,74259.2,,,,,
2007-02-09,13.12,13.12,13.12,13.12,4600,60352.0,,,,,
2007-02-12,13.12,13.12,13.03,13.12,26720,350566.4,,,,,
2007-02-13,13.12,13.71,13.12,13.71,27130,371952.3000000001,,,,,
2007-02-14,13.71,13.71,13.52,13.52,6750,91260.0,,,,,
2007-02-15,13.52,14.1,13.52,14.1,13190,185979.0,,,,,
2007-02-26,14.79,14.79,14.79,14.79,11450,169345.5,,,,,
2007-02-27,15.47,15.47,15.47,15.47,13340,206369.8,,,,,
2007-02-28,15.47,16.06,15.47,15.87,11470,182028.9,,,,,
2007-03-01,15.87,15.87,15.87,15.87,25150,399130.5,,,,,
2007-03-02,15.87,15.87,15.08,15.47,23100,357357.0,,,,,
2007-03-05,14.79,15.28,14.79,15.28,7000,106960.0,,,,,
2007-03-06,15.47,15.47,14.89,14.89,11860,176595.4,,,,,
2007-03-07,15.28,15.28,14.89,14.89,8680,129245.2,,,,,
2007-03-08,15.28,15.28,14.89,14.89,21450,319390.5,,,,,
2007-03-09,15.28,15.28,14.99,15.28,8790,134311.19999999998,,,,,
2007-03-12,15.57,15.87,15.57,15.87,11360,180283.2,,,,,
2007-03-13,16.06,16.65,16.06,16.06,22040,353962.4,,,,,
2007-03-14,16.45,16.45,16.06,16.06,13110,210546.6,,,,,
2007-03-15,15.67,15.67,15.28,15.28,6230,95194.4,,,,,
2007-03-16,14.59,15.87,14.59,15.87,19580,310734.6,,,,,
2007-03-19,15.87,15.87,15.87,15.87,11180,177426.59999999998,,,,,
2007-03-20,15.67,15.67,15.28,15.67,10180,159520.6,,,,,
2007-03-21,15.67,15.67,15.67,15.67,29390,460541.3,,,,,
2007-03-22,15.28,15.28,14.89,15.28,11070,169149.6,,,,,
2007-03-23,15.08,15.08,14.89,14.89,7300,108697.0,,,,,
2007-03-26,14.3,15.08,14.3,14.89,13740,204588.6,,,,,
2007-03-27,14.89,14.89,14.69,14.69,10560,155126.4,,,,,
2007-03-28,14.3,14.3,14.1,14.3,3740,53482.0,,,,,
2007-03-29,14.99,14.99,14.99,14.99,4400,65956.0,,,,,
2007-03-30,14.99,14.99,14.99,14.99,3410,51115.9,,,,,
2007-04-02,14.99,14.99,14.3,14.3,6250,89375.0,,,,,
2007-04-03,13.61,14.1,13.61,14.1,4650,65565.0,,,,,
2007-04-04,13.42,14.1,13.42,14.1,4410,62181.0,,,,,
2007-04-05,14.1,14.1,13.91,13.91,2000,27820.0,,,,,
2007-04-06,13.91,13.91,13.32,13.32,5540,73792.8,,,,,
2007-04-09,13.32,13.32,12.93,12.93,2750,35557.5,,,,,
2007-04-10,12.93,13.42,12.93,13.42,3350,44957.0,,,,,
2007-04-11,12.83,13.12,12.83,13.12,1140,14956.8,,,,,
2007-04-12,13.12,13.12,12.54,12.54,1640,20565.6,,,,,
2007-04-13,12.54,12.54,12.54,12.54,200,2508.0,,,,,
2007-04-16,12.54,12.54,12.54,12.54,400,5016.0,,,,,
2007-04-17,12.54,12.54,12.54,12.54,1200,15047.999999999998,,,,,
2007-04-18,12.54,12.54,12.44,12.54,3550,44517.0,,,,,
2007-04-19,12.54,12.54,12.54,12.54,4690,58812.6,,,,,
2007-04-20,12.54,12.54,11.95,11.95,2060,24617.0,,,,,
2007-04-23,11.36,11.36,11.36,11.36,6110,69409.59999999999,,,,,
2007-04-24,10.87,10.97,10.87,10.97,4470,49035.9,,,,,
2007-04-25,11.46,11.46,11.46,11.46,3560,40797.600000000006,,,,,
2007-05-02,11.95,11.95,11.95,11.95,3720,44454.0,,,,,
2007-05-03,11.95,11.95,11.95,11.95,840,10038.0,,,,,
2007-05-04,11.95,11.95,11.95,11.95,3370,40271.5,,,,,
2007-05-07,11.56,11.95,11.56,11.95,3900,46605.0,,,,,
2007-05-08,11.75,11.95,11.75,11.95,1950,23302.5,,,,,
2007-05-09,11.75,12.54,11.75,11.95,2260,27007.0,,,,,
2007-05-10,11.95,11.95,11.36,11.75,1000,11750.0,,,,,
2007-05-11,11.75,11.75,11.75,11.75,3100,36425.0,,,,,
2007-05-14,11.75,11.75,11.66,11.66,5300,61798.0,,,,,
2007-05-15,11.75,12.14,11.75,12.14,6930,84130.2,,,,,
2007-05-16,11.56,11.95,11.56,11.95,2300,27485.0,,,,,
2007-05-17,11.36,11.95,11.36,11.95,3520,42064.0,,,,,
2007-05-18,11.95,11.95,11.95,11.95,2710,32384.5,,,,,
2007-05-21,11.95,12.14,11.95,12.14,5450,66163.0,,,,,
2007-05-22,12.34,12.73,12.34,12.54,12500,156750.0,,,,,
2007-05-23,13.12,13.12,13.12,13.12,20830,273289.6,,,,,
2007-05-24,12.54,12.93,12.54,12.73,2700,34371.0,,,,,
2007-05-25,12.34,12.34,12.34,12.34,3890,48002.6,,,,,
2007-05-28,12.73,12.73,12.54,12.73,5660,72051.8,,,,,
2007-05-29,12.24,12.54,12.24,12.54,2950,36993.0,,,,,
