time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2022-10-07,17.35,19.567,17.35,19.567,12100,236760.7,0.0,0.0,0.0,0.0,,2.26,0.0,0.0
2022-10-10,21.206,22.17,21.206,22.17,11000,243870.00000000003,0.0,0.0,0.0,0.0,,2.26,0.0,0.0
2022-10-11,24.579,24.869,21.206,21.206,7900,167527.4,0.0,0.0,0.0,0.0,,2.26,0.0,0.0
2022-10-12,21.206,22.17,21.206,22.17,3400,75378.0,0.0,0.0,0.0,0.0,,2.26,0.0,0.0
2022-10-13,22.17,22.17,19.278,19.278,1900,36628.2,0.0,0.0,0.0,0.0,,2.26,0.0,0.0
2022-10-14,19.278,22.748,19.278,22.459,1200,26950.8,0.0,0.0,0.0,0.0,,2.26,0.0,0.0
2022-10-17,19.374,19.374,19.182,19.182,2900,55627.8,0.0,0.0,0.0,0.0,,2.26,0.0,0.0
2022-10-18,21.977,21.977,21.977,21.977,100,2197.7,0.0,0.0,0.0,0.0,,2.26,0.0,0.0
2022-10-19,25.254,25.254,19.278,20.724,3200,66316.8,0.0,0.0,0.0,0.0,,2.26,0.0,0.0
2022-10-20,19.278,21.688,19.278,21.688,10700,232061.6,0.0,0.0,0.0,0.0,,2.26,0.0,0.0
2022-10-21,20.627,20.724,19.182,20.627,7900,162953.3,0.0,0.0,0.0,0.0,,2.26,0.0,0.0
2022-10-24,19.76,20.242,19.278,20.242,4900,99185.8,0.0,0.0,0.0,0.0,,2.26,0.0,0.0
2022-10-25,18.314,18.7,16.965,18.7,16400,306680.0,0.0,0.0,0.0,0.0,,2.26,0.0,0.0
2022-10-26,17.832,18.025,17.832,18.025,7500,135187.5,0.0,0.0,0.0,0.0,,2.26,0.0,0.0
2022-10-27,16.097,18.121,16.097,18.121,10000,181210.0,0.0,0.0,0.0,0.0,,2.26,0.0,0.0
2022-10-28,16.194,18.121,16.194,18.025,7000,126175.0,0.0,0.0,0.0,0.0,,2.26,0.0,0.0
2022-10-31,15.904,15.904,15.904,15.904,100,1590.4,0.0,0.0,0.0,0.0,,2.26,0.0,0.0
2022-11-01,16.386,17.832,16.386,17.832,2400,42796.8,0.0,0.0,0.0,0.0,,2.26,0.0,0.0
2022-11-02,15.519,15.519,15.422,15.422,800,12337.6,0.0,0.0,0.0,0.0,,2.26,0.0,0.0
2022-11-03,15.519,17.736,14.94,17.35,48100,834535.0000000001,0.0,0.0,0.0,0.0,,2.26,0.0,0.0
2022-11-04,15.904,16.386,15.904,16.386,3200,52435.2,0.0,0.0,0.0,0.0,,2.26,0.0,0.0
2022-11-07,16.386,16.675,16.386,16.675,9100,151742.5,0.0,0.0,0.0,0.0,,2.26,0.0,0.0
2022-11-08,16.868,17.061,16.868,17.061,4400,75068.4,0.0,0.0,0.0,0.0,,2.26,0.0,0.0
2022-11-09,17.061,17.061,17.061,17.061,2100,35828.1,0.0,0.0,0.0,0.0,,2.26,0.0,0.0
