time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2009-12-15,15.59,16.33,12.31,16.33,508000,8295639.999999999,,,,,,,,
2009-12-16,14.61,14.69,13.13,13.13,97600,1281488.0,,,,,,,,
2009-12-17,12.56,13.46,12.56,12.88,105300,1356264.0,,,,,,,,
2009-12-18,13.13,13.46,13.05,13.46,139600,1879016.0,,,,,,,,
2009-12-21,13.95,14.28,13.87,14.28,167800,2396184.0,,,,,,,,
2009-12-22,14.85,14.94,14.28,14.61,226200,3304782.0,,,,,,,,
2009-12-23,14.61,15.26,13.87,15.18,237800,3609804.0,,,,,,,,
2009-12-24,15.51,15.59,14.77,15.59,172500,2689275.0,,,,,,,,
2009-12-25,15.59,16.33,15.59,16.33,370700,6053530.999999999,,,,,,,,
2009-12-28,16.82,17.23,15.59,16.91,243100,4110821.0,,,,,,,,
2009-12-29,17.15,17.23,16.41,16.41,123200,2021712.0,,,,,,,,
2009-12-30,16.41,17.4,16.25,17.4,270400,4704960.0,,,,,,,,
2009-12-31,17.56,18.22,17.23,18.22,431400,7860107.999999999,,,,,,,,
2010-01-04,18.88,19.37,18.22,19.37,307000,5946590.0,,,,,,,,
2010-01-05,20.6,20.6,20.52,20.6,463300,9543980.0,,,,,,,,
2010-01-06,21.99,21.99,19.7,20.02,206200,4128124.0,,,,,,,,
2010-01-07,19.53,20.35,19.04,19.04,242400,4615296.0,,,,,,,,
2010-01-08,19.37,20.43,18.05,18.88,207500,3917600.0,,,,,,,,
2010-01-11,19.45,20.02,18.14,18.14,352500,6394350.0,,,,,,,,
2010-01-12,17.15,17.48,16.99,16.99,209700,3562802.9999999995,,,,,,,,
2010-01-13,16.74,18.05,15.92,17.56,194500,3415419.9999999995,,,,,,,,
2010-01-14,17.81,17.81,16.91,17.81,239600,4267276.0,,,,,,,,
2010-01-15,18.79,18.79,17.23,17.81,128100,2281461.0,,,,,,,,
2010-01-18,18.46,18.55,16.66,16.74,189000,3163859.9999999995,,,,,,,,
2010-01-19,16.99,17.56,15.92,17.23,208000,3583840.0,,,,,,,,
2010-01-20,17.64,17.89,16.25,16.25,67100,1090375.0,,,,,,,,
2010-01-21,15.76,16.82,15.59,15.67,184900,2897383.0,,,,,,,,
2010-01-22,15.18,16.41,14.94,16.0,125500,2008000.0,,,,,,,,
2010-01-25,15.92,16.33,15.92,16.0,74200,1187200.0,,,,,,,,
2010-01-26,16.99,17.23,16.82,17.23,300600,5179338.0,,,,,,,,
2010-01-27,17.73,17.73,16.0,16.91,93500,1581085.0,,,,,,,,
2010-01-28,16.5,16.74,16.0,16.25,86900,1412125.0,,,,,,,,
