time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2008-05-20,31.03,31.03,12.41,13.96,22400,312704.0,,,,,,,,
2008-05-21,13.65,14.43,13.65,13.96,20300,283388.0,,,,,,,,
2008-05-22,14.35,14.35,14.27,14.35,13500,193725.0,,,,,,,,
2008-05-23,14.74,14.74,14.74,14.74,1500,22110.0,,,,,,,,
2008-05-26,15.13,15.13,15.13,15.13,500,7565.0,,,,,,,,
2008-05-27,15.51,15.51,15.51,15.51,2300,35673.0,,,,,,,,
2008-05-28,15.98,15.98,15.13,15.98,58200,930036.0,,,,,,,,
2008-05-29,16.29,16.29,16.29,16.29,1000,16290.0,,,,,,,,
2008-05-30,16.75,16.75,15.82,15.9,17400,276660.0,,,,,,,,
2008-06-02,15.98,15.98,15.98,15.98,400,6392.0,,,,,,,,
2008-06-03,15.51,15.51,15.51,15.51,200,3102.0,,,,,,,,
2008-06-04,15.05,15.05,15.05,15.05,200,3010.0,,,,,,,,
2008-06-05,14.66,14.66,14.66,14.66,6000,87960.0,,,,,,,,
2008-06-06,14.27,14.27,14.27,14.27,100,1427.0,,,,,,,,
2008-06-09,13.88,13.88,13.88,13.88,200,2776.0,,,,,,,,
2008-06-10,13.5,13.5,13.5,13.5,2100,28350.0,,,,,,,,
2008-06-11,13.11,13.88,13.11,13.88,41400,574632.0,,,,,,,,
2008-06-12,14.04,14.04,13.81,14.04,14100,197964.0,,,,,,,,
2008-06-13,14.04,14.43,14.04,14.43,7700,111111.0,,,,,,,,
2008-06-16,14.82,14.82,14.74,14.82,17500,259350.0,,,,,,,,
2008-06-17,15.2,15.2,15.2,15.2,8900,135280.0,,,,,,,,
2008-06-18,15.2,15.59,14.82,14.82,6400,94848.0,,,,,,,,
2008-06-19,14.82,14.82,14.82,14.82,0,0.0,,,,,,,,
2008-06-20,14.89,14.89,14.89,14.89,100,1489.0,,,,,,,,
2008-06-23,14.35,15.28,14.35,14.43,29100,419913.0,,,,,,,,
2008-06-24,13.96,14.35,13.88,13.96,7600,106096.0,,,,,,,,
2008-06-25,13.96,14.51,13.42,14.43,19900,287157.0,,,,,,,,
2008-06-26,13.73,13.81,13.73,13.73,7600,104348.0,,,,,,,,
2008-06-27,13.19,13.19,13.19,13.19,9100,120029.0,,,,,,,,
2008-06-30,13.03,13.65,12.8,13.65,6000,81900.0,,,,,,,,
2008-07-01,13.19,13.96,13.19,13.96,13200,184272.0,,,,,,,,
2008-07-02,14.51,14.51,13.96,14.51,41000,594910.0,,,,,,,,
2008-07-03,14.43,14.97,14.43,14.58,24800,361584.0,,,,,,,,
2008-07-04,14.82,15.36,14.82,15.36,33000,506880.0,,,,,,,,
2008-07-07,15.75,15.75,14.74,14.74,7300,107602.0,,,,,,,,
2008-07-08,14.51,14.51,14.51,14.51,26300,381613.0,,,,,,,,
2008-07-09,14.74,15.05,14.74,15.05,12400,186620.0,,,,,,,,
2008-07-10,14.97,14.97,14.43,14.58,8400,122472.0,,,,,,,,
2008-07-11,14.19,15.05,14.12,15.05,34200,514710.0,,,,,,,,
