symbol,sector,platform
AAA,Hoá chất,HOSE
ACB,Bank tư nhân top,HOSE
ACV,Hàng Không,UPCOM
AGR,Chứng khoán,HOSE
ANV,Tiêu dùng thuỷ sản,HOSE
APG,Chứng khoán,HOSE
BCC,Đầu tư công,HNX
BCM,BDS khu công nghiệp,HOSE
BFC,Hoá chất,HOSE
BIC,Bảo hiểm,HOSE
BID,Bank nhà nước,HOSE
BMI,Bảo hiểm,HOSE
BMP,BDS nhà thầu và nguyên vật liệu,HOSE
BSI,Chứng khoán,HOSE
BSR,Dầu khí,HOSE
BVH,Bảo hiểm,HOSE
BVS,Chứng khoán,HNX
BWE,Phòng thủ,HOSE
C4G,Đầu tư công,UPCOM
CEO,BDS nhà ở,HNX
CII,BDS nhà ở,HOSE
CMG,Công nghệ,HOSE
CMX,Tiêu dùng thuỷ sản,HOSE
CSM,Hoá chất,HOSE
CSV,Hoá chất,HOSE
CTD,BDS nhà thầu và nguyên vật liệu,HOSE
CTF,Ô tô & phụ tùng,HOSE
CTG,Bank nhà nước,HOSE
CTI,Đầu tư công,HOSE
CTR,Viettel,HOSE
CTS,Chứng khoán,HOSE
DBC,Tiêu dùng thực phẩm,HOSE
DCL,Dược phẩm,HOSE
DCM,Hoá chất,HOSE
DGC,Hoá chất,HOSE
DGW,Tiêu dùng bán lẻ,HOSE
DIG,BDS nhà ở,HOSE
DPG,BDS nhà thầu và nguyên vật liệu,HOSE
DPM,Hoá chất,HOSE
DRC,Hoá chất,HOSE
DXG,BDS nhà ở,HOSE
DXS,BDS nhà ở,HOSE
EIB,Bank vừa và nhỏ,HOSE
ELC,Công nghệ,HOSE
FCN,Đầu tư công,HOSE
FMC,Tiêu dùng thuỷ sản,HOSE
FOC,Công nghệ,UPCOM
FOX,Công nghệ,UPCOM
FPT,Công nghệ,HOSE
FRT,Tiêu dùng bán lẻ,HOSE
FTS,Chứng khoán,HOSE
GAS,Phòng thủ,HOSE
GEG,Phòng thủ,HOSE
GMD,Logistics,HOSE
GVR,BDS khu công nghiệp,HOSE
HAH,Logistics,HOSE
HAX,Ô tô & phụ tùng,HOSE
HBC,BDS nhà thầu và nguyên vật liệu,UPCOM
HCM,Chứng khoán,HOSE
HDB,Bank tư nhân top,HOSE
HDC,BDS nhà ở,HOSE
HDG,BDS nhà ở,HOSE
HHS,Ô tô & phụ tùng,HOSE
HHV,Đầu tư công,HOSE
HPG,BDS nhà thầu và nguyên vật liệu,HOSE
HPX,BDS nhà ở,HOSE
HQC,BDS nhà ở,HOSE
HSG,BDS nhà thầu và nguyên vật liệu,HOSE
HT1,Đầu tư công,HOSE
HUT,BDS nhà thầu và nguyên vật liệu,HNX
HVN,Hàng Không,HOSE
IDC,BDS khu công nghiệp,HNX
IDI,Tiêu dùng thuỷ sản,HOSE
IJC,BDS khu công nghiệp,HOSE
IMP,Dược phẩm,HOSE
KBC,BDS khu công nghiệp,HOSE
KDC,Tiêu dùng thực phẩm,HOSE
KDH,BDS nhà ở,HOSE
KHG,BDS nhà ở,HOSE
KSB,Đầu tư công,HOSE
L14,BDS nhà thầu và nguyên vật liệu,HNX
LAS,Hoá chất,HNX
LCG,Đầu tư công,HOSE
LDG,BDS nhà ở,HOSE
LPB,Bank vừa và nhỏ,HOSE
LSS,Sản xuất đường,HOSE
MBB,Bank tư nhân top,HOSE
MBS,Chứng khoán,HNX
MFS,Công nghệ,UPCOM
MIG,Bảo hiểm,HOSE
MSB,Bank vừa và nhỏ,HOSE
MSN,Tiêu dùng thực phẩm,HOSE
